,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ma.L1.close
0,1970-01-05 01:00:00+00:00,-1582.849192747778,-1568.7314763977324,-1577.1685161793246,0.006659965086800301,0.00010612321090488435,0.9615035963189508,5,True,252,13000,1,1,0 days 00:00:00.285526,corn,0.2501941655738451,0.2768331631929798
1,1970-01-12 01:00:00+00:00,-1582.4201831984865,-1568.3024668484409,-1576.739506630033,0.006679897403195794,0.0001063054241448374,0.9614559035458862,5,True,252,13000,1,1,0 days 00:00:00.229791,corn,0.24957875999902013,0.27595445743847624
2,1970-01-19 01:00:00+00:00,-1581.8695734848461,-1567.7518571348005,-1576.1888969163927,0.006708739025502693,0.00010653809043425858,0.961602085514869,5,True,252,13000,1,1,0 days 00:00:00.221332,corn,0.24992688871643362,0.27652680022619475
3,1970-01-26 01:00:00+00:00,-1580.8034403598745,-1566.6857240098288,-1575.122763791421,0.006726715564828727,0.00010699047621623874,0.9604832439079333,5,True,252,13000,1,1,0 days 00:00:00.190456,corn,0.2448005662529448,0.2706292961482116
4,1970-02-02 01:00:00+00:00,-1579.91019571561,-1565.7924793655643,-1574.2295191471565,0.006766797018145975,0.00010737314112667662,0.9605378835714571,5,True,252,13000,1,1,0 days 00:00:00.403000,corn,0.2352540868483994,0.2597520956621203
5,1970-02-09 01:00:00+00:00,-1579.6231294113127,-1565.505413061267,-1573.9424528428592,0.006781944731876868,0.00010748867694305074,0.9588358425640737,5,True,252,13000,1,1,0 days 00:00:00.299808,corn,0.22752135267177628,0.2529720242750854
6,1970-02-16 01:00:00+00:00,-1578.9101398428065,-1564.792423492761,-1573.229463274353,0.0068001364149625244,0.00010780079704379501,0.960669570444829,5,True,252,13000,1,1,0 days 00:00:00.603946,corn,0.23317749387883915,0.25831776176208276
7,1970-02-24 01:00:00+00:00,-1578.943640537545,-1564.8259241874994,-1573.2629639690915,0.006794713772625078,0.00010778229308036741,0.9624898489846619,5,True,252,13000,1,1,0 days 00:00:00.279000,corn,0.23771624667735503,0.2620489000033799
8,1970-03-03 01:00:00+00:00,-1577.4027252145806,-1563.285008864535,-1571.7220486461272,0.006812184643358172,0.00010844586634648265,0.9635404156749076,5,True,252,13000,1,1,0 days 00:00:00.245006,corn,0.2425532013803316,0.2659236180976434
9,1970-03-10 01:00:00+00:00,-1577.1798717757742,-1563.0621554257286,-1571.4991952073208,0.006800950506068315,0.00010853816076982349,0.9629290006915684,5,True,252,13000,1,1,0 days 00:00:00.364995,corn,0.24569061683902219,0.2700468733974632
10,1970-03-17 01:00:00+00:00,-1573.4045759818778,-1559.2868596318322,-1567.7238994134243,0.006886694220386435,0.0001101780255657346,0.9635182375953366,5,True,252,13000,1,1,0 days 00:00:00.365363,corn,0.25197570772315353,0.2773728178484151
11,1970-03-24 01:00:00+00:00,-1571.9790668385049,-1557.8613504884593,-1566.2983902700514,0.006959781366274372,0.00011080228319677219,0.9649670595734159,5,True,252,13000,1,1,0 days 00:00:00.222571,corn,0.25157733448384095,0.2773226572545834
12,1970-04-01 01:00:00+00:00,-1570.8176180191272,-1556.6999016690816,-1565.1369414506737,0.007001801852739408,0.0001113172827625037,0.9652071414842728,5,True,252,13000,1,1,0 days 00:00:00.222999,corn,0.2522155512436968,0.27773754145172486
13,1970-04-08 01:00:00+00:00,-1571.0794517796348,-1556.9617354295892,-1565.3987752111814,0.006973955125539065,0.00011119831614620996,0.9639997762073708,5,True,252,13000,1,1,0 days 00:00:00.178040,corn,0.24684489453679367,0.27237793558424217
14,1970-04-15 01:00:00+00:00,-1569.5641281045878,-1555.4464117545422,-1563.8834515361343,0.00699484748321123,0.00011186851234998243,0.9634121218677969,5,True,252,13000,1,1,0 days 00:00:00.263964,corn,0.2419250121106981,0.2655290742082947
15,1970-04-22 01:00:00+00:00,-1567.2319305546225,-1553.114214204577,-1561.551253986169,0.007045620552995742,0.00011291558187129516,0.9650270361203974,5,True,252,13000,1,1,0 days 00:00:00.223996,corn,0.24821620823616466,0.27150942343213447
16,1970-04-29 00:00:00+00:00,-1562.284741171372,-1548.1670248213263,-1556.6040646029185,0.00714338456116269,0.00011515061238607756,0.968326179624326,5,True,252,13000,1,1,0 days 00:00:00.167167,corn,0.26456798749687543,0.2882893847925959
17,1970-05-06 00:00:00+00:00,-1558.1417383341054,-1544.0240219840598,-1552.461061765652,0.007283719873013625,0.000117059539488244,0.9698835098152393,5,True,252,13000,1,1,0 days 00:00:00.276012,corn,0.2921028943170949,0.31706417445015744
18,1970-05-13 00:00:00+00:00,-1557.1680166536203,-1543.0503003035747,-1551.4873400851668,0.007336987655317859,0.00011751386586480794,0.9700815166837854,5,True,252,13000,1,1,0 days 00:00:00.188540,corn,0.29552921946858574,0.32006166960646937
19,1970-05-20 00:00:00+00:00,-1556.257410319884,-1542.1396939698384,-1550.5767337514305,0.007389970390761119,0.00011794202778312034,0.970405228775651,5,True,252,13000,1,1,0 days 00:00:00.218031,corn,0.30026997563124563,0.3243858227281234
20,1970-05-27 00:00:00+00:00,-1554.8952629473133,-1540.7775465972677,-1549.2145863788598,0.007436805574975241,0.0001185766113248621,0.9691823664543717,5,True,252,13000,1,1,0 days 00:00:00.316291,corn,0.2861130378548722,0.31100544961237475
21,1970-06-04 00:00:00+00:00,-1552.8866814140047,-1538.768965063959,-1547.2060048455512,0.007517566315951524,0.00011952638714061984,0.9692317403727879,5,True,252,13000,1,1,0 days 00:00:00.385003,corn,0.2963905274411262,0.3219006583645519
22,1970-06-11 00:00:00+00:00,-1539.9808121698925,-1525.8630958198469,-1534.300135601439,0.007736323187694879,0.0001258096822407134,0.9747993885978834,5,True,252,13000,1,1,0 days 00:00:00.277615,corn,0.31365525679321427,0.340403535477289
23,1970-06-18 00:00:00+00:00,-1535.5563410499103,-1521.4386246998647,-1529.8756644814569,0.007867366435022753,0.0001280382793535265,0.9746140924437694,5,True,252,13000,1,1,0 days 00:00:00.219932,corn,0.33056164905479996,0.35828139357155514
24,1970-06-25 00:00:00+00:00,-1530.1604539716727,-1516.042737621627,-1524.4797774032193,0.007972310451419122,0.0001308077492041646,0.9713120058510883,5,True,252,13000,1,1,0 days 00:00:00.193040,corn,0.2765803340885288,0.3046052703780069
25,1970-07-02 00:00:00+00:00,-1527.8972613181768,-1513.7795449681312,-1522.2165847497233,0.008014135401234568,0.00013201732941622136,0.970807600294542,5,True,252,13000,1,1,0 days 00:00:00.233470,corn,0.27429509061023505,0.2999348128063265
26,1970-07-10 00:00:00+00:00,-1521.3692022679165,-1507.251485917871,-1515.688525699463,0.008128512421826559,0.00013546917743987682,0.9759984459402898,5,True,252,13000,1,1,0 days 00:00:00.205151,corn,0.25700010830531844,0.2809467907353949
27,1970-07-17 00:00:00+00:00,-1516.8912539513408,-1502.7735376012952,-1511.2105773828873,0.008234688402846578,0.00013789012918200683,0.973953752653066,5,True,252,13000,1,1,0 days 00:00:00.201636,corn,0.268277843040081,0.29534410080241835
28,1970-07-24 00:00:00+00:00,-1512.8011931489455,-1498.6834767988998,-1507.120516580492,0.008331238397405018,0.00014016043172897423,0.975993404165819,5,True,252,13000,1,1,0 days 00:00:00.255535,corn,0.2204507192021967,0.24268923820382451
29,1970-07-31 00:00:00+00:00,-1507.9095255630373,-1493.7918092129917,-1502.2288489945838,0.008454494431109585,0.0001428861517585905,0.977186731806336,5,True,252,13000,1,1,0 days 00:00:00.205076,corn,0.1796746998746586,0.19877068366956
