,asofdate,pointForecast,close,forecastday,product_name
0,2011-10-17 23:10:00+00:00,3319.272518760734,3320.0,1,whole_milk_powder
1,2011-10-18 23:10:00+00:00,3319.2139405089206,3465.0,2,whole_milk_powder
2,2011-10-19 23:10:00+00:00,3319.2113201009806,3465.0,3,whole_milk_powder
3,2011-10-20 23:10:00+00:00,3319.2112028800325,3465.0,4,whole_milk_powder
4,2011-10-24 23:10:00+00:00,3319.2111976362853,3465.0,5,whole_milk_powder
5,2011-10-25 23:10:00+00:00,3464.7819202050646,3550.0,1,whole_milk_powder
6,2011-10-26 23:10:00+00:00,3464.7649090098575,3530.0,2,whole_milk_powder
7,2011-10-27 23:10:00+00:00,3464.7641215111153,3530.0,3,whole_milk_powder
8,2011-10-30 23:10:00+00:00,3464.7640850553707,3530.0,4,whole_milk_powder
9,2011-10-31 23:10:00+00:00,3464.764083367722,3660.0,5,whole_milk_powder
10,2011-11-01 23:10:00+00:00,3485.0,3485.0,1,whole_milk_powder
11,2011-11-02 23:10:00+00:00,3485.0,3485.0,2,whole_milk_powder
12,2011-11-03 23:10:00+00:00,3485.0,3485.0,3,whole_milk_powder
13,2011-11-06 23:10:00+00:00,3495.0,3495.0,4,whole_milk_powder
14,2011-11-07 23:10:00+00:00,3495.0,3495.0,5,whole_milk_powder
15,2011-11-08 23:10:00+00:00,3494.8833132583477,3500.0,1,whole_milk_powder
16,2011-11-09 23:10:00+00:00,3494.864221517353,3500.0,2,whole_milk_powder
17,2011-11-10 23:10:00+00:00,3494.8627553121005,3510.0,3,whole_milk_powder
18,2011-11-13 23:10:00+00:00,3494.862642710338,3510.0,4,whole_milk_powder
19,2011-11-14 23:10:00+00:00,3494.862634062736,3510.0,5,whole_milk_powder
20,2011-11-15 23:10:00+00:00,3510.1321435173636,3530.0,1,whole_milk_powder
21,2011-11-16 23:10:00+00:00,3510.1390909454767,3530.0,2,whole_milk_powder
22,2011-11-17 23:10:00+00:00,3510.139488284076,3530.0,3,whole_milk_powder
23,2011-11-20 23:10:00+00:00,3510.139511008717,3530.0,4,whole_milk_powder
24,2011-11-21 23:10:00+00:00,3510.139512308387,3530.0,5,whole_milk_powder
25,2011-11-22 23:10:00+00:00,3530.113165040654,3545.0,1,whole_milk_powder
26,2011-11-23 23:10:00+00:00,3530.1191258268373,3545.0,2,whole_milk_powder
27,2011-11-24 23:10:00+00:00,3530.119467239503,3545.0,3,whole_milk_powder
28,2011-11-27 23:10:00+00:00,3530.1194867943923,3545.0,4,whole_milk_powder
29,2011-11-28 23:10:00+00:00,3530.1194879144255,3545.0,5,whole_milk_powder
30,2011-11-29 23:10:00+00:00,3545.0,3545.0,1,whole_milk_powder
31,2011-11-30 23:10:00+00:00,3545.0,3545.0,2,whole_milk_powder
32,2011-12-05 23:10:00+00:00,3550.0,3550.0,3,whole_milk_powder
33,2011-12-06 23:10:00+00:00,3620.0,3620.0,4,whole_milk_powder
34,2011-12-07 23:10:00+00:00,3620.0,3620.0,5,whole_milk_powder
35,2011-12-08 23:10:00+00:00,3620.7016804743025,3620.0,1,whole_milk_powder
36,2011-12-11 23:10:00+00:00,3620.854168902066,3620.0,2,whole_milk_powder
37,2011-12-12 23:10:00+00:00,3620.857692898044,3620.0,3,whole_milk_powder
38,2011-12-13 23:10:00+00:00,3620.8577743356095,3620.0,4,whole_milk_powder
39,2011-12-14 23:10:00+00:00,3620.8577762175855,3620.0,5,whole_milk_powder
40,2011-12-15 23:10:00+00:00,3620.5411843886145,3610.0,1,whole_milk_powder
41,2011-12-18 23:10:00+00:00,3620.530559185736,3610.0,2,whole_milk_powder
