asofdate,pnl,pointForecast,forecastday,product_name
1971-01-19 01:00:00+00:00,0.0,156.6792021380659,5,corn
1971-01-26 01:00:00+00:00,0.0,156.97078608613486,5,corn
1971-02-02 01:00:00+00:00,0.0,155.22045368044024,5,corn
1971-02-09 01:00:00+00:00,0.0,154.3888247810218,5,corn
1971-02-17 01:00:00+00:00,0.0,153.160525802922,5,corn
1971-02-24 01:00:00+00:00,0.0,150.96234756430573,5,corn
1971-03-03 01:00:00+00:00,2.125,149.3512544540341,5,corn
1971-03-10 01:00:00+00:00,0.0,152.3147128084531,5,corn
1971-03-17 01:00:00+00:00,0.0,154.02240614376737,5,corn
1971-03-24 01:00:00+00:00,-1.75,150.75302209324312,5,corn
1971-03-31 01:00:00+00:00,3.25,149.20552533642586,5,corn
1971-04-07 01:00:00+00:00,1.5,146.19171699320052,5,corn
1971-04-15 01:00:00+00:00,0.0,146.3380585838871,5,corn
1971-04-22 01:00:00+00:00,0.0,149.34408860819605,5,corn
1971-04-29 00:00:00+00:00,-3.0,146.59959928830108,5,corn
1971-05-06 00:00:00+00:00,2.75,141.5836295310055,5,corn
1971-05-13 00:00:00+00:00,0.0,144.78077849433052,5,corn
1971-05-20 00:00:00+00:00,-3.25,144.03465035799874,5,corn
1971-05-27 00:00:00+00:00,0.0,144.77558383603542,5,corn
1971-06-04 00:00:00+00:00,0.0,148.97481151679585,5,corn
1971-06-11 00:00:00+00:00,0.0,151.12762782717505,5,corn
1971-06-18 00:00:00+00:00,2.125,159.67414512727817,5,corn
1971-06-25 00:00:00+00:00,0.0,158.8529764324838,5,corn
1971-07-02 00:00:00+00:00,0.0,157.32975808181408,5,corn
1971-07-12 00:00:00+00:00,0.0,153.11141012075583,5,corn
1971-07-19 00:00:00+00:00,0.0,142.6003324787699,5,corn
1971-07-26 00:00:00+00:00,-10.25,145.75599376540816,5,corn
1971-08-02 00:00:00+00:00,0.0,139.60338766639296,5,corn
1971-08-09 00:00:00+00:00,6.125,128.85980445167354,5,corn
1971-08-16 00:00:00+00:00,10.375,124.99227428021278,5,corn
1971-08-23 00:00:00+00:00,3.875,123.90235075616948,5,corn
1971-08-30 00:00:00+00:00,1.375,123.89347939562568,5,corn
1971-09-07 00:00:00+00:00,-0.0,117.57684387409994,5,corn
1971-09-14 00:00:00+00:00,0.0,119.69581442866986,5,corn
1971-09-21 00:00:00+00:00,-2.0,115.85714898840388,5,corn
1971-09-28 00:00:00+00:00,3.75,113.7531358633051,5,corn
1971-10-05 00:00:00+00:00,2.0,112.76585791290812,5,corn
1971-10-12 00:00:00+00:00,0.0,112.96869276087132,5,corn
1971-10-19 00:00:00+00:00,0.0,114.63978375761252,5,corn
1971-10-26 00:00:00+00:00,0.0,116.54446224860855,5,corn
1971-11-02 01:00:00+00:00,-1.625,115.8920185204136,5,corn
1971-11-09 01:00:00+00:00,0.375,114.51997756378974,5,corn
1971-11-16 01:00:00+00:00,0.0,115.54479731527154,5,corn
1971-11-23 01:00:00+00:00,-1.0,113.99607671276428,5,corn
1971-12-01 01:00:00+00:00,0.0,115.32368151923416,5,corn
1971-12-08 01:00:00+00:00,0.0,115.1895164869926,5,corn
1971-12-15 01:00:00+00:00,-0.125,122.38132925243728,5,corn
1971-12-22 01:00:00+00:00,7.0,124.07915284725787,5,corn
1971-12-30 01:00:00+00:00,0.0,122.06231261876,5,corn
1972-01-07 01:00:00+00:00,-1.875,123.3523913889619,5,corn
1972-01-14 01:00:00+00:00,0.0,122.51766646413766,5,corn
1972-01-21 01:00:00+00:00,0.0,120.75111158268808,5,corn
1972-01-28 01:00:00+00:00,-1.75,120.88733235514476,5,corn
1972-02-04 01:00:00+00:00,0.125,121.16984244118044,5,corn
1972-02-11 01:00:00+00:00,0.0,120.78170295433311,5,corn
1972-02-18 01:00:00+00:00,0.0,119.50584145300166,5,corn
1972-02-28 01:00:00+00:00,0.0,119.012603028825,5,corn
1972-03-06 01:00:00+00:00,0.5,118.26627990650552,5,corn
1972-03-13 01:00:00+00:00,0.0,119.05150669901288,5,corn
