,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.resid,ar.L2.resid,ma.L1.resid,ma.L2.resid
0,1971-07-06 00:00:00+00:00,-1523.0644404733466,-1501.887865948278,-1514.5434256206663,0.008252425756674498,0.0001324441064357579,5,True,252,2000,2,2,0 days 00:00:00.472148,ZC1,0.3391523799712268,0.2804691462935432,0.3137586759949956,0.2581083237707318
1,1971-07-13 00:00:00+00:00,-1524.6590706000397,-1503.482496074971,-1516.1380557473594,0.008228939372779168,0.00013222735708156718,5,True,252,2000,2,2,0 days 00:00:00.801707,ZC1,0.0391236960939008,0.03152412823261885,0.021454947916430926,0.01927000376256859
2,1971-07-20 00:00:00+00:00,-1516.3728643750928,-1495.1962898500242,-1507.8518495224125,0.008399980026447802,0.00013677350417841327,5,True,252,2000,2,2,0 days 00:00:00.971293,ZC1,0.037906327695872814,0.030483004195329483,0.019635430306125395,0.020573196682732033
3,1971-07-27 00:00:00+00:00,-1505.8183424906024,-1484.6417679655337,-1497.297327637922,0.00851350853057112,0.00014192349296350757,5,True,252,2000,2,2,0 days 00:00:00.630756,ZC1,0.026285431389486146,,,
4,1971-08-03 00:00:00+00:00,-1502.1600725506787,-1480.98349802561,-1493.6390576979984,0.00858757012791719,0.00014394627837227057,5,True,252,2000,2,2,0 days 00:00:00.932709,ZC1,,,,
5,1971-08-10 00:00:00+00:00,-1500.2584569095725,-1479.0818823845038,-1491.7374420568922,0.008730573915878736,0.00014515213097000257,5,True,252,2000,2,2,0 days 00:00:00.715428,ZC1,0.4637582962118416,0.4303639119571663,0.4763061883308668,0.43250653752378687
6,1971-08-17 00:00:00+00:00,-1541.6621095157543,-1520.4855349906857,-1533.141094663074,0.008182784489985297,0.00012427090800022395,5,True,252,2000,2,2,0 days 00:00:00.851627,ZC1,0.029248187456260323,0.029921514984515098,0.013800934626030721,0.01907292564870629
7,1971-08-24 00:00:00+00:00,-1557.2638708027694,-1536.0872962777007,-1548.742855950089,0.008033482981522861,0.00011569400761649105,5,True,252,2000,2,2,0 days 00:00:00.502640,ZC1,0.20342183679406362,0.17066214412357084,0.21686106042195272,0.1767478395192768
8,1971-08-31 00:00:00+00:00,-1564.9322043318898,-1543.7556298068212,-1556.4111894792095,0.007907207085652845,0.00011219044411532186,5,True,252,2000,2,2,0 days 00:00:00.663829,ZC1,0.19838147820631735,0.17658156807215472,0.21468325945981812,0.19021275607491406
9,1971-09-08 00:00:00+00:00,-1572.4177793082013,-1551.2412047831326,-1563.896764455521,0.007843458267527217,0.00010906241143164804,5,True,252,2000,2,2,0 days 00:00:00.488295,ZC1,0.014709850457180451,0.014256580193189117,0.019056814494672236,0.09393592235438897
10,1971-09-15 00:00:00+00:00,-1578.7275413589305,-1557.5509668338618,-1570.2065265062502,0.007837819233842823,0.00010642446078860944,5,True,252,2000,2,2,0 days 00:00:01.077048,ZC1,0.010654334986420497,0.010147112666003063,0.038507272325618756,0.04125605393282742
11,1971-09-22 00:00:00+00:00,-1595.0118385631636,-1573.835264038095,-1586.4908237104833,0.007545840453795639,9.95419285069177e-05,5,True,252,2000,2,2,0 days 00:00:00.533870,ZC1,1.9783116780023249,1.806357060643185,1.974368582943102,1.7627197728634425
12,1971-09-29 00:00:00+00:00,-1598.9808484000469,-1577.8042738749782,-1590.4598335473665,0.0074636674630891705,9.798763606861349e-05,5,True,252,2000,2,2,0 days 00:00:00.366613,ZC1,0.016893610257704986,0.020060940402150347,0.018884486800130197,0.01632269542104672
13,1971-10-06 00:00:00+00:00,-1602.5972438632984,-1581.4206693382298,-1594.0762290106181,0.0074426546234983,9.658101957158605e-05,5,True,252,2000,2,2,0 days 00:00:03.224383,ZC1,0.02200807325789423,0.02109401446483858,0.027479020181940914,0.02731326450552179
