,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.resid
0,2013-07-16 13:30:00+00:00,586.9031472473953,597.4914345099296,591.1636546737354,0.48729748190673994,0.5871666030740521,5,True,252,1000,1,0,0 days 00:00:00.049935,SOYB,0.059459544933301356
1,2013-07-30 13:30:00+00:00,575.8590925658693,586.4473798284037,580.1195999922095,0.47422460050234166,0.5616638177438515,5,True,252,1000,1,0,0 days 00:00:00.068319,SOYB,0.05924887917422293
2,2013-08-12 13:30:00+00:00,576.7457793278285,587.3340665903628,581.0062867541686,0.47544352289303704,0.5635461820686766,5,True,252,1000,1,0,0 days 00:00:00.048016,SOYB,0.05894964477956582
3,2013-08-21 13:30:00+00:00,576.3817677277627,586.9700549902971,580.6422751541029,0.47435081035369026,0.5627337606904624,5,True,252,1000,1,0,0 days 00:00:00.033719,SOYB,0.058954084670987936
4,2013-08-30 13:30:00+00:00,552.0116046390315,562.5998919015658,556.2721120653716,0.4531446131320313,0.5108933947675922,5,True,252,1000,1,0,0 days 00:00:00.041279,SOYB,0.05832019671485189
5,2013-09-11 13:30:00+00:00,616.1333096563038,626.7215969188381,620.393817082644,0.48734981275440226,0.6589623990256268,5,True,252,1000,1,0,0 days 00:00:00.056047,SOYB,0.06052062514851078
6,2013-09-18 13:30:00+00:00,619.9294834564322,630.5177707189665,624.1899908827723,0.4965467108738229,0.6691078969079876,5,True,252,1000,1,0,0 days 00:00:00.039995,SOYB,0.06033800440408443
7,2013-09-25 13:30:00+00:00,622.6509437980887,633.2392310606231,626.9114512244289,0.5026362470942568,0.6762557074861661,5,True,252,1000,1,0,0 days 00:00:00.040002,SOYB,0.06043429183694216
8,2013-10-03 13:30:00+00:00,624.4739194153452,635.0622066778795,628.7344268416854,0.5100417633974115,0.6828540397565156,5,True,252,1000,1,0,0 days 00:00:00.047394,SOYB,0.06085701033286519
9,2013-10-10 13:30:00+00:00,623.2768513254206,633.8651385879549,627.5373587517607,0.5075146677930903,0.6784292238371891,5,True,252,1000,1,0,0 days 00:00:00.040092,SOYB,0.06032314831944592
10,2013-10-17 13:30:00+00:00,622.3318559144706,632.9201431770049,626.5923633408107,0.5086160170144333,0.6782459077307784,5,True,252,1000,1,0,0 days 00:00:00.040085,SOYB,0.06092829102914323
11,2013-10-24 13:30:00+00:00,610.9888222368579,621.5771094993922,615.2493296631981,0.4938352787411786,0.6456508075531531,5,True,252,1000,1,0,0 days 00:00:00.039961,SOYB,0.05980353531160564
12,2013-10-31 13:30:00+00:00,607.4489365197009,618.0372237822352,611.709443946041,0.4870699520035012,0.6366946821061561,5,True,252,1000,1,0,0 days 00:00:00.035065,SOYB,0.05980495186634337
13,2013-11-08 14:30:00+00:00,607.1309666882689,617.7192539508032,611.3914741146091,0.486162007383915,0.6358339239081562,5,True,252,1000,1,0,0 days 00:00:00.029586,SOYB,0.05977391245880923
14,2013-11-19 14:30:00+00:00,598.1615970629608,608.7498843254951,602.422104489301,0.47824350570990143,0.6136435617053617,5,True,252,1000,1,0,0 days 00:00:00.032001,SOYB,0.05943922301464222
15,2013-11-27 14:30:00+00:00,590.950502188892,601.5387894514263,595.2110096152321,0.46730710286740634,0.5972719957383592,5,True,252,1000,1,0,0 days 00:00:00.033341,SOYB,0.05969480350077926
16,2013-12-09 14:30:00+00:00,586.1526768325073,596.7409640950416,590.4131842588474,0.4579032532293651,0.5849920318076145,5,True,252,1000,1,0,0 days 00:00:00.033460,SOYB,0.05917217724188569
17,2013-12-26 14:30:00+00:00,586.0186931931205,596.6069804556548,590.2792006194607,0.45848260551161757,0.5847224744160173,5,True,252,1000,1,0,0 days 00:00:00.032004,SOYB,0.059176991532154354
18,2014-01-03 14:30:00+00:00,586.2719166738165,596.8602039363508,590.5324241001566,0.45816245503289144,0.5852902596757504,5,True,252,1000,1,0,0 days 00:00:00.031980,SOYB,0.05912910025229705
19,2014-01-13 14:30:00+00:00,588.0073496625951,598.5956369251294,592.2678570889352,0.46232127414528584,0.5893191028184506,5,True,252,1000,1,0,0 days 00:00:00.034526,SOYB,0.05926039777195247
20,2014-01-21 14:30:00+00:00,586.2972994423774,596.8855867049117,590.5578068687175,0.4590952367279962,0.5858931356839822,5,True,252,1000,1,0,0 days 00:00:00.029534,SOYB,0.059439667017113354
21,2014-01-30 14:30:00+00:00,577.5518001198969,588.1400873824313,581.8123075462371,0.44210029810455487,0.5654414917740811,5,True,252,1000,1,0,0 days 00:00:00.032034,SOYB,0.05987568939858327
22,2014-02-06 14:30:00+00:00,577.3398560256016,587.928143288136,581.6003634519418,0.43986090800216254,0.5649402880793859,5,True,252,1000,1,0,0 days 00:00:00.031971,SOYB,0.059907661296212
