,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ar.L2.close,ar.L3.close,ma.L1.close,ma.L2.close,ma.L3.close
0,1970-01-05 01:00:00+00:00,-1583.8104250297806,-1555.5749923296892,-1572.4490718928735,0.006665183664945539,0.00010210254698241206,0.9250753466638224,5,True,252,13000,3,3,0 days 00:00:01.899741,corn,0.40832840119089897,0.07293141714284969,0.31101149186290356,0.4306272644019995,0.06613763778856135,0.39275731390888274
1,1970-01-12 01:00:00+00:00,-1582.3077348221054,-1554.072302122014,-1570.9463816851983,0.00663623163342685,0.00010254353579111606,0.9274323361196558,5,True,252,13000,3,3,0 days 00:00:01.174573,corn,0.3577744754196521,0.06648095140265843,0.3122256907192812,0.38454216059445895,0.06836334096339883,0.3808921713082687
2,1970-01-19 01:00:00+00:00,-1579.10193933242,-1550.8665066323285,-1567.7405861955128,0.006811917430027014,0.00010431728433842082,0.9415573131280437,5,True,252,13000,3,3,0 days 00:00:01.288052,corn,0.6225042115326144,0.23141638499633033,0.35734531046017126,0.617555772502118,0.20965007539158648,0.3941156986365179
3,1970-01-26 01:00:00+00:00,-1581.530220829518,-1553.2947881294265,-1570.1688676926108,0.006724744337897614,0.00010289125859414977,0.9236834279019643,5,True,252,13000,3,3,0 days 00:00:01.364757,corn,0.31418208828461935,0.04981508943489574,0.27156449732249216,0.338544774733465,0.03726324365910613,0.33375438750757885
4,1970-02-02 01:00:00+00:00,-1577.3101482254046,-1549.0747155253132,-1565.9487950884975,0.006869181160468941,0.00010506635096212616,0.9399018164949928,5,True,252,13000,3,3,0 days 00:00:01.035818,corn,0.6148915547782999,0.23113992173905276,0.35084998689469876,0.6107155732634254,0.2138941835590806,0.38833354749491505
5,1970-02-09 01:00:00+00:00,-1576.927479753504,-1548.6920470534126,-1565.5661266165969,0.006890259086139323,0.00010521912384743427,0.938590651009318,5,True,252,13000,3,3,0 days 00:00:01.213470,corn,0.6577051610660332,0.22976321031699945,0.3671153636082737,0.6547941637268044,0.21377789258791724,0.42017552912137174
6,1970-02-16 01:00:00+00:00,-1576.303712367806,-1548.0682796677145,-1564.9423592308988,0.006909246292392719,0.00010549756198083903,0.9401442320499331,5,True,252,13000,3,3,0 days 00:00:01.153739,corn,0.6805506405187904,0.2292393523733256,0.3780901376574974,0.6778729061614469,0.2178967569122895,0.43669464681281844
7,1970-02-24 01:00:00+00:00,-1576.3039965443709,-1548.0685638442794,-1564.9426434074637,0.006917766370479269,0.00010548559029774136,0.9419804215895322,5,True,252,13000,3,3,0 days 00:00:00.979030,corn,0.5860371245198596,0.30411373282128623,0.2619560873289419,0.5833466042997099,0.2820541479345766,0.2916421306103272
8,1970-03-03 01:00:00+00:00,-1575.4869360537728,-1547.2515033536813,-1564.1255829168656,0.006922379073016902,0.00010583651472706507,0.9403563531677878,5,True,252,13000,3,3,0 days 00:00:01.279071,corn,0.5591887583331918,0.22240139214819812,0.34800092581930925,0.5555180605219696,0.21354611966741815,0.386565213521728
9,1970-03-10 01:00:00+00:00,-1574.6685904046344,-1546.433157704543,-1563.3072372677273,0.0069282614520127465,0.00010615850878263229,0.9418172009911923,5,True,252,13000,3,3,0 days 00:00:01.687425,corn,0.5250555121289401,0.4667949300077811,0.35354630646138274,0.5300426277110522,0.423394572641747,0.3581519218152807
