,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,log_diff,trainDFLength,num_models,order_p,order_q,time,ar.L1.close,ar.L2.close,ma.L1.close,ma.L2.close
0,1972-08-22 01:00:00+00:00,-1299.5006102358661,-1278.3240357107975,-1290.9795953831858,0.013425372927264178,0.00032141490267489084,0.9795683857338183,5,True,252,12000,2,2,0 days 00:00:02.229391,0.2523705781889112,0.1203180351602166,0.3632603219954342,0.24481825066048907
1,1972-08-29 01:00:00+00:00,-1290.9030227377048,-1269.7264482126361,-1282.3820078850244,0.013795870257141898,0.00033272839368457595,0.9896717126265183,5,True,252,12000,2,2,0 days 00:00:01.066336,0.6294454968668455,0.44824322300939645,0.6348337903809405,0.45846310107132915
2,1972-09-06 01:00:00+00:00,-1286.2523373677714,-1265.0757628427027,-1277.731322515091,0.013949813301415499,0.00033868608015153335,0.9837980463015488,5,True,252,12000,2,2,0 days 00:00:01.395848,0.09957059084006487,0.10986831200153556,0.05909122764155183,0.11874195161667563
3,1972-09-13 01:00:00+00:00,-1282.8721378991604,-1261.6955633740918,-1274.35112304648,0.0141568587705458,0.00034338130387715675,0.9828245343428246,5,True,252,12000,2,2,0 days 00:00:01.113539,0.15102992098990933,0.17601206608248357,0.11538876412936526,0.19364126691551356
4,1972-09-20 01:00:00+00:00,-1276.5004735791013,-1255.3238990540326,-1267.979458726421,0.014494723478844554,0.00035226827676755173,0.9818288887238038,5,True,252,12000,2,2,0 days 00:00:01.557170,0.19248942345209494,0.3505004448555787,0.18874101002241697,0.347023156886326
5,1972-09-27 01:00:00+00:00,-1274.990754410076,-1253.8141798850074,-1266.4697395573958,0.01459868358917065,0.00035436365852147916,0.9782810131904153,5,True,252,12000,2,2,0 days 00:00:00.934886,0.26155471500474337,0.3483499268420561,0.24466728356877648,0.354317243866288
6,1972-10-04 01:00:00+00:00,-1272.6321644200516,-1251.455589894983,-1264.1111495673713,0.01472822067019034,0.00035770475215142814,0.9778432447303661,5,True,252,12000,2,2,0 days 00:00:00.703769,0.3719236953193585,0.3919982576353507,0.34611102592423804,0.41657845383172787
7,1972-10-12 01:00:00+00:00,-1266.3264887129121,-1245.1499141878435,-1257.8054738602318,0.01508127789711928,0.00036676534248067995,0.9802792791585138,5,True,252,12000,2,2,0 days 00:00:01.049806,0.23494755067203704,0.3972716120306989,0.2477332010701779,0.3612347597592028
8,1972-10-19 01:00:00+00:00,-1258.1276780586822,-1236.9511035336136,-1249.606663206002,0.015502977414192676,0.0003789290660933257,0.9732145763812641,5,True,252,12000,2,2,0 days 00:00:00.863445,0.29564340300544956,0.3230981178636772,0.2772699270164371,0.31139439611664604
9,1972-10-26 01:00:00+00:00,-1254.0013018734644,-1232.8247273483958,-1245.480287020784,0.01569007393072189,0.0003851569788944999,0.9727348890047276,5,True,252,12000,2,2,0 days 00:00:01.050691,0.2958183190266819,0.39026727921017607,0.27556637578806503,0.37072644882418837
