,0
Unnamed: 0,1297.5
aic,-1412.7181869500218
bic,-1398.6004705999762
hqic,-1407.0375103815684
mae,0.011040613334511893
mse,0.0002452282138751781
rsquare,0.989258593568552
forecastHorizon,5.0
diff,1.0
trainDFLength,252.0
num_models,13000.0
order_p,1.0
order_q,1.0
ar.L1.close,0.40575458316829
ma.L1.close,0.40031606366324024
