Year,Planted Acres,Harvested Acres,Yield,% Harvested,Production,Stocks,Imports,      TOTAL SUPPLY,Crush,Seed,Feed & Residual,      ALL DOM. USE,      EXPORTS,      TOTAL USAGE,ENDING STOCKS,Free,CCC,Loan,STOCK/USE (%)
1997,70.005,69.11,38.90536825,0.987215199,2688.75,134.8,4.6,2828.15,1597.4,86,70,1753.4,872.5,2625.9,202.25,155.25,1,46,0.077021212
1998,72.025,70.441,38.91219602,0.978007636,2741.014,202.25,4,2947.264,1590,89,115.5,1794.5,800.5,2595,352.264,262.264,0,90,0.135747206
1999,73.7,72.4,36.65745856,0.982360923,2654,348,4,3006,1578,90,75,1743,973,2716,290,185,0,105,0.106774669
2000,74.3,72.4,38.09392265,0.974427995,2758,290,4,3052,1640,91,78,1809,996,2805,247,0,0,0,0.088057041
2001,74.1,73,39.60273973,0.985155196,2891,248,2,3141,1700,90,79,1869,1064,2933,208,0,0,0,0.07091715
2002,74,72.5,38.0137931,0.97972973,2756,208,5,2969,1615,89,41,1745,1045,2790,178,0,0,0,0.063799283
2003,73.4,72.3,33.94190871,0.985013624,2454,178,6,2638,1530,92,17,1639,885,2524,112,0,0,0,0.04437401
2004,75.2,74,42.21621622,0.984042553,3124,112,6,3242,1696,88,99,1883,1103,2986,256,0,0,0,0.085733423
2005,72,71.3,42.95932679,0.990277778,3063,256,3,3322,1739,93,94,1926,947,2873,449,0,0,0,0.156282631
2006,75.5,74.6,42.73458445,0.98807947,3188,449,9,3646,1806,78,71,1955,1118,3073,573,0,0,0,0.18646274
2007,64.7,64.12,41.73,0.991035549,2675.7276,574,10,3259.7276,1801,95,0,1896,1160,3056,205,0,0,0,0.067081152
2008,75.7,74.7,39.7188755,0.98678996,2967,205,13,3185,1662,90,12,1764,1283,3047,138,0,0,0,0.04529045
2009,77.5,76.4,43.96,0.985806452,3358.544,138,15,3511.544,1752,90,20,1862,1499,3361,150.544,0,0,0,0.044791431
2010,77.4,76.6,43.45953003,0.989664083,3329,150.544,14,3493.544,1648,87,43,1778,1501,3279,214.544,0,0,0,0.065429704
2011,75,73.82,41.92,0.984266667,3094.5344,214.544,16,3325.0784,1703,90,-2,1791,1365,3156,169.0784,0,0,0,0.053573638
2012,77.2,76.06,40,0.985233161,3042.4,169.0784,41,3252.4784,1689,89,16,1794,1317,3111,141,0,0,0,0.045323047
2013,76.8,76.31,44,0.993619792,3357.64,141,72,3570.64,1734,97,10,1841,1638,3479,91.64,0,0,0,0.026340903
2014,83.3,82.63,47.53,0.991956783,3927.4039,91.64,33,4052.0439,1873,96,49,2018,1843,3861,191.0439,0,0,0,0.04948042
2015,82.7,81.7,48,0.987908102,3926,191.0439,24,4140,1886,97,18,2001,1942,3944,197,0,0,0,0.04994929
2016,83.4,82.67,52,0.991247002,4296,197,22,4515,1901,105,41,2047,2166,4214,302,0,0,0,0.071665876
2017,90.2,89.5,49.3,0.992239468,4412,302,22,4735,2055,104,5,2164,2134,4297,438,0,0,0,0.10193158
2018,89.2,87.6,50.6,0.98206278,4428,438,14,4880,2092,88,39,2219,1752,3971,909,0,0,0,0.228909595
2019,76.1,74.9,47.4,0.984231275,3552,909,15,4476,2165,97,11,2273,1679,3952,525,0,0,0,0.13284413
2020,83.4,82.6,51,0.990407674,4216,525,20,4761,2141,101,-4,2238,2266,4504,257,0,0,0,0.057060391
2021,87.2,86.3,51.7,0.989678899,4465,257,16,4738,2204,102,2,2308,2158,4465,274,0,0,0,0.061366181
2022,87.5,86.3,49.5,0.986285714,4276,274,15,4566,2245,102,18,2365,1990,4355,210,0,0,0,0.048220436
