Date,asofdate,pointForecast,Close,forecastday,product_name,MA_50,MA_diff_50
2014-05-06 00:00:00-04:00,2014-05-07 00:00:00-04:00,65.71334126028871,65.74437713623047,1,XLE,62.37946655273438,0.09787422180176009
2014-05-07 00:00:00-04:00,2014-05-08 00:00:00-04:00,65.76263983455806,66.31607055664062,2,XLE,62.489329223632815,0.10986267089843693
2014-05-08 00:00:00-04:00,2014-05-09 00:00:00-04:00,65.730082203041,65.36788940429688,3,XLE,62.587860107421875,0.09853088378905994
2014-05-09 00:00:00-04:00,2014-05-12 00:00:00-04:00,65.7763710802662,65.30514526367188,4,XLE,62.68388717651367,0.09602706909179659
2014-05-12 00:00:00-04:00,2014-05-13 00:00:00-04:00,65.74194855239901,65.76528930664062,5,XLE,62.78301193237305,0.09912475585937841
2014-05-13 00:00:00-04:00,2014-05-14 00:00:00-04:00,66.00989345346076,66.00928497314453,1,XLE,62.89478713989258,0.11177520751952841
2014-05-14 00:00:00-04:00,2014-05-15 00:00:00-04:00,66.07294618316038,66.03718566894531,2,XLE,62.99393836975098,0.09915122985839986
2014-05-15 00:00:00-04:00,2014-05-16 00:00:00-04:00,66.024263489485,65.28421783447266,3,XLE,63.08940818786621,0.0954698181152338
2014-05-16 00:00:00-04:00,2014-05-19 00:00:00-04:00,66.0742579990739,65.11691284179688,4,XLE,63.172790451049806,0.08338226318359432
2014-05-19 00:00:00-04:00,2014-05-20 00:00:00-04:00,66.03262192277583,65.31910705566406,5,XLE,63.25785781860352,0.08506736755371236
2014-05-20 00:00:00-04:00,2014-05-21 00:00:00-04:00,65.20419211655158,65.13084411621094,1,XLE,63.337217483520504,0.07935966491698565
2014-05-21 00:00:00-04:00,2014-05-22 00:00:00-04:00,65.1689560333486,65.83500671386719,2,XLE,63.44453582763672,0.10731834411621577
2014-05-22 00:00:00-04:00,2014-05-23 00:00:00-04:00,65.18444774130671,65.77226257324219,3,XLE,63.55046043395996,0.10592460632324219
2014-05-23 00:00:00-04:00,2014-05-27 00:00:00-04:00,65.16132750229188,65.63977813720703,4,XLE,63.665807189941404,0.11534675598144162
2014-05-27 00:00:00-04:00,2014-05-28 00:00:00-04:00,65.17676036361456,65.82105255126953,5,XLE,63.78366935729981,0.11786216735840327
2014-05-28 00:00:00-04:00,2014-05-29 00:00:00-04:00,65.94820225585904,65.93260955810547,1,XLE,63.89737968444824,0.1137103271484321
2014-05-29 00:00:00-04:00,2014-05-30 00:00:00-04:00,65.98688539531054,66.49730682373047,2,XLE,64.01225524902344,0.11487556457520043
2014-05-30 00:00:00-04:00,2014-06-02 00:00:00-04:00,65.95443484042212,66.44852447509766,3,XLE,64.13531242370605,0.12305717468261435
2014-06-02 00:00:00-04:00,2014-06-03 00:00:00-04:00,65.9861909001483,66.36486053466797,4,XLE,64.25197898864747,0.11666656494141137
2014-06-03 00:00:00-04:00,2014-06-04 00:00:00-04:00,65.95874540713534,66.5949478149414,5,XLE,64.36994277954102,0.11796379089355469
2014-06-04 00:00:00-04:00,2014-06-05 00:00:00-04:00,66.61401482866603,66.56007385253906,1,XLE,64.48971939086914,0.11977661132812045
2014-06-05 00:00:00-04:00,2014-06-06 00:00:00-04:00,66.60055750361227,66.94353485107422,2,XLE,64.60628883361817,0.11656944274902514
2014-06-06 00:00:00-04:00,2014-06-09 00:00:00-04:00,66.61257913001822,67.49427795410156,3,XLE,64.73958969116211,0.1333008575439436
2014-06-09 00:00:00-04:00,2014-06-10 00:00:00-04:00,66.60517297401475,67.59883880615234,4,XLE,64.86508163452149,0.1254919433593784
2014-06-10 00:00:00-04:00,2014-06-11 00:00:00-04:00,66.61146355070873,67.48733520507812,5,XLE,64.97300575256348,0.10792411804199276
2014-06-11 00:00:00-04:00,2014-06-12 00:00:00-04:00,67.77694258159467,67.74528503417969,1,XLE,65.0860888671875,0.11308311462401832
2014-06-12 00:00:00-04:00,2014-06-13 00:00:00-04:00,67.81084438069402,67.96839141845703,2,XLE,65.19624382019043,0.1101549530029331
