,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,acf_0,acf_1,acf_2,acf_3,acf_4,pacf_0,pacf_1,pacf_2,pacf_3,pacf_4
500,2020-05-28 00:00:00-04:00,-1260.6069955115938,-1246.4892791615482,-1254.9263189431404,0.011345266497902464,0.0003812031950080141,5,True,252,3146,1,0,0 days 00:00:00.323593,EPU,1.0,-0.13047081111234987,0.21085270473865153,0.06361576793953283,0.16770481739335172,1.0,-0.13099061514068594,0.19879196525866596,0.11941539200006179,0.16057614977005577
501,2020-06-04 00:00:00-04:00,-1256.9608900108874,-1242.8431736608418,-1251.280213442434,0.011486972975628161,0.00038677101462841453,5,True,252,3146,1,0,0 days 00:00:00.362409,EPU,1.0,-0.12439130765473039,0.21184238765968755,0.06359818646746021,0.16392267628282867,1.0,-0.1248868905537532,0.20107652874930496,0.11727894077806343,0.1542673817458418
502,2020-06-11 00:00:00-04:00,-1243.0422303235807,-1228.924513973535,-1237.3615537551273,0.011927239379309383,0.00040871804143618974,5,True,252,3146,1,0,0 days 00:00:00.288859,EPU,1.0,-0.12401579166009188,0.2151185411780204,0.068782471339684,0.13340024062761993,1.0,-0.12450987847945479,0.20450719537840875,0.12355433494243145,0.12120546691939187
503,2020-06-18 00:00:00-04:00,-1241.7006099263983,-1227.5828935763527,-1236.0199333579449,0.01205431224133456,0.00041097170283460545,5,True,252,3146,1,0,0 days 00:00:00.282416,EPU,1.0,-0.13435604267937323,0.21149365801728642,0.06598020810793387,0.1272555376107981,1.0,-0.13489132571793644,0.1986036642134328,0.12364899999449495,0.11808037889993055
504,2020-06-25 00:00:00-04:00,-1242.1075116749757,-1227.9897953249301,-1236.4268351065223,0.01205522409612395,0.00041023877979622493,5,True,252,3146,1,0,0 days 00:00:00.313569,EPU,1.0,-0.13521783717094824,0.20842167072757264,0.06436603261018699,0.12565358623732298,1.0,-0.13575655365370104,0.19525777209509798,0.12138051423121439,0.11718686720835157
505,2020-07-02 00:00:00-04:00,-1241.8349283977877,-1227.7172120477421,-1236.1542518293343,0.012115201770686649,0.00041068519525633984,5,True,252,3146,1,0,0 days 00:00:00.350584,EPU,1.0,-0.13583769775368448,0.2068462748432007,0.06286291155973342,0.12596183974092176,1.0,-0.1363788838005119,0.19350080526218652,0.11955971253783734,0.1177911112416664
506,2020-07-10 00:00:00-04:00,-1240.7282606262852,-1226.6105442762396,-1235.0475840578317,0.01222902897032289,0.0004124955431980933,5,True,252,3146,1,0,0 days 00:00:00.370493,EPU,1.0,-0.13449956107346342,0.2039380865730441,0.06259317714060067,0.1275608171859306,1.0,-0.13503541589845725,0.19081444585740667,0.1179430001531196,0.12007952745293354
507,2020-07-17 00:00:00-04:00,-1240.204494966606,-1226.0867786165604,-1234.5238183981526,0.012278789073672688,0.00041334976711133217,5,True,252,3146,1,0,0 days 00:00:00.380303,EPU,1.0,-0.1354248756647066,0.20375937387556942,0.06316007482354911,0.12373684189571113,1.0,-0.13596441700201617,0.19042335374097644,0.11884667612119568,0.11642795758823493
508,2020-07-24 00:00:00-04:00,-1238.0251076718957,-1223.9073913218501,-1232.3444311034423,0.012448465689644991,0.00041695042050327236,5,True,252,3146,1,0,0 days 00:00:00.342463,EPU,1.0,-0.13149328569625005,0.20310685293269914,0.06420541252523702,0.12647600782615276,1.0,-0.13201716332850602,0.1906254988375221,0.11830668759282034,0.11881552321987547
509,2020-07-31 00:00:00-04:00,-1235.8219220068004,-1221.7042056567548,-1230.141245438347,0.012492897994819384,0.00042064067329991475,5,True,252,3146,1,0,0 days 00:00:00.342109,EPU,1.0,-0.14411779074415795,0.19585595505867895,0.05771584892171689,0.12174543476842485,1.0,-0.14469196520927416,0.18026093851367714,0.11391894633143859,0.11772156944486024
