,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,acf_0,acf_1,acf_2,acf_3,acf_4,pacf_0,pacf_1,pacf_2,pacf_3,pacf_4
0,2014-05-06 00:00:00-04:00,-1655.369250780523,-1641.2515344304775,-1649.6885742120696,0.006852090350711125,7.959579685818538e-05,5,True,252,2167,1,0,0 days 00:00:00.226425,XRT,1.0,0.07316600850220494,-0.03620916946968033,-0.021640251123693034,0.01417449679748833,1.0,0.07345750654404638,-0.04212213937908138,-0.01612823098782512,0.015874965177112656
1,2014-05-13 00:00:00-04:00,-1650.1444082127825,-1636.026691862737,-1644.463731644329,0.00695562694381378,8.126890276281105e-05,5,True,252,2167,1,0,0 days 00:00:00.225939,XRT,1.0,0.09907415286088858,-0.05513536327841061,-0.061724820311977235,0.008086748250436112,1.0,0.09946887060137023,-0.06612474434131094,-0.050718855232172094,0.01657895999193425
2,2014-05-20 00:00:00-04:00,-1642.2365502266452,-1628.1188338765996,-1636.5558736581918,0.007065012733761644,8.385219930027912e-05,5,True,252,2167,1,0,0 days 00:00:00.230937,XRT,1.0,0.09810212515074922,-0.08513439747865366,-0.07401082451487521,0.012469642704597233,1.0,0.0984929702708717,-0.09645200575668035,-0.05721740984943776,0.01864761917467678
3,2014-05-28 00:00:00-04:00,-1643.88058158822,-1629.7628652381743,-1638.1999050197664,0.007023596471632067,8.330569439496574e-05,5,True,252,2167,1,0,0 days 00:00:00.195652,XRT,1.0,0.1090588640653253,-0.10701279275579134,-0.0712781351729667,0.005299624388950704,1.0,0.10949336153172103,-0.12131207708853455,-0.04685327429955846,0.006688346176312005
4,2014-06-04 00:00:00-04:00,-1643.2366985069523,-1629.1189821569067,-1637.5560219384988,0.00703040257079314,8.352444337143858e-05,5,True,252,2167,1,0,0 days 00:00:00.182113,XRT,1.0,0.10671568868035562,-0.10805526223541148,-0.06380190658410327,0.010046985201592177,1.0,0.10714085078665185,-0.12179699365051753,-0.03946174394055476,0.009397858900799269
5,2014-06-11 00:00:00-04:00,-1648.4767032595337,-1634.358986909488,-1642.7960266910802,0.006916991408890453,8.180989740383035e-05,5,True,252,2167,1,0,0 days 00:00:00.221251,XRT,1.0,0.10534320847987322,-0.08198381521225435,-0.056601200737759205,-0.00043243521176145413,1.0,0.1057629025375619,-0.09488686194598438,-0.03845050525992744,0.0026348096755583438
6,2014-06-18 00:00:00-04:00,-1651.7557340425535,-1637.638017692508,-1646.0750574741,0.006862932057559887,8.075242272407333e-05,5,True,252,2167,1,0,0 days 00:00:00.329928,XRT,1.0,0.13009455526980315,-0.07414025774454368,-0.06331603513724816,0.003984822043997368,1.0,0.13061286027087807,-0.09338624214921207,-0.042292783763954137,0.012279574395022155
7,2014-06-25 00:00:00-04:00,-1663.615924072324,-1649.4982077222785,-1657.9352475038706,0.006686889707510872,7.703077347475576e-05,5,True,252,2167,1,0,0 days 00:00:00.223539,XRT,1.0,0.11451717384987407,-0.09747699999252808,-0.05561848283323273,0.010797571274024996,1.0,0.11497341757039145,-0.11296902752109617,-0.03154117232817827,0.01119680734375228
8,2014-07-02 00:00:00-04:00,-1664.8862146364181,-1650.7684982863725,-1659.2055380679647,0.006657154868148848,7.66423247512828e-05,5,True,252,2167,1,0,0 days 00:00:00.209691,XRT,1.0,0.11262179800407848,-0.10057967002120537,-0.06736330955237667,0.004794438839305751,1.0,0.11307049042640549,-0.11564779279352909,-0.04343813857354417,0.007068267569374203
9,2014-07-10 00:00:00-04:00,-1660.1385394143613,-1646.0208230643157,-1654.4578628459078,0.006767698849022698,7.81028319855127e-05,5,True,252,2167,1,0,0 days 00:00:00.316366,XRT,1.0,0.08818774298088074,-0.10771877819003513,-0.06256957258487582,-0.010244603371215135,1.0,0.08853908857044603,-0.11733954327191269,-0.043119672242010194,-0.013234204664931469
10,2014-07-17 00:00:00-04:00,-1659.6448525811409,-1645.5271362310953,-1653.9641760126874,0.006781841061120128,7.825444413321707e-05,5,True,252,2167,1,0,0 days 00:00:00.158133,XRT,1.0,0.0989016701342119,-0.10312440890772763,-0.053776016861978894,-0.00018721685179891903,1.0,0.09929570069251556,-0.11494232990913496,-0.032242180484004644,-0.002809654225226446
11,2014-07-24 00:00:00-04:00,-1654.656035224561,-1640.5383188745154,-1648.9753586561076,0.006846840266522784,7.982263125903747e-05,5,True,252,2167,1,0,0 days 00:00:00.157004,XRT,1.0,0.0861236484782524,-0.10369326847594224,-0.057614918587816456,0.011141990404120401,1.0,0.08646677058374345,-0.11284298791058127,-0.03928451014857584,0.008862869387668731
12,2014-07-31 00:00:00-04:00,-1649.9350236031541,-1635.8173072531085,-1644.2543470347007,0.006937994337865365,8.133459088485376e-05,5,True,252,2167,1,0,0 days 00:00:00.205120,XRT,1.0,0.07276459722367841,-0.10593544756103981,-0.0606554439379968,0.02731354777641565,1.0,0.07305449601739826,-0.11272148049347328,-0.04528512375727274,0.02458689266709469
13,2014-08-07 00:00:00-04:00,-1654.7952408342699,-1640.6775244842243,-1649.1145642658164,0.006871152381774875,7.977729213812068e-05,5,True,252,2167,1,0,0 days 00:00:00.320004,XRT,1.0,0.0660359900851001,-0.10763749651363154,-0.04527687487009541,0.04154094181135923,1.0,0.06629908167906465,-0.11339258958167917,-0.03082563030850963,0.03607498200148126
14,2014-08-14 00:00:00-04:00,-1650.4464892847782,-1636.3287729347326,-1644.7658127163247,0.006945786118767228,8.116908338133072e-05,5,True,252,2167,1,0,0 days 00:00:00.344071,XRT,1.0,0.055162839575698,-0.11517771529681445,-0.043957927140164416,0.06641113838597543,1.0,0.055382611844923886,-0.11953300637875598,-0.031209316672407127,0.0592321982133288
15,2014-08-21 00:00:00-04:00,-1656.77624530843,-1642.6585289583843,-1651.0955687399764,0.006840751172700235,7.91509406119881e-05,5,True,252,2167,1,0,0 days 00:00:00.257693,XRT,1.0,0.06365718059330079,-0.1180227816548639,-0.03373720160480872,0.030948564737133272,1.0,0.06391079485861274,-0.12355623011238363,-0.018052597316280467,0.020840856293302828
16,2014-08-28 00:00:00-04:00,-1660.5663782196852,-1646.4486618696396,-1654.8857016512318,0.006806037056158963,7.797075527276245e-05,5,True,252,2167,1,0,0 days 00:00:00.215645,XRT,1.0,0.06855212237834013,-0.11039648948566451,-0.0360727587710724,0.040232969110093005,1.0,0.0688252384037518,-0.11656875092598383,-0.020303627435731202,0.032812773728143944
17,2014-09-05 00:00:00-04:00,-1662.4566014772329,-1648.3388851271873,-1656.7759249087794,0.006752569388746802,7.73876623343959e-05,5,True,252,2167,1,0,0 days 00:00:00.221003,XRT,1.0,0.07094247085399795,-0.11178492699318508,-0.04594070927155592,0.028781254913112286,1.0,0.07122511018010946,-0.11835262754034631,-0.029652772926176792,0.022270632364010334
18,2014-09-12 00:00:00-04:00,-1666.363004223933,-1652.2452878738875,-1660.6823276554796,0.006688291615612977,7.619645714897072e-05,5,True,252,2167,1,0,0 days 00:00:00.225197,XRT,1.0,0.07222856826857207,-0.11192874331559288,-0.03958377567052312,0.026996831102434074,1.0,0.07251633148876559,-0.11870702654068006,-0.022737976974308873,0.019422235786436166
19,2014-09-19 00:00:00-04:00,-1665.6051641086835,-1651.487447758638,-1659.92448754023,0.006714103653303376,7.642665306820553e-05,5,True,252,2167,1,0,0 days 00:00:00.199875,XRT,1.0,0.06117383334253867,-0.11764341365262394,-0.03966132459875301,0.03912304556753032,1.0,0.06141755379410257,-0.12281996803187276,-0.02488603349309885,0.030151984858898473
20,2014-09-26 00:00:00-04:00,-1657.9962812218778,-1643.8785648718322,-1652.3156046534243,0.006848931105508527,7.876887468816626e-05,5,True,252,2167,1,0,0 days 00:00:00.322915,XRT,1.0,0.06064983115467323,-0.11100733465470794,-0.03999434905447645,0.03784809767101835,1.0,0.06089146394811818,-0.11603338887625955,-0.026256249878215426,0.030442560701755363
21,2014-10-03 00:00:00-04:00,-1652.2144628424148,-1638.0967464923692,-1646.5337862739614,0.006951107926977247,8.059797538853574e-05,5,True,252,2167,1,0,0 days 00:00:00.225436,XRT,1.0,0.07139557096123987,-0.1301900865972956,-0.05588965704306578,0.05267985415310416,1.0,0.07168001546706154,-0.13707392108838207,-0.03692133385396984,0.04401392156597479
