,asofdate,pnl,strategy
0,1973-09-05 01:00:00+00:00,0.0,arma_threshold_ma
1,1973-09-06 01:00:00+00:00,0.0,arma_threshold_ma
2,1973-09-07 01:00:00+00:00,0.0,arma_threshold_ma
3,1973-09-10 01:00:00+00:00,0.0,arma_threshold_ma
4,1973-09-11 01:00:00+00:00,0.0,arma_threshold_ma
5,1973-09-12 01:00:00+00:00,0.0,arma_threshold_ma
6,1973-09-13 01:00:00+00:00,0.0,arma_threshold_ma
7,1973-09-14 01:00:00+00:00,0.0,arma_threshold_ma
8,1973-09-17 01:00:00+00:00,0.0,arma_threshold_ma
9,1973-09-18 01:00:00+00:00,0.0,arma_threshold_ma
10,1973-09-19 01:00:00+00:00,6.969999999999999,arma_threshold_ma
11,1973-09-20 01:00:00+00:00,6.099999999999994,arma_threshold_ma
12,1973-09-21 01:00:00+00:00,2.0999999999999943,arma_threshold_ma
13,1973-09-24 01:00:00+00:00,-1.9000000000000057,arma_threshold_ma
14,1973-09-25 01:00:00+00:00,-5.900000000000006,arma_threshold_ma
15,1973-09-26 01:00:00+00:00,-8.319999999999993,arma_threshold_ma
16,1973-09-27 01:00:00+00:00,-8.0,arma_threshold_ma
17,1973-09-28 01:00:00+00:00,-4.0,arma_threshold_ma
18,1973-10-01 01:00:00+00:00,0.0,arma_threshold_ma
19,1973-10-02 01:00:00+00:00,4.0,arma_threshold_ma
20,1973-10-03 01:00:00+00:00,0.0,arma_threshold_ma
21,1973-10-04 01:00:00+00:00,0.0,arma_threshold_ma
22,1973-10-05 01:00:00+00:00,0.0,arma_threshold_ma
23,1973-10-09 01:00:00+00:00,0.0,arma_threshold_ma
24,1973-10-10 01:00:00+00:00,0.0,arma_threshold_ma
25,1973-10-11 01:00:00+00:00,-2.0,arma_threshold_ma
26,1973-10-12 01:00:00+00:00,-4.450000000000003,arma_threshold_ma
27,1973-10-15 01:00:00+00:00,-6.200000000000003,arma_threshold_ma
28,1973-10-16 01:00:00+00:00,-5.200000000000003,arma_threshold_ma
29,1973-10-17 01:00:00+00:00,-4.700000000000003,arma_threshold_ma
30,1973-10-18 01:00:00+00:00,0.0,arma_threshold_ma
31,1973-10-19 01:00:00+00:00,0.0,arma_threshold_ma
32,1973-10-23 01:00:00+00:00,0.0,arma_threshold_ma
33,1973-10-24 01:00:00+00:00,0.0,arma_threshold_ma
34,1973-10-25 01:00:00+00:00,0.0,arma_threshold_ma
35,1973-10-26 01:00:00+00:00,0.0,arma_threshold_ma
36,1973-10-29 02:00:00+00:00,0.0,arma_threshold_ma
37,1973-10-30 02:00:00+00:00,0.0,arma_threshold_ma
38,1973-10-31 02:00:00+00:00,0.0,arma_threshold_ma
39,1973-11-01 02:00:00+00:00,0.0,arma_threshold_ma
40,1973-11-02 02:00:00+00:00,2.680000000000007,arma_threshold_ma
41,1973-11-05 02:00:00+00:00,5.480000000000004,arma_threshold_ma
42,1973-11-07 02:00:00+00:00,5.3799999999999955,arma_threshold_ma
43,1973-11-08 02:00:00+00:00,9.379999999999995,arma_threshold_ma
44,1973-11-09 02:00:00+00:00,9.450000000000003,arma_threshold_ma
45,1973-11-12 02:00:00+00:00,0.0,arma_threshold_ma
46,1973-11-13 02:00:00+00:00,0.0,arma_threshold_ma
47,1973-11-14 02:00:00+00:00,0.0,arma_threshold_ma
48,1973-11-15 02:00:00+00:00,0.0,arma_threshold_ma
49,1973-11-16 02:00:00+00:00,0.0,arma_threshold_ma
50,1973-11-19 02:00:00+00:00,2.469999999999999,arma_threshold_ma
51,1973-11-20 02:00:00+00:00,0.45000000000000284,arma_threshold_ma
