time,open,high,low,close,MA,Smoothing Line,Volume,Volume MA,Basic EPS,EPS estimates,Total common shares outstanding,Average basic shares outstanding,Diluted shares outstanding
2022-01-02T22:00:00Z,1.13835,1.13835,1.13658,1.1371499999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-02T22:30:00Z,1.1371499999999999,1.13741,1.13714,1.1373199999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-02T23:00:00Z,1.1373199999999999,1.13787,1.1369799999999999,1.1373199999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-02T23:30:00Z,1.1373199999999999,1.13744,1.13692,1.13728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T00:00:00Z,1.13728,1.13756,1.13664,1.13664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T00:30:00Z,1.13664,1.13669,1.13609,1.13619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T01:00:00Z,1.13619,1.13653,1.13601,1.13614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T01:30:00Z,1.13614,1.13618,1.135,1.13586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T02:00:00Z,1.13586,1.13586,1.13482,1.13494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T02:30:00Z,1.13494,1.13497,1.13425,1.13427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T03:00:00Z,1.13427,1.13469,1.13422,1.1344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T03:30:00Z,1.1344,1.135,1.13411,1.13483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T04:00:00Z,1.13483,1.13491,1.13432,1.13485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T04:30:00Z,1.13485,1.13485,1.13386,1.13405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T05:00:00Z,1.13405,1.13412,1.13364,1.13367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T05:30:00Z,1.13367,1.13409,1.13361,1.1338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T06:00:00Z,1.1338,1.13427,1.13379,1.13411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T06:30:00Z,1.13411,1.13462,1.13408,1.13432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T07:00:00Z,1.13432,1.1346,1.13363,1.13365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T07:30:00Z,1.13365,1.135,1.1335,1.13481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T08:00:00Z,1.13481,1.13481,1.13353,1.13371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T08:30:00Z,1.13371,1.1347099999999999,1.13355,1.13464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T09:00:00Z,1.13464,1.13563,1.13386,1.13389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T09:30:00Z,1.13389,1.13556,1.13357,1.13516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T10:00:00Z,1.13516,1.13597,1.13504,1.13553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T10:30:00Z,1.13553,1.13592,1.13509,1.13553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T11:00:00Z,1.13553,1.13662,1.1351499999999999,1.13606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T11:30:00Z,1.13606,1.13622,1.13519,1.13556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T12:00:00Z,1.13556,1.13564,1.13495,1.13535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T12:30:00Z,1.13535,1.13595,1.13465,1.13587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T13:00:00Z,1.13587,1.13633,1.13498,1.1363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T13:30:00Z,1.1363,1.13643,1.1346,1.13508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T14:00:00Z,1.13508,1.13518,1.13249,1.13264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T14:30:00Z,1.13264,1.13293,1.13,1.13063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T15:00:00Z,1.13063,1.13093,1.12921,1.12959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T15:30:00Z,1.12959,1.13012,1.12903,1.12917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T16:00:00Z,1.12917,1.12988,1.12887,1.12925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T16:30:00Z,1.12925,1.12956,1.12828,1.12887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T17:00:00Z,1.12887,1.12901,1.12797,1.12817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-01-03T17:30:00Z,1.12817,1.12866,1.12796,1.12838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
