,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,log_diff,trainDFLength,num_models,order_p,order_q,time,ar.L1.close,ma.L1.close
0,1971-10-04 07:30:00+00:00,-1032.057898938334,-1017.9401825882882,-1026.3772223698804,0.0231542342042609,0.0009443099998006396,0.9934527510741386,5,True,252,12000,1,1,0 days 00:00:00.410002,0.5464970013316801,0.5363673860259813
1,1971-10-12 07:30:00+00:00,-1036.5196884942734,-1022.4019721442277,-1030.83901192582,0.02299703037093656,0.0009276944737293982,0.995284853266284,5,True,252,12000,1,1,0 days 00:00:00.320003,0.5876290648494167,0.5770613276253783
2,1971-10-19 07:30:00+00:00,-1035.9283866141532,-1021.8106702641074,-1030.2477100456997,0.023044825878663914,0.0009298696986268466,0.9946513512081989,5,True,252,12000,1,1,0 days 00:00:00.451992,0.5578867391596599,0.5476373718032933
3,1971-10-27 07:30:00+00:00,-1031.5221286288397,-1017.404412278794,-1025.8414520603862,0.02335294908105957,0.0009462747569617511,0.9956197041096754,5,True,252,12000,1,1,0 days 00:00:00.350001,0.5866908500817115,0.5775429298342546
4,1971-11-04 08:30:00+00:00,-1028.9080011668725,-1014.7902848168268,-1023.2273245984189,0.023573564692766186,0.0009561468983144513,0.9955021950566204,5,True,252,12000,1,1,0 days 00:00:00.450995,0.5692342477189639,0.5589461567107193
5,1971-11-11 08:30:00+00:00,-1026.7294859521098,-1012.6117696020641,-1021.0488093836562,0.023788117865583814,0.0009644399039494816,0.994990608938066,5,True,252,12000,1,1,0 days 00:00:00.241004,0.5552600409278381,0.5451648067607224
6,1971-11-18 08:30:00+00:00,-1026.3799353758077,-1012.262219025762,-1020.6992588073541,0.0238457657524656,0.0009657799383767036,0.9950372818516715,5,True,252,12000,1,1,0 days 00:00:00.327003,0.5609913718821733,0.5508125942494546
7,1971-11-26 08:30:00+00:00,-1025.3882265954076,-1011.2705102453618,-1019.707550026954,0.02396291339940432,0.0009695885152357558,0.9954744415202676,5,True,252,12000,1,1,0 days 00:00:00.398998,0.5818562286012501,0.5719049555819666
8,1971-12-03 08:30:00+00:00,-1019.0072807876736,-1004.8895644376279,-1013.32660421922,0.024515114514570998,0.0009944696784277064,0.997276157706008,5,True,252,12000,1,1,0 days 00:00:00.425997,0.8209943553248321,0.8145743857224219
9,1971-12-10 08:30:00+00:00,-1016.2819208503779,-1002.1642045003322,-1010.6012442819243,0.02469807402183067,0.00100528314458892,0.9960385173212107,5,True,252,12000,1,1,0 days 00:00:00.629002,0.6681779904589702,0.6615229903197046
10,1971-12-17 08:30:00+00:00,-1024.2755252599054,-1010.1578089098597,-1018.5948486914518,0.024161280976239725,0.0009738873677209793,0.9948910323364564,5,True,252,12000,1,1,0 days 00:00:00.375999,0.5718322691902026,0.5596111577576633
11,1971-12-27 08:30:00+00:00,-1031.5634112803687,-1017.4456949303229,-1025.8827347119152,0.023783687556758155,0.0009461085879716859,0.9931885363750541,5,True,252,12000,1,1,0 days 00:00:00.424999,0.524488180984787,0.5163270512975855
12,1972-01-04 08:30:00+00:00,-1037.6292220958235,-1023.5115057457778,-1031.94854552737,0.023510002701125382,0.0009236046673239612,0.9922390505082143,5,True,252,12000,1,1,0 days 00:00:00.267000,0.43760713390079103,0.430647698584144
13,1972-01-11 08:30:00+00:00,-1049.1502835469328,-1035.0325671968872,-1043.4696069784793,0.023063564684093398,0.000882553309359527,0.9896135589127926,5,True,252,12000,1,1,0 days 00:00:00.302004,0.36741337756077347,0.38825217559352815
14,1972-01-18 08:30:00+00:00,-1050.4372787412099,-1036.3195623911643,-1044.7566021727564,0.023081649094609545,0.0008778383615761593,0.9931657662596525,5,True,252,12000,1,1,0 days 00:00:00.313996,0.35943055136729635,0.37616399266844724
15,1972-01-25 08:30:00+00:00,-1047.1049636537837,-1032.987247303738,-1041.4242870853302,0.023211524005583562,0.0008895190636763155,0.994672295655999,5,True,252,12000,1,1,0 days 00:00:00.398004,0.5555555163836745,0.5750792553803401
16,1972-02-01 08:30:00+00:00,-1043.5143722489224,-1029.3966558988768,-1037.833695680469,0.023541486446978142,0.0009023587306885533,0.995180519213939,5,True,252,12000,1,1,0 days 00:00:00.311007,0.51435671573687,0.5320955549243592
17,1972-02-08 08:30:00+00:00,-1046.4454628305757,-1032.32774648053,-1040.7647862621222,0.023475830200392213,0.0008918824133807199,0.9960606247866193,5,True,252,12000,1,1,0 days 00:00:00.282992,0.6084563340477637,0.6246067743925426
18,1972-02-15 08:30:00+00:00,-1043.9351452167707,-1029.817428866725,-1038.2544686483172,0.02358361490310427,0.0009007879680770362,0.9962672747348765,5,True,252,12000,1,1,0 days 00:00:00.320996,0.5569303988545287,0.5717032650895729
19,1972-02-23 08:30:00+00:00,-1037.4543338084395,-1023.3366174583938,-1031.773657239986,0.02409449383798149,0.0009242541037470449,0.9970083281790171,5,True,252,12000,1,1,0 days 00:00:00.283003,0.5801816051330656,0.5955463252064542
20,1972-03-01 08:30:00+00:00,-1035.54475014133,-1021.4270337912843,-1029.8640735728766,0.02432156262237127,0.0009312869598821793,0.997040316724397,5,True,252,12000,1,1,0 days 00:00:00.364996,0.7282787850637171,0.7464618309592282
21,1972-03-08 08:30:00+00:00,-1035.4315549157532,-1021.3138385657074,-1029.7508783472997,0.024314926120935287,0.0009317115330248247,0.9962489495542796,5,True,252,12000,1,1,0 days 00:00:00.465496,0.6535019894846539,0.6715231416786123
22,1972-03-15 08:30:00+00:00,-1034.5657826993884,-1020.4480663493426,-1028.885106130935,0.0243058656427107,0.0009349675385113966,0.995255780866085,5,True,252,12000,1,1,0 days 00:00:00.479008,1.0534441066310583,1.0533149756900932
