,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ar.L2.close,ma.L1.close,ma.L2.close
0,1971-01-05 01:00:00+00:00,-1584.1856834899127,-1563.009108964844,-1575.6646686372324,0.006769090537702232,0.00010386554878672087,5,True,252,10000,2,2,0 days 00:00:00.486000,corn,0.26069877829029126,0.19927493130395935,0.22956084009533942,0.1842913375296281
1,1971-01-12 01:00:00+00:00,-1583.3593374136153,-1562.1827628885467,-1574.838322560935,0.006797566955800043,0.00010420789869672247,5,True,252,10000,2,2,0 days 00:00:00.631752,corn,0.27440899273782504,0.20089946064160166,0.2443116325825154,0.1856106849285137
2,1971-01-19 01:00:00+00:00,-1582.329825954453,-1561.1532514293845,-1573.8088111017728,0.006841478378937431,0.00010464059787005533,5,True,252,10000,2,2,0 days 00:00:00.415823,corn,0.28297167584754745,0.21108270177087518,0.2544902172967354,0.19399642710956197
3,1971-01-26 01:00:00+00:00,-1581.1452158891166,-1559.968641364048,-1572.6242010364363,0.006853957813065125,0.00010513709944231436,5,True,252,10000,2,2,0 days 00:00:00.388085,corn,0.3043297436225157,0.21528004250043561,0.2790722632519438,0.18967663457875922
4,1971-02-02 01:00:00+00:00,-1580.5847771779395,-1559.4082026528708,-1572.0637623252592,0.0068946657103857775,0.0001053726858228839,5,True,252,10000,2,2,0 days 00:00:00.313221,corn,0.2900726767871651,0.21397745672127735,0.2645335652341874,0.19121389036492756
5,1971-02-09 01:00:00+00:00,-1580.1003035556646,-1558.923729030596,-1571.5792887029843,0.006920064840282085,0.00010556908951848428,5,True,252,10000,2,2,0 days 00:00:00.376882,corn,0.2874093882504314,0.21545236461928668,0.26197975966248416,0.19422926390686854
6,1971-02-17 01:00:00+00:00,-1579.573036508204,-1558.3964619831354,-1571.0520216555237,0.006931466738409894,0.00010580842849968539,5,True,252,10000,2,2,0 days 00:00:00.299481,corn,0.2907675298222526,0.215200116595538,0.2650745970679827,0.19397200314615598
7,1971-02-24 01:00:00+00:00,-1579.6129880769086,-1558.43641355184,-1571.0919732242282,0.006938002197197974,0.00010577875914601739,5,True,252,10000,2,2,0 days 00:00:00.476524,corn,0.2963280767397041,0.21671548604149746,0.2689951923862497,0.19886107320319538
8,1971-03-03 01:00:00+00:00,-1578.647878239783,-1557.4713037147144,-1570.1268633871027,0.00694757499160392,0.000106195209196726,5,True,252,10000,2,2,0 days 00:00:00.395647,corn,0.28817805411484404,0.20702734687526161,0.25969806251666555,0.19002603902516288
9,1971-03-10 01:00:00+00:00,-1577.936163052078,-1556.7595885270093,-1569.4151481993977,0.006949223282048114,0.00010647674902291889,5,True,252,10000,2,2,0 days 00:00:00.306474,corn,0.29962776688536696,0.21335412923089175,0.27065488641638613,0.19915198670713682
