,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name
0,1994-01-27 14:30:00+00:00,-1877.2009958463668,-1863.0832794963212,-1871.5203192779134,0.00414044302396876,3.3005586677401294e-05,5,True,252,7300,1,0,0 days 00:00:01.022231,SPY
1,1994-02-03 14:30:00+00:00,-1877.8764067208108,-1863.7586903707652,-1872.1957301523573,0.004146592111428338,3.291722854544204e-05,5,True,252,7300,1,0,0 days 00:00:00.643567,SPY
2,1994-02-10 14:30:00+00:00,-1862.698952278111,-1848.5812359280653,-1857.0182757096575,0.004221057434661098,3.496071317207411e-05,5,True,252,7300,1,0,0 days 00:00:00.619329,SPY
3,1994-02-17 14:30:00+00:00,-1880.93315643637,-1866.8154400863243,-1875.2524798679165,0.004153112221408937,3.252036746768633e-05,5,True,252,7300,1,0,0 days 00:00:00.443281,SPY
4,1994-02-25 14:30:00+00:00,-1882.1447034130833,-1868.0269870630377,-1876.4640268446299,0.004108197443368804,3.237458749122493e-05,5,True,252,7300,1,0,0 days 00:00:00.502777,SPY
5,1994-03-04 14:30:00+00:00,-1903.7281087734823,-1889.6103924234367,-1898.0474322050288,0.003990618833779316,2.9707912091873117e-05,5,True,252,7300,1,0,0 days 00:00:00.238600,SPY
6,1994-03-11 14:30:00+00:00,-1898.179200813946,-1884.0614844639003,-1892.4985242454925,0.004076460269571134,3.036921998331334e-05,5,True,252,7300,1,0,0 days 00:00:00.308823,SPY
7,1994-03-18 14:30:00+00:00,-1899.8502552630434,-1885.7325389129978,-1894.16957869459,0.0040446757726483,3.0168524171629458e-05,5,True,252,7300,1,0,0 days 00:00:00.371853,SPY
8,1994-03-25 14:30:00+00:00,-1894.40968202771,-1880.2919656776644,-1888.7290054592565,0.0040788617666760495,3.08269318813268e-05,5,True,252,7300,1,0,0 days 00:00:00.390560,SPY
9,1994-04-04 13:30:00+00:00,-1883.129916759629,-1869.0122004095833,-1877.4492401911755,0.004159046276629058,3.223811408501092e-05,5,True,252,7300,1,0,0 days 00:00:00.303975,SPY
10,1994-04-11 13:30:00+00:00,-1875.4949119977152,-1861.3771956476696,-1869.8142354292618,0.004171300164316237,3.3229287347986845e-05,5,True,252,7300,1,0,0 days 00:00:00.258404,SPY
11,1994-04-18 13:30:00+00:00,-1875.5338267389918,-1861.4161103889462,-1869.8531501705384,0.00416033966366918,3.322563602754654e-05,5,True,252,7300,1,0,0 days 00:00:00.348041,SPY
12,1994-04-25 13:30:00+00:00,-1876.9812918311245,-1862.863575481079,-1871.300615262671,0.0041278614147729304,3.3033868024327316e-05,5,True,252,7300,1,0,0 days 00:00:00.334472,SPY
13,1994-05-03 13:30:00+00:00,-1876.554393183564,-1862.4366768335183,-1870.8737166151104,0.004119289317303985,3.308970452804136e-05,5,True,252,7300,1,0,0 days 00:00:00.304699,SPY
14,1994-05-10 13:30:00+00:00,-1870.542056653445,-1856.4243403033993,-1864.8613800849914,0.004187676128265642,3.3889414897109406e-05,5,True,252,7300,1,0,0 days 00:00:00.533666,SPY
