,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close
0,2008-05-12 13:30:00+00:00,-869.9887070243068,-859.4004197617725,-865.7281995979666,0.030786369902566477,0.0018107155740311497,5,True,252,3500,1,0,0 days 00:00:00.145508,ovx,0.06277022438891906
1,2008-05-19 13:30:00+00:00,-873.6386105644036,-863.0503233018693,-869.3781031380635,0.030552434340696353,0.0017846454228030923,5,True,252,3500,1,0,0 days 00:00:00.064097,ovx,0.06263891319207997
2,2008-05-27 13:30:00+00:00,-871.9495846781459,-861.3612974156116,-867.6890772518058,0.030834505288887405,0.0017968136799095874,5,True,252,3500,1,0,0 days 00:00:00.079911,ovx,0.06318399951646808
3,2008-06-03 13:30:00+00:00,-875.266174488295,-864.6778872257606,-871.0056670619548,0.03057384532195255,0.0017731685889087112,5,True,252,3500,1,0,0 days 00:00:00.111997,ovx,0.06270893703228571
4,2008-06-10 13:30:00+00:00,-841.7894462344992,-831.2011589719649,-837.5289388081591,0.031895876691029106,0.0020249582261799635,5,True,252,3500,1,0,0 days 00:00:00.080032,ovx,0.062328028549118064
5,2008-06-17 13:30:00+00:00,-840.4710907951506,-829.8828035326163,-836.2105833688105,0.03217474707902548,0.0020355979216369856,5,True,252,3500,1,0,0 days 00:00:00.096004,ovx,0.06226521186276155
6,2008-06-24 13:30:00+00:00,-837.5258587521065,-826.9375714895722,-833.2653513257663,0.0323886801143659,0.002059514841650146,5,True,252,3500,1,0,0 days 00:00:00.104584,ovx,0.062180196781301184
7,2008-07-01 13:30:00+00:00,-836.741978312641,-826.1536910501067,-832.4814708863008,0.032623361218892935,0.00206592406675214,5,True,252,3500,1,0,0 days 00:00:00.087994,ovx,0.06221631548606125
8,2008-07-09 13:30:00+00:00,-834.7511435411226,-824.1628562785883,-830.4906361147824,0.032985949729970085,0.002082318815827329,5,True,252,3500,1,0,0 days 00:00:00.096033,ovx,0.06224745779673761
9,2008-07-16 13:30:00+00:00,-832.5551231865101,-821.9668359239757,-828.2946157601699,0.03321089600099639,0.002100562966839568,5,True,252,3500,1,0,0 days 00:00:00.103964,ovx,0.06226018890615561
10,2008-07-23 13:30:00+00:00,-831.5457430327502,-820.9574557702159,-827.2852356064101,0.03331286511492395,0.0021090289069957855,5,True,252,3500,1,0,0 days 00:00:00.095997,ovx,0.06229085892604528
11,2008-07-30 13:30:00+00:00,-835.5338933206382,-824.9456060581039,-831.273385894298,0.032920923287437356,0.0020759609051035433,5,True,252,3500,1,0,0 days 00:00:00.112003,ovx,0.06239558780914827
12,2008-08-13 13:30:00+00:00,-845.1640969226529,-834.5758096601186,-840.9035894963127,0.03221281275658856,0.0019986008278464135,5,True,252,3500,1,0,0 days 00:00:00.096000,ovx,0.06277235427601946
13,2008-08-20 13:30:00+00:00,-851.0187228189387,-840.4304355564044,-846.7582153925986,0.03179777937928022,0.0019522310116974098,5,True,252,3500,1,0,0 days 00:00:00.096000,ovx,0.06243760039401901
14,2008-08-27 13:30:00+00:00,-865.9248638870662,-855.3365766245319,-861.664356460726,0.0313313084443032,0.0018404138719610107,5,True,252,3500,1,0,0 days 00:00:00.120001,ovx,0.06273640649363504
