asofdate,time,pointForecast,close,forecastday,product_name,MA_50,MA_diff_50
2011-06-15 13:30:00+00:00,2011-06-15 13:30:00+00:00,46.783430676488535,45.07001,5,CORN,45.39907300000001,-0.0111997999999857
2011-06-22 13:30:00+00:00,2011-06-22 13:30:00+00:00,45.29574571820997,43.785,5,CORN,45.25691280000001,-0.0531597999999959
2011-06-29 13:30:00+00:00,2011-06-29 13:30:00+00:00,44.03005702109721,44.37,5,CORN,45.042513,-0.0379999999999896
2011-07-07 13:30:00+00:00,2011-07-07 13:30:00+00:00,44.54457915564196,42.05,5,CORN,44.5655326,-0.0978000000000065
2011-07-14 13:30:00+00:00,2011-07-14 13:30:00+00:00,42.12289239569564,45.61,5,CORN,44.455200600000005,0.0118000000000009
2011-07-21 13:30:00+00:00,2011-07-21 13:30:00+00:00,45.700515438297806,44.77,5,CORN,44.5775998,0.0117000000000047
2011-07-28 13:30:00+00:00,2011-07-28 13:30:00+00:00,44.863588821532495,45.99001,5,CORN,44.8764996,0.0372001999999938
2011-08-04 13:30:00+00:00,2011-08-04 13:30:00+00:00,46.086028961242086,46.52,5,CORN,45.015299600000006,0.0352002000000055
2011-08-11 13:30:00+00:00,2011-08-11 13:30:00+00:00,46.61475016607421,47.28,5,CORN,45.0698998,0.0317999999999969
2011-08-18 13:30:00+00:00,2011-08-18 13:30:00+00:00,47.370746917169214,47.14999,5,CORN,45.2286198,0.009999999999998
2011-08-25 13:30:00+00:00,2011-08-25 13:30:00+00:00,47.24610665625232,48.8,5,CORN,45.3852196,0.0745997999999943
2011-09-01 13:30:00+00:00,2011-09-01 13:30:00+00:00,48.901148900434215,48.58,5,CORN,45.9211198,0.0958999999999932
2011-09-09 13:30:00+00:00,2011-09-09 13:30:00+00:00,48.67758104210795,48.67,5,CORN,46.48892,0.0859999999999985
2011-09-16 13:30:00+00:00,2011-09-16 13:30:00+00:00,48.82670778611672,45.9801,5,CORN,47.084121800000005,0.0786020000000107
2011-09-23 13:30:00+00:00,2011-09-23 13:30:00+00:00,46.042752975027234,42.45,5,CORN,47.0730436,-0.0632000000000019
2011-09-30 13:30:00+00:00,2011-09-30 13:30:00+00:00,42.490301557150126,39.88,5,CORN,46.7525442,-0.0977999999999994
2011-10-07 13:30:00+00:00,2011-10-07 13:30:00+00:00,39.92273136519139,40.55,5,CORN,46.22584440000001,-0.1088001999999974
2011-10-14 13:30:00+00:00,2011-10-14 13:30:00+00:00,40.56533748022231,42.99001,5,CORN,45.8304448,-0.0705998000000036
2011-10-21 13:30:00+00:00,2011-10-21 13:30:00+00:00,43.02008619520488,43.34,5,CORN,45.513044,-0.078800000000001
2011-10-28 13:30:00+00:00,2011-10-28 13:30:00+00:00,43.37106172767272,43.81,5,CORN,45.0839242,-0.0667997999999983
2011-11-04 13:30:00+00:00,2011-11-04 13:30:00+00:00,43.83669286681719,43.53999,5,CORN,44.55052439999999,-0.1052002000000129
2011-11-11 14:30:00+00:00,2011-11-11 14:30:00+00:00,43.56382007443253,42.03999,5,CORN,43.871324400000006,-0.1308001999999888
2011-11-18 14:30:00+00:00,2011-11-18 14:30:00+00:00,42.07446637286882,40.23,5,CORN,43.0903244,-0.1687999999999974
2011-11-28 14:30:00+00:00,2011-11-28 14:30:00+00:00,40.26049923435675,38.99001,5,CORN,42.2543228,-0.1398018000000078
2011-12-05 14:30:00+00:00,2011-12-05 14:30:00+00:00,39.00614787181618,38.97,5,CORN,41.75906059999999,-0.0696000000000154
2011-12-12 14:30:00+00:00,2011-12-12 14:30:00+00:00,38.98377344371095,38.868,5,CORN,41.4528206,-0.0202400000000011
