,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name
0,2015-11-09 14:30:00+00:00,-1427.799234003877,-1406.6226594788084,-1419.2782191511967,0.010332760871096665,0.00019326352776402586,5,True,252,1800,2,0,0 days 00:00:00.588295,DAX
1,2015-11-16 14:30:00+00:00,-1429.6842458118076,-1408.507671286739,-1421.1632309591273,0.010256566803208036,0.00019184115251524687,5,True,252,1800,2,0,0 days 00:00:00.312621,DAX
2,2015-11-23 14:30:00+00:00,-1430.9734421367873,-1409.7968676117187,-1422.452427284107,0.010218079651483697,0.00019085017468586512,5,True,252,1800,2,0,0 days 00:00:00.102945,DAX
3,2015-12-01 14:30:00+00:00,-1437.1869793366443,-1416.0104048115757,-1428.665964483964,0.010104121267455303,0.0001862084039475037,5,True,252,1800,2,0,0 days 00:00:00.229238,DAX
4,2015-12-08 14:30:00+00:00,-1436.7658949415077,-1415.589320416439,-1428.2448800888274,0.010122999852070736,0.0001865115246196908,5,True,252,1800,2,0,0 days 00:00:00.280253,DAX
5,2015-12-16 14:30:00+00:00,-1431.84385493555,-1410.6672804104815,-1423.3228400828698,0.01029814310414882,0.00019019292419527163,5,True,252,1800,2,0,0 days 00:00:00.334807,DAX
6,2015-12-23 14:30:00+00:00,-1432.891284275486,-1411.7147097504173,-1424.3702694228057,0.01030567190026295,0.0001894805455061453,5,True,252,1800,2,0,0 days 00:00:00.573522,DAX
7,2015-12-31 14:30:00+00:00,-1437.1943345663474,-1416.0177600412787,-1428.673319713667,0.010171532810827463,0.00018620045708397134,5,True,252,1800,2,0,0 days 00:00:00.311720,DAX
8,2016-01-08 14:30:00+00:00,-1426.7400975962294,-1405.5635230711607,-1418.219082743549,0.010457269599420995,0.00019410386593647877,5,True,252,1800,2,0,0 days 00:00:00.453422,DAX
9,2016-01-15 14:30:00+00:00,-1435.3761106729837,-1414.199536147915,-1426.8550958203034,0.010420369435021939,0.00018755182211841715,5,True,252,1800,2,0,0 days 00:00:00.391260,DAX
10,2016-01-25 14:30:00+00:00,-1432.3614005886288,-1411.1848260635602,-1423.8403857359485,0.010510631845415539,0.000189808044493285,5,True,252,1800,2,0,0 days 00:00:00.155596,DAX
11,2016-02-01 14:30:00+00:00,-1434.340799197143,-1413.1642246720744,-1425.8197843444627,0.010463471720538828,0.00018833170946793817,5,True,252,1800,2,0,0 days 00:00:00.198699,DAX
12,2016-02-08 14:30:00+00:00,-1436.326948617888,-1415.1503740928194,-1427.8059337652078,0.010370203278515422,0.00018686157437575065,5,True,252,1800,2,0,0 days 00:00:00.090161,DAX
13,2016-02-17 14:30:00+00:00,-1436.849821872236,-1415.6732473471673,-1428.3288070195556,0.010331682044047101,0.00018645013161325025,5,True,252,1800,2,0,0 days 00:00:00.180115,DAX
14,2016-02-24 14:30:00+00:00,-1439.784489948248,-1418.6079154231793,-1431.2634750955676,0.010366632107015999,0.00018402376227592354,5,True,252,1800,2,0,0 days 00:00:00.636838,DAX
15,2016-03-03 14:30:00+00:00,-1427.755441581447,-1406.5788670563784,-1419.2344267287667,0.010628227087115754,0.00019330291375665876,5,True,252,1800,2,0,0 days 00:00:00.463869,DAX
16,2016-03-10 14:30:00+00:00,-1429.9494639965537,-1408.772889471485,-1421.4284491438734,0.010598716381749295,0.00019164701168801178,5,True,252,1800,2,0,0 days 00:00:00.601846,DAX
