,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close
0,2016-05-23 00:00:00+00:00,-731.8383875064384,-721.2501002439041,-727.5778800800982,0.03431072953434411,0.0031328672678718845,1.0302591960245528,5,True,252,2000,1,0,0 days 00:00:00.355460,ethereum,0.06301453877768186
1,2016-05-28 00:00:00+00:00,-740.4028130981718,-729.8145258356375,-736.1423056718317,0.03353878194816699,0.003028179817474249,1.0305167822923549,5,True,252,2000,1,0,0 days 00:00:00.530994,ethereum,0.06295147390125633
2,2016-06-02 00:00:00+00:00,-743.8747486271465,-733.2864613646121,-739.6142412008063,0.033003662400502204,0.002986742481993909,1.031419724862126,5,True,252,2000,1,0,0 days 00:00:00.227029,ethereum,0.06290595512961239
3,2016-06-07 00:00:00+00:00,-737.0930372959655,-726.5047500334312,-732.8325298696253,0.033611422876248145,0.0030682103380476784,1.026889458509803,5,True,252,2000,1,0,0 days 00:00:00.191970,ethereum,0.06367644532754142
4,2016-06-12 00:00:00+00:00,-741.7256857745439,-731.1373985120096,-737.4651783482037,0.03285296555272931,0.0030124521543222504,1.0268006837102581,5,True,252,2000,1,0,0 days 00:00:00.322008,ethereum,0.06362266193288701
5,2016-06-17 00:00:00+00:00,-790.9344406259794,-780.3461533634451,-786.6739331996392,0.03015086359655442,0.002485934863058499,0.9905392876131182,5,True,252,2000,1,0,0 days 00:00:00.401997,ethereum,0.06696071796316373
6,2016-06-22 00:00:00+00:00,-832.5445679878093,-821.956280725275,-828.2840605614691,0.02962130041456951,0.002100804160763906,0.9729271364785356,5,True,252,2000,1,0,0 days 00:00:00.262997,ethereum,0.06311633461437649
7,2016-06-27 00:00:00+00:00,-827.5814028163553,-816.993115553821,-823.3208953900152,0.03007954384082261,0.00214283312847843,0.9732925835295867,5,True,252,2000,1,0,0 days 00:00:00.294001,ethereum,0.0640064175829245
8,2016-07-02 00:00:00+00:00,-818.4601078705842,-807.8718206080499,-814.1996004442441,0.031083345731531462,0.002221556871825863,0.9720064617741797,5,True,252,2000,1,0,0 days 00:00:00.453741,ethereum,0.06364247504866645
9,2016-07-07 00:00:00+00:00,-764.4193867570942,-753.8310994945599,-760.1588793307541,0.034192351446777396,0.002753367417236749,0.9204638748590669,5,True,252,2000,1,0,0 days 00:00:00.420981,ethereum,0.06628754158795166
10,2016-07-12 00:00:00+00:00,-720.1351080202675,-709.5468207577331,-715.8746005939273,0.03545279605374365,0.003281790800148633,0.942654588772631,5,True,252,2000,1,0,0 days 00:00:00.607999,ethereum,0.0628729886054344
11,2016-07-17 00:00:00+00:00,-710.3604251726391,-699.7721379101048,-706.099917746299,0.03597992029205477,0.0034115850976727665,0.9358154029055193,5,True,252,2000,1,0,0 days 00:00:00.469998,ethereum,0.06289256580477331
12,2016-07-22 00:00:00+00:00,-716.8245570910614,-706.236269828527,-712.5640496647212,0.03519419479904865,0.00332518534898759,0.9372965093539082,5,True,252,2000,1,0,0 days 00:00:00.468999,ethereum,0.06293531707669651
13,2016-07-27 00:00:00+00:00,-729.9765402800325,-719.3882530174982,-725.7160328536924,0.03407969630062896,0.0031560907473331045,0.9308594541752552,5,True,252,2000,1,0,0 days 00:00:00.483009,ethereum,0.06286236513446798
14,2016-08-01 00:00:00+00:00,-732.5090012792908,-721.9207140167565,-728.2484938529507,0.03385860251427741,0.0031245692892993135,0.9302088864184341,5,True,252,2000,1,0,0 days 00:00:00.433996,ethereum,0.06501758948808904
15,2016-08-06 00:00:00+00:00,-759.6548593702558,-749.0665721077215,-755.3943519439157,0.032920162383986276,0.0028054434786128186,0.9203450798688387,5,True,252,2000,1,0,0 days 00:00:00.451693,ethereum,0.06288283982452934
16,2016-08-11 00:00:00+00:00,-760.9277886792398,-750.3395014167055,-756.6672812528997,0.03274202597514553,0.0027913119259562543,0.9206383051097106,5,True,252,2000,1,0,0 days 00:00:00.527000,ethereum,0.06288448072595378
17,2016-08-16 00:00:00+00:00,-761.2491515076257,-750.6608642450914,-756.9886440812855,0.03267730402748222,0.0027877587015875155,0.9208605764217621,5,True,252,2000,1,0,0 days 00:00:00.253000,ethereum,0.06292321612700234
18,2016-08-21 00:00:00+00:00,-739.5692841045039,-728.9809968419696,-735.3087766781638,0.03485514346786007,0.0030381924486859247,0.9146775855758972,5,True,252,2000,1,0,0 days 00:00:00.276002,ethereum,0.06353124092961263
19,2016-08-26 00:00:00+00:00,-729.8796701431896,-719.2913828806553,-725.6191627168495,0.035873932886183464,0.0031572974022398173,0.9136600087924305,5,True,252,2000,1,0,0 days 00:00:00.323000,ethereum,0.06294692371789962
20,2016-08-31 00:00:00+00:00,-728.4222245110492,-717.8339372485149,-724.161717084709,0.03608194959167588,0.0031756124942981354,0.9141346175352653,5,True,252,2000,1,0,0 days 00:00:00.454002,ethereum,0.06285803059435727
21,2016-09-05 00:00:00+00:00,-728.0029967915387,-717.4147095290044,-723.7424893651986,0.036166171961120874,0.0031809001780153225,0.9144824891921152,5,True,252,2000,1,0,0 days 00:00:00.842741,ethereum,0.06284807497124019
22,2016-09-10 00:00:00+00:00,-706.3802763604527,-695.7919890979184,-702.1197689341126,0.037794124574653504,0.0034658969415285244,0.900243763142716,5,True,252,2000,1,0,0 days 00:00:00.329964,ethereum,0.06292174783125348
23,2016-09-15 00:00:00+00:00,-690.0466219830865,-679.4583347205522,-685.7861145567464,0.039829260666333216,0.0036979627461108905,0.8983640959616068,5,True,252,2000,1,0,0 days 00:00:00.342883,ethereum,0.06309479798560938
24,2016-09-20 00:00:00+00:00,-680.5551639069719,-669.9668766444375,-676.2946564806317,0.0410234525242948,0.00383994796109155,0.8944878045900169,5,True,252,2000,1,0,0 days 00:00:00.234002,ethereum,0.06349397219413407
25,2016-09-25 00:00:00+00:00,-680.6695093095528,-670.0812220470185,-676.4090018832127,0.041103225560321484,0.0038381055757251386,0.8949402694459706,5,True,252,2000,1,0,0 days 00:00:00.196994,ethereum,0.06286318023329625
26,2016-09-30 00:00:00+00:00,-678.75607933302,-668.1677920704857,-674.4955719066799,0.041608955806640244,0.00386733997735116,0.8959521965140796,5,True,252,2000,1,0,0 days 00:00:00.165001,ethereum,0.06279902031350539
27,2016-10-05 00:00:00+00:00,-661.2853671701399,-650.6970799076056,-657.0248597437998,0.04355853547898376,0.0041449788791549135,0.8951343213146414,5,True,252,2000,1,0,0 days 00:00:00.191003,ethereum,0.06326020764104864
28,2016-10-10 00:00:00+00:00,-661.3788129423946,-650.7905256798603,-657.1183055160544,0.04354265502140418,0.004143438754589565,0.8964238631417477,5,True,252,2000,1,0,0 days 00:00:00.156002,ethereum,0.06267769116816872
29,2016-10-15 00:00:00+00:00,-657.5731904852945,-646.9849032227602,-653.3126830589543,0.04415629699764269,0.004206476857949932,0.8974496893537302,5,True,252,2000,1,0,0 days 00:00:00.198995,ethereum,0.06286892002178048
30,2016-10-20 00:00:00+00:00,-647.5655019324466,-636.9772146699123,-643.3049945061065,0.04558781228218709,0.004376871232837463,0.8993689145512415,5,True,252,2000,1,0,0 days 00:00:00.204999,ethereum,0.06283436958012378
31,2016-10-25 00:00:00+00:00,-644.8984263287988,-634.3101390662645,-640.6379189024586,0.046179348548387865,0.004423435204793683,0.9000729676321844,5,True,252,2000,1,0,0 days 00:00:00.198006,ethereum,0.06265998749930458
