,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,log_diff,trainDFLength,num_models,order_p,order_q,time,ar.L1.close,ma.L1.close
0,1968-12-05 01:00:00+00:00,-2117.589667013095,-2103.4719506630495,-2111.9089904446414,0.002498954724262725,1.2714637171050331e-05,1.0019342558311661,5,True,252,12000,1,1,0 days 00:00:00.706090,,
1,1968-12-12 01:00:00+00:00,-2118.1574091420075,-2104.039692791962,-2112.476732573554,0.0024993386707856564,1.268602381567538e-05,1.001907747748594,5,True,252,12000,1,1,0 days 00:00:00.621993,4.580517779809381,4.658899798406161
2,1968-12-19 01:00:00+00:00,-2084.8931699938707,-2070.775453643825,-2079.212493425417,0.0026136902716508677,1.4477352781417149e-05,0.9949563254790682,5,True,252,12000,1,1,0 days 00:00:01.362002,0.09099843405791894,0.07194986614212737
3,1968-12-27 01:00:00+00:00,-2088.553361249807,-2074.4356448997614,-2082.8726846813533,0.002583380055805996,1.4267401753828284e-05,0.9996922028197208,5,True,252,12000,1,1,0 days 00:00:00.776588,,
4,1969-01-06 01:00:00+00:00,-2085.8704915934527,-2071.752775243407,-2080.189815024999,0.002631067689427957,1.4420117755021116e-05,0.9970991001415143,5,True,252,12000,1,1,0 days 00:00:00.915995,0.8226591899253898,0.7993481398885709
5,1969-01-13 01:00:00+00:00,-2107.947225949774,-2093.829509599728,-2102.26654938132,0.0025569571290503957,1.321036762949973e-05,0.9966089291666115,5,True,252,12000,1,1,0 days 00:00:01.368205,0.34901520801227265,0.32679898399312285
6,1969-01-20 01:00:00+00:00,-2094.948656249388,-2080.8309398993424,-2089.2679796809343,0.002606061498479558,1.3909788924804147e-05,0.9978792820252178,5,True,252,12000,1,1,0 days 00:00:01.270802,0.5877924664242258,0.5761699464833632
7,1969-01-27 01:00:00+00:00,-2093.188345959207,-2079.070629609161,-2087.507669390753,0.002629230869946246,1.4007289326560812e-05,0.9977086555712933,5,True,252,12000,1,1,0 days 00:00:00.587101,0.5804646345823283,0.5685755690052893
8,1969-02-03 01:00:00+00:00,-2092.9397414176005,-2078.822025067555,-2087.259064849147,0.002635067067398412,1.4021114413716852e-05,0.997586531477175,5,True,252,12000,1,1,0 days 00:00:00.472276,0.5747755050180972,0.57230349762786
9,1969-02-10 01:00:00+00:00,-2068.578428809511,-2054.4607124594654,-2062.8977522410573,0.002714299119248561,1.544414530629564e-05,0.9950211543269725,5,True,252,12000,1,1,0 days 00:00:00.929997,0.5468159166494815,0.5319068896614743
10,1969-02-17 01:00:00+00:00,-2063.234513864235,-2049.1167975141893,-2057.5538372957812,0.0027596549954341395,1.577528083051778e-05,0.9963120246875653,5,True,252,12000,1,1,0 days 00:00:00.336001,0.7667253676861575,0.7563046711071645
11,1969-02-25 01:00:00+00:00,-2062.2151137189903,-2048.0973973689447,-2056.5344371505366,0.0027718229925090044,1.5839230260516104e-05,0.9964005454885783,5,True,252,12000,1,1,0 days 00:00:00.535907,0.7763986318741203,0.766794981215619
12,1969-03-04 01:00:00+00:00,-2053.111356467287,-2038.9936401172413,-2047.4306798988334,0.002820334941014809,1.6422441160246144e-05,0.9961371203570867,5,True,252,12000,1,1,0 days 00:00:00.550993,0.6073130574579021,0.5983585553166358
