,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.resid,ma.L1.resid
0,2004-09-12 22:00:00+00:00,-1252.930187543605,-1238.8124711935593,-1247.2495109751515,0.01567640534133671,0.00039304014602518537,5,True,252,2000,1,1,0 days 00:00:00.162233,CL1,0.8410023625489512,0.8146627299119434
1,2004-09-19 22:00:00+00:00,-1251.5898924758048,-1237.4721761257592,-1245.9092159073514,0.015686472814277867,0.0003951313699335139,5,True,252,2000,1,1,0 days 00:00:00.137206,CL1,0.8895335336550483,0.8503827215396073
2,2004-09-26 22:00:00+00:00,-1245.6864572548325,-1231.5687409047869,-1240.005780686379,0.015896306729772203,0.00040451028192514064,5,True,252,2000,1,1,0 days 00:00:00.126088,CL1,0.5048212757801406,0.49207520164054874
3,2004-10-03 22:00:00+00:00,-1251.069067683935,-1236.9513513338893,-1245.3883911154815,0.015679962875314042,0.00039597808129029666,5,True,252,2000,1,1,0 days 00:00:00.192393,CL1,0.5643507034491535,0.5486866744661176
4,2004-10-10 22:00:00+00:00,-1252.0542886303333,-1237.9365722802877,-1246.3736120618798,0.015646742909577283,0.0003944071569786832,5,True,252,2000,1,1,0 days 00:00:00.243671,CL1,0.5519647135729788,0.537426897933154
5,2004-10-17 22:00:00+00:00,-1251.4365312919363,-1237.3188149418907,-1245.7558547234828,0.015653198616330872,0.0003953728202049824,5,True,252,2000,1,1,0 days 00:00:00.188450,CL1,0.48100098175466294,0.4661614407857756
6,2004-10-24 22:00:00+00:00,-1250.8895607272707,-1236.771844377225,-1245.2088841588172,0.015670976547179475,0.0003962301966268517,5,True,252,2000,1,1,0 days 00:00:00.275122,CL1,0.4471763228061574,0.4302784045601302
7,2004-10-31 23:00:00+00:00,-1242.4352490951105,-1228.317532745065,-1236.754572526657,0.015916661682543694,0.0004097746835285545,5,True,252,2000,1,1,0 days 00:00:00.290945,CL1,0.4664222302736114,0.45185963508188626
8,2004-11-07 23:00:00+00:00,-1240.0559245146264,-1225.9382081645808,-1234.375247946173,0.01599216546305404,0.0004136428821122631,5,True,252,2000,1,1,0 days 00:00:00.300923,CL1,0.3834127603380464,0.3720716550308709
9,2004-11-14 23:00:00+00:00,-1241.9905262333405,-1227.8728098832948,-1236.309849664887,0.016063658929040648,0.00041046293626647516,5,True,252,2000,1,1,0 days 00:00:00.265578,CL1,0.3475746532283655,0.33547643748091127
10,2004-11-21 23:00:00+00:00,-1240.2825836542738,-1226.1648673042282,-1234.6019070858204,0.016128678143512556,0.0004133047843318984,5,True,252,2000,1,1,0 days 00:00:00.351099,CL1,0.3773162163657818,0.3645387821466242
11,2004-11-30 23:00:00+00:00,-1237.6394797254156,-1223.52176337537,-1231.9588031569622,0.01607305444233107,0.0004176131365054172,5,True,252,2000,1,1,0 days 00:00:00.270668,CL1,0.3796062501241741,0.36821713152461544
12,2004-12-07 23:00:00+00:00,-1230.346417757431,-1216.2287014073854,-1224.6657411889776,0.01630316454347719,0.0004298896466594361,5,True,252,2000,1,1,0 days 00:00:00.227744,CL1,0.5039532223986019,0.494669699755788
13,2004-12-14 23:00:00+00:00,-1221.514025896855,-1207.3963095468093,-1215.8333493284015,0.016609976582163715,0.00044522893422676473,5,True,252,2000,1,1,0 days 00:00:00.219576,CL1,0.6669162789496744,0.6478341812292971
14,2004-12-21 23:00:00+00:00,-1216.8009442597845,-1202.683227909739,-1211.120267691331,0.016773438029246534,0.0004536365921934933,5,True,252,2000,1,1,0 days 00:00:00.281898,CL1,0.7811386378478954,0.7720121969578003
15,2004-12-29 23:00:00+00:00,-1205.387570148163,-1191.2698537981173,-1199.7068935797095,0.016963848671586974,0.00047466145821189543,5,True,252,2000,1,1,0 days 00:00:00.238301,CL1,0.7399267438168824,0.7319333317714327
16,2005-01-06 23:00:00+00:00,-1198.4389370332024,-1184.3212206831568,-1192.758260464749,0.017188984661724194,0.0004879168075041494,5,True,252,2000,1,1,0 days 00:00:00.162998,CL1,0.6921182113894105,0.6822325046888038
17,2005-01-13 23:00:00+00:00,-1197.2475736723504,-1183.1298573223048,-1191.566897103897,0.017225768167387644,0.0004902329102408533,5,True,252,2000,1,1,0 days 00:00:00.250896,CL1,0.5569934069662672,0.5485658053720269
