,asofdate,pointForecast,resid,forecastday,product_name,MA_50,MA_diff_50
253,253,3.5333478922063173,2.546905135926645,1,OJ,6.661535664697973,-0.1541261279298043
254,254,3.110759257409315,4.149385294656802,2,OJ,6.536981937950864,-0.1245537267471093
255,255,3.4811773772812584,6.819333402104922,3,OJ,6.4718351098606535,-0.06514682809021011
256,256,3.411676657696715,6.49797160418062,4,OJ,6.388033571488895,-0.08380153837175808
257,257,3.4118912703142867,6.625135065719085,5,OJ,6.284399602067793,-0.10363396942110281
258,258,6.107221762874377,7.405606677440687,1,OJ,6.197449138955197,-0.08695046311259524
259,259,5.8033108156620115,7.239226182935208,2,OJ,6.101741716434908,-0.09570742252028897
260,260,6.973349190156425,4.000695963154985,3,OJ,5.9597284031822575,-0.14201331325265087
261,261,7.445340696442744,3.086232822129343,4,OJ,5.828648321662469,-0.13108008151978812
262,262,7.006005905519481,0.2545669185884285,5,OJ,5.638751059638001,-0.1898972620244681
263,263,0.3519914679999843,-2.7784878738413656,1,OJ,5.382892709545827,-0.25585835009217384
264,264,0.13195180312522675,-1.8516716345251307,2,OJ,5.143597917355447,-0.23929479219038008
265,265,0.28451232353421096,-0.8249297999707961,3,OJ,4.981388615450925,-0.16220930190452254
266,266,0.27760904752459503,-2.2751263048548047,4,OJ,4.837691373177948,-0.1436972422729772
267,267,0.26389097540416345,-2.9737240612650675,5,OJ,4.661881964136553,-0.17580940904139464
268,268,-3.174368955051112,-3.1833699709109697,1,OJ,4.463558247235262,-0.19832371690129058
269,269,-3.4876750992266365,-2.647329448932947,2,OJ,4.223228255494976,-0.24032999174028635
270,270,-3.050292750221838,-3.8077461155996204,3,OJ,3.960240778538382,-0.2629874769565941
271,271,-3.125959622856551,-3.925761607052607,4,OJ,3.6862803244635898,-0.2739604540747922
272,272,-3.1297159578362916,-3.369639430617936,5,OJ,3.429782844574198,-0.25649747988939176
273,273,-2.196513017552575,-3.2238404379439425,1,OJ,3.1820375568009696,-0.24774528777322846
