time,asofdate,pointForecast,resid,forecastday,product_name,MA_50,MA_diff_50
1991-10-01 22:00:00+00:00,1991-10-01 22:00:00+00:00,1.1955700911345206,1.1938834463419488,1,NG1,0.9937051740364673,0.006956611487574094
1991-10-02 22:00:00+00:00,1991-10-02 22:00:00+00:00,1.205487590822867,1.1918812040612452,2,NG1,1.0006002022197809,0.006895028183313556
1991-10-03 22:00:00+00:00,1991-10-03 22:00:00+00:00,1.2025694112191445,1.2054388594829593,3,NG1,1.0073768693969065,0.0067766671771256615
1991-10-06 22:00:00+00:00,1991-10-06 22:00:00+00:00,1.203424839155962,1.2185182936727053,4,NG1,1.0146317137664673,0.007254844369560809
1991-10-07 22:00:00+00:00,1991-10-07 22:00:00+00:00,1.2031738032036432,1.2434454579082803,5,NG1,1.0226730741247727,0.008041360358305383
1991-10-08 22:00:00+00:00,1991-10-08 22:00:00+00:00,1.2498713400492734,1.2361890358670458,1,NG1,1.0303166847542282,0.007643610629455511
1991-10-09 22:00:00+00:00,1991-10-09 22:00:00+00:00,1.2424979240489948,1.2300333929158722,2,NG1,1.0375769637089218,0.007260278954693611
1991-10-10 22:00:00+00:00,1991-10-10 22:00:00+00:00,1.2446225861767333,1.229559624308351,3,NG1,1.0447927364758325,0.007215772766910655
1991-10-13 22:00:00+00:00,1991-10-13 22:00:00+00:00,1.2440086980454244,1.2442879432817853,4,NG1,1.05206464699947,0.007271910523637626
1991-10-14 22:00:00+00:00,1991-10-14 22:00:00+00:00,1.244185932671583,1.2540474362146132,5,NG1,1.0593150341945539,0.007250387195083752
1991-10-15 22:00:00+00:00,1991-10-15 22:00:00+00:00,1.2543916265436421,1.2714916001279848,1,NG1,1.0667944332359736,0.007479399041419699
1991-10-16 22:00:00+00:00,1991-10-16 22:00:00+00:00,1.255096496283056,1.2781798365523906,2,NG1,1.074457430406936,0.007662997170962527
1991-10-17 22:00:00+00:00,1991-10-17 22:00:00+00:00,1.25483639452886,1.2854074074286874,3,NG1,1.0823116603511398,0.007854229944203706
1991-10-20 22:00:00+00:00,1991-10-20 22:00:00+00:00,1.2549323505693937,1.2627054454756428,4,NG1,1.090060169053062,0.00774850870192223
1991-10-21 22:00:00+00:00,1991-10-21 22:00:00+00:00,1.254896947555357,1.1902983112651084,5,NG1,1.0965571333367554,0.006496964283693396
1991-10-22 22:00:00+00:00,1991-10-22 22:00:00+00:00,1.1736649457715016,1.168717198807356,1,NG1,1.1027071451896335,0.006150011852878112
1991-10-23 22:00:00+00:00,1991-10-23 22:00:00+00:00,1.1899163066256735,1.2833596540768375,2,NG1,1.1112301398114952,0.00852299462186168
1991-10-24 22:00:00+00:00,1991-10-24 22:00:00+00:00,1.1895185961481496,1.281299489569064,3,NG1,1.1198277963423664,0.00859765653087119
1991-10-27 23:00:00+00:00,1991-10-27 23:00:00+00:00,1.1895282625172112,1.299502880889283,4,NG1,1.1290780422961684,0.009250245953801972
1991-10-28 23:00:00+00:00,1991-10-28 23:00:00+00:00,1.1895280275364741,1.292516550161762,5,NG1,1.13776385775597,0.008685815459801738
1991-10-29 23:00:00+00:00,1991-10-29 23:00:00+00:00,1.2879512199938947,1.2902650368116102,1,NG1,1.1463456621872898,0.008581804431319728
1991-10-30 23:00:00+00:00,1991-10-30 23:00:00+00:00,1.2931115448723824,1.2780503191984711,2,NG1,1.1544135797471906,0.008067917559900772
1991-10-31 23:00:00+00:00,1991-10-31 23:00:00+00:00,1.292365968997362,1.295968697055505,3,NG1,1.1607449839233954,0.0063314041762048134
1991-11-03 23:00:00+00:00,1991-11-03 23:00:00+00:00,1.2924734809385645,1.3141289460454446,4,NG1,1.1668072754481036,0.006062291524708163
1991-11-04 23:00:00+00:00,1991-11-04 23:00:00+00:00,1.292457973352572,1.2920745622355911,5,NG1,1.1715870704507556,0.004779795002652021
1991-11-05 23:00:00+00:00,1991-11-05 23:00:00+00:00,1.2863900293756612,1.2864783050824449,1,NG1,1.176494214443876,0.004907143993120311
1991-11-06 23:00:00+00:00,1991-11-06 23:00:00+00:00,1.2929032015241355,1.299640776112262,2,NG1,1.181520265774427,0.005026051330551118
1991-11-07 23:00:00+00:00,1991-11-07 23:00:00+00:00,1.29189723140847,1.2952988707771214,3,NG1,1.1865164041715663,0.004996138397139305
1991-11-10 23:00:00+00:00,1991-11-10 23:00:00+00:00,1.2920522227433393,1.301180311158027,4,NG1,1.1918084538436116,0.005292049672045218
1991-11-11 23:00:00+00:00,1991-11-11 23:00:00+00:00,1.2920283339190963,1.295633395740795,5,NG1,1.1973313313641696,0.005522877520558023
1991-11-12 23:00:00+00:00,1991-11-12 23:00:00+00:00,1.2934841422730308,1.2984839741784198,1,NG1,1.2027266242344796,0.005395292870310042
1991-11-13 23:00:00+00:00,1991-11-13 23:00:00+00:00,1.2957848155647957,1.264239934956937,2,NG1,1.2070642585029507,0.004337634268471113
1991-11-14 23:00:00+00:00,1991-11-14 23:00:00+00:00,1.2954249590117504,1.2929769214489064,3,NG1,1.2115610661991492,0.004496807696198424
1991-11-17 23:00:00+00:00,1991-11-17 23:00:00+00:00,1.2954811967016604,1.2593242540592524,4,NG1,1.2152528821441941,0.003691815945044974
1991-11-18 23:00:00+00:00,1991-11-18 23:00:00+00:00,1.2954724067928245,1.1901875304239775,5,NG1,1.2170087772403693,0.0017558950961751307
1991-11-19 23:00:00+00:00,1991-11-19 23:00:00+00:00,1.1778474836828792,1.287582366586532,1,NG1,1.2218264442087101,0.00481766696834085
1991-11-20 23:00:00+00:00,1991-11-20 23:00:00+00:00,1.1911446830618737,1.3148298281395143,2,NG1,1.2276616405131267,0.0058351963044165345
1991-11-21 23:00:00+00:00,1991-11-21 23:00:00+00:00,1.1888513768856166,1.2934052358781511,3,NG1,1.233242199899196,0.005580559386069384
1991-11-24 23:00:00+00:00,1991-11-24 23:00:00+00:00,1.189244745909333,1.2931280890105743,4,NG1,1.238714045338159,0.005471845438963063
1991-11-25 23:00:00+00:00,1991-11-25 23:00:00+00:00,1.189177208486863,1.306748486461086,5,NG1,1.2444518492326289,0.005737803894469762
1991-11-26 23:00:00+00:00,1991-11-26 23:00:00+00:00,1.3104152059941114,1.33159156730163,1,NG1,1.2505696373315387,0.006117788098909838
1991-11-28 23:00:00+00:00,1991-11-28 23:00:00+00:00,1.3045060078693371,1.3307647782997345,2,NG1,1.2558459448889259,0.005276307557387172
1991-12-01 23:00:00+00:00,1991-12-01 23:00:00+00:00,1.307181237586435,1.3365077265057086,3,NG1,1.260456942927722,0.004610998038796055
1991-12-02 23:00:00+00:00,1991-12-02 23:00:00+00:00,1.3059679224534044,1.3349663495018034,4,NG1,1.2629400115582274,0.002483068630505514
1991-12-03 23:00:00+00:00,1991-12-03 23:00:00+00:00,1.306517757906067,1.318955868244882,5,NG1,1.2657119023319674,0.00277189077373996
1991-12-04 23:00:00+00:00,1991-12-04 23:00:00+00:00,1.3167561864441675,1.283456363425405,1,NG1,1.2677393074060586,0.0020274050740911598
1991-12-05 23:00:00+00:00,1991-12-05 23:00:00+00:00,1.3196782952872195,1.2525449325907287,2,NG1,1.2686136934070198,0.0008743860009612359
1991-12-08 23:00:00+00:00,1991-12-08 23:00:00+00:00,1.318298827959709,1.230253337518969,3,NG1,1.2691044336282387,0.0004907402212188661
1991-12-09 23:00:00+00:00,1991-12-09 23:00:00+00:00,1.318949485246393,1.2229469316067778,4,NG1,1.2690970769469616,-7.356681277048693e-06
1991-12-10 23:00:00+00:00,1991-12-10 23:00:00+00:00,1.318642463074313,1.171185971408594,5,NG1,1.2684712547234755,-0.0006258222234860611
1991-12-11 23:00:00+00:00,1991-12-11 23:00:00+00:00,1.1600605326599984,1.1903249701581675,1,NG1,1.2684000851997999,-7.116952367569596e-05
1991-12-12 23:00:00+00:00,1991-12-12 23:00:00+00:00,1.1757740815114734,1.1677520867043285,2,NG1,1.2679175028526617,-0.00048258234713816073
1991-12-15 23:00:00+00:00,1991-12-15 23:00:00+00:00,1.1685123394496055,1.15530097766333,3,NG1,1.2669147452162692,-0.0010027576363924595
1991-12-16 23:00:00+00:00,1991-12-16 23:00:00+00:00,1.1718505000667236,1.1574456151869394,4,NG1,1.2656932916465538,-0.0012214535697154805
1991-12-17 23:00:00+00:00,1991-12-17 23:00:00+00:00,1.170312224554618,1.1406216776148548,5,NG1,1.2636368160406852,-0.002056475605868524
1991-12-18 23:00:00+00:00,1991-12-18 23:00:00+00:00,1.1409387279705459,1.1220693364637482,1,NG1,1.2613544220526194,-0.002282393988065845
1991-12-19 23:00:00+00:00,1991-12-19 23:00:00+00:00,1.1405504942079692,0.9725942608795668,2,NG1,1.256205639411893,-0.005148782640726379
1991-12-22 23:00:00+00:00,1991-12-22 23:00:00+00:00,1.1407794371188194,0.944048442646777,3,NG1,1.2504954157786616,-0.0057102236332313705
1991-12-23 23:00:00+00:00,1991-12-23 23:00:00+00:00,1.1406444136379486,0.9574512215101892,4,NG1,1.2447586813432299,-0.005736734435431767
1991-12-25 23:00:00+00:00,1991-12-25 23:00:00+00:00,1.1407240411184405,0.932202194115844,5,NG1,1.2383217765012544,-0.006436904841975455
1991-12-26 23:00:00+00:00,1991-12-26 23:00:00+00:00,0.9319265941763941,0.9223825080573026,1,NG1,1.2313395946598407,-0.006982181841413748
1991-12-29 23:00:00+00:00,1991-12-29 23:00:00+00:00,0.9307283462364437,0.9209977608150642,2,NG1,1.2241959531450943,-0.007143641514746335
1991-12-30 23:00:00+00:00,1991-12-30 23:00:00+00:00,0.9314668895701271,0.9160605142056494,3,NG1,1.2168090152806335,-0.007386937864460874
1992-01-01 23:00:00+00:00,1992-01-01 23:00:00+00:00,0.9310115048226053,0.8769602464597169,4,NG1,1.2090941113003149,-0.007714903980318599
1992-01-02 23:00:00+00:00,1992-01-02 23:00:00+00:00,0.931292225373328,0.8762414545224947,5,NG1,1.2028129741654627,-0.006281137134852122
1992-01-05 23:00:00+00:00,1992-01-05 23:00:00+00:00,0.8795475876698636,0.8631427051976833,1,NG1,1.196701484293269,-0.006111489872193676
1992-01-06 23:00:00+00:00,1992-01-06 23:00:00+00:00,0.8731180137545921,0.8912873168264837,2,NG1,1.188860037548262,-0.007841446745006975
1992-01-07 23:00:00+00:00,1992-01-07 23:00:00+00:00,0.8768514889859443,0.8933069806236452,3,NG1,1.1811001873693536,-0.007759850178908456
1992-01-08 23:00:00+00:00,1992-01-08 23:00:00+00:00,0.8746782918149797,0.8766830049850576,4,NG1,1.1726437898512692,-0.008456397518084469
1992-01-09 23:00:00+00:00,1992-01-09 23:00:00+00:00,0.8759414913562309,0.8313838587444184,5,NG1,1.1634211360229223,-0.00922265382834686
1992-01-12 23:00:00+00:00,1992-01-12 23:00:00+00:00,0.8221798859555864,0.8473407088427225,1,NG1,1.1545626494635446,-0.00885848655937771
1992-01-13 23:00:00+00:00,1992-01-13 23:00:00+00:00,0.8350733423111021,0.8507031917956968,2,NG1,1.146015706915489,-0.008546942548055547
1992-01-14 23:00:00+00:00,1992-01-14 23:00:00+00:00,0.8279058458102836,0.8693450842719103,3,NG1,1.1374832346598172,-0.008532472255671886
1992-01-15 23:00:00+00:00,1992-01-15 23:00:00+00:00,0.8318688616016447,0.9072399778060584,4,NG1,1.1293454552950295,-0.008137779364787656
1992-01-16 23:00:00+00:00,1992-01-16 23:00:00+00:00,0.8296710920985406,0.8548270910065636,5,NG1,1.120600505870449,-0.008744949424580595
1992-01-19 23:00:00+00:00,1992-01-19 23:00:00+00:00,0.8483113064366479,0.8378957391582479,1,NG1,1.1116288545519648,-0.008971651318484097
1992-01-20 23:00:00+00:00,1992-01-20 23:00:00+00:00,0.8582028549694659,0.8308890638798987,2,NG1,1.1022538203073178,-0.00937503424464703
1992-01-21 23:00:00+00:00,1992-01-21 23:00:00+00:00,0.8515619265542234,0.7927849613740181,3,NG1,1.0922035421192557,-0.010050278188062034
1992-01-22 23:00:00+00:00,1992-01-22 23:00:00+00:00,0.8560062642790477,0.7481486996776249,4,NG1,1.0811429098896477,-0.01106063222960807
1992-01-23 23:00:00+00:00,1992-01-23 23:00:00+00:00,0.8530255863157183,0.8045103661254093,5,NG1,1.0713204492973398,-0.009822460592307847
1992-01-26 23:00:00+00:00,1992-01-26 23:00:00+00:00,0.8143219614715209,0.8329784347413965,1,NG1,1.0620103385085995,-0.009310110788740333
1992-01-27 23:00:00+00:00,1992-01-27 23:00:00+00:00,0.7968601599131387,0.8075660481081629,2,NG1,1.0528768607716241,-0.00913347773697537
1992-01-28 23:00:00+00:00,1992-01-28 23:00:00+00:00,0.8092920139864777,0.8087869524140429,3,NG1,1.0431930613909268,-0.0096837993806973
1992-01-29 23:00:00+00:00,1992-01-29 23:00:00+00:00,0.8003940403940796,0.7940989514455276,4,NG1,1.033888555338652,-0.00930450605227473
1992-01-30 23:00:00+00:00,1992-01-30 23:00:00+00:00,0.8067385824835431,0.8051931423708354,5,NG1,1.0261886675775893,-0.007699887761062785
1992-02-02 23:00:00+00:00,1992-02-02 23:00:00+00:00,0.8075565304608007,0.8005923619910543,1,NG1,1.0164488674856798,-0.009739800091909556
1992-02-03 23:00:00+00:00,1992-02-03 23:00:00+00:00,0.802900182865408,0.8100991969607448,2,NG1,1.0063542548621045,-0.01009461262357525
1992-02-04 23:00:00+00:00,1992-02-04 23:00:00+00:00,0.8061206746379191,0.8084714550071119,3,NG1,0.9966555792446836,-0.009698675617420882
