,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.resid,ar.L2.resid,ma.L1.resid,ma.L2.resid
14,1971-11-18 13:00:00+00:00,541.7228999673421,562.8994744924106,550.2439148200224,0.4254702336705335,0.47888825864413165,5,True,252,1000,2,2,0 days 00:00:00.170567,SOYB,0.21432923132779855,0.19022382168043825,0.20725519382045754,0.18265213868367194
15,1971-11-26 13:00:00+00:00,536.2969639715226,557.4735384965911,544.8179788242029,0.4180326046510038,0.46862242905486945,5,True,252,1000,2,2,0 days 00:00:00.151972,SOYB,0.20551043794551047,0.1821884903886283,0.19804268512544654,0.17344729784296176
16,1971-12-03 13:00:00+00:00,534.8587279687407,556.0353024938092,543.379742821421,0.4122193123505644,0.46602056292981764,5,True,252,1000,2,2,0 days 00:00:00.205618,SOYB,0.20616910311009132,0.18307322782576416,0.19912599896532523,0.17466835582006174
17,1971-12-10 13:00:00+00:00,534.2174631575812,555.3940376826497,542.7384780102615,0.410546196895022,0.464798122591963,5,True,252,1000,2,2,0 days 00:00:00.164230,SOYB,0.20810709972108318,0.18634621632275014,0.200966245017096,0.1780350197927846
18,1971-12-17 13:00:00+00:00,539.0448091312304,560.2213836562989,547.5658239839107,0.4162291654313518,0.47378801726747094,5,True,252,1000,2,2,0 days 00:00:00.167081,SOYB,0.2119525213962235,0.19109649132311957,0.2034799354246015,0.1822658883540526
19,1971-12-27 13:00:00+00:00,533.8910903379094,555.067664862978,542.4121051905897,0.41921437036764425,0.46831500584243724,5,True,252,1000,2,2,0 days 00:00:00.154057,SOYB,0.1967504584502887,0.17529538168425335,0.1896703454986593,0.16822810570806382
20,1972-01-04 13:00:00+00:00,507.89804681405286,529.0746213391214,516.4190616667331,0.3915760011522107,0.41851915777056226,5,True,252,1000,2,2,0 days 00:00:00.150377,SOYB,0.19978518517424107,0.1707976889915239,0.19277952755828437,0.1700377364708956
21,1972-01-11 13:00:00+00:00,508.9269591350827,530.1035336601512,517.447973987763,0.3938279361482764,0.420269063801254,5,True,252,1000,2,2,0 days 00:00:00.164506,SOYB,0.20079940187919612,0.17105076525080923,0.19386618213169193,0.17084961484520522
22,1972-01-18 13:00:00+00:00,509.2990092871348,530.4755838122034,517.8200241398151,0.3957536381220905,0.4208425609682618,5,True,252,1000,2,2,0 days 00:00:00.157286,SOYB,0.19953138884640814,0.1699528054412278,0.1920780330562098,0.1690866962973342
23,1972-01-25 13:00:00+00:00,509.6133324999266,530.7899070249952,518.1343473526069,0.3971903590908918,0.421369046918072,5,True,252,1000,2,2,0 days 00:00:00.188569,SOYB,0.19921471579498493,0.16994196042641202,0.1915607413688618,0.16871501930616417
24,1972-02-01 13:00:00+00:00,516.43314157292,537.6097160979886,524.9541564256002,0.4034815585773676,0.4329479250860112,5,True,252,1000,2,2,0 days 00:00:00.151425,SOYB,0.2095447752364277,0.17906816314528742,0.20233678268067662,0.17890987862670635
25,1972-02-08 13:00:00+00:00,578.7196542567992,599.8962287818678,587.2406691094795,0.44358404067213814,0.5544724963174527,5,True,252,1000,2,2,0 days 00:00:00.181501,SOYB,0.41196682691885517,0.316253113845476,0.40073549590361807,0.34805082419639655
26,1972-02-15 13:00:00+00:00,585.4054009781132,606.5819755031818,593.9264158307935,0.4564156920923537,0.569415944117703,5,True,252,1000,2,2,0 days 00:00:00.158796,SOYB,0.4382743969154433,0.3393398866608615,0.44103293025272816,0.39086831087279283
27,1972-02-23 13:00:00+00:00,594.0561992987072,615.2327738237757,602.5772141513875,0.4678126923435106,0.5893476368538043,5,True,252,1000,2,2,0 days 00:00:00.180112,SOYB,0.4797934754343475,0.42414876394651985,0.470564518860549,0.4557311010289862
28,1972-03-01 13:00:00+00:00,596.2812960265965,617.457870551665,604.8023108792768,0.4719204542243387,0.5946873709080246,5,True,252,1000,2,2,0 days 00:00:00.251530,SOYB,0.4512247290787673,0.4081688036438021,0.43569123053349573,0.42518306216048446
29,1972-03-08 13:00:00+00:00,596.2768818658376,617.4534563909061,604.7978967185179,0.4737081918986584,0.5947584639303796,5,True,252,1000,2,2,0 days 00:00:00.464485,SOYB,0.45103840117950744,0.42853435497670517,0.42937698100913846,0.4330993387781098
30,1972-03-15 13:00:00+00:00,593.8601661130335,615.0367406381021,602.3811809657138,0.4705586686407294,0.5892022612026154,5,True,252,1000,2,2,0 days 00:00:00.293457,SOYB,0.4906757579356514,0.46526132315359886,0.4677643888524427,0.4720746120625336
31,1972-03-22 13:00:00+00:00,591.5199990249666,612.6965735500352,600.041013877647,0.462286324399229,0.5834788085753292,5,True,252,1000,2,2,0 days 00:00:00.239855,SOYB,0.4515394539988159,0.434846606812145,0.4302682751847429,0.43878223359192403
32,1972-03-29 13:00:00+00:00,591.7382473880987,612.9148219131672,600.259262240779,0.4626181766234684,0.5839451639931162,5,True,252,1000,2,2,0 days 00:00:00.247571,SOYB,0.4908584761613369,0.47206338677719506,0.47470789252241413,0.4878589216365992
33,1972-04-06 13:00:00+00:00,598.2228125946181,619.3993871196866,606.7438274472984,0.47716607682570583,0.5992124769690879,5,True,252,1000,2,2,0 days 00:00:00.271877,SOYB,0.3281472732486359,0.3216408282845491,0.3018576029112095,0.3084914855651334
34,1972-04-13 13:00:00+00:00,600.1064753589449,621.2830498840134,608.6274902116252,0.4814165660783509,0.6048597854509867,5,True,252,1000,2,2,0 days 00:00:00.228268,SOYB,0.38470490573085864,0.3846954156296575,0.3613893072445843,0.37957992384933503
35,1972-04-20 13:00:00+00:00,576.326701265822,597.5032757908905,584.8477161185023,0.4651268303600045,0.5499962770049893,5,True,252,1000,2,2,0 days 00:00:00.254846,SOYB,0.19717505630524107,0.19201005890925504,0.1689079039532661,0.16466427665793432
36,1972-04-27 13:00:00+00:00,572.163522214679,593.3400967397475,580.6845370673593,0.4533086763336043,0.5402677511481139,5,True,252,1000,2,2,0 days 00:00:00.311020,SOYB,0.19390253139410482,0.2004486689381332,0.16456290449832034,0.169189285352171
37,1972-05-04 12:00:00+00:00,573.2907255235309,594.4673000485994,581.8117403762112,0.4557294634534687,0.5429316929066124,5,True,252,1000,2,2,0 days 00:00:00.269503,SOYB,0.2130474925417875,0.22069381775411454,0.18280879520382273,0.18991678329186434
38,1972-05-11 12:00:00+00:00,571.6185208589902,592.7950953840588,580.1395357116705,0.4505641999821536,0.5396472706778696,5,True,252,1000,2,2,0 days 00:00:00.335426,SOYB,0.23119270488921892,0.248736469211766,0.20314056802571248,0.21887266738196445
39,1972-05-18 12:00:00+00:00,565.536725662723,586.7133001877916,574.0577405154033,0.4389994844129459,0.5266680078750218,5,True,252,1000,2,2,0 days 00:00:00.284982,SOYB,0.21919808861728407,0.2199627306979242,0.19301351921613177,0.1941002217260744
40,1972-05-25 12:00:00+00:00,556.101256377692,577.2778309027606,564.6222712303723,0.4230807970017712,0.5072900032290849,5,True,252,1000,2,2,0 days 00:00:00.286393,SOYB,0.597209370855985,1.4386299119524903,0.6050713259877502,1.54872716823163
41,1972-06-02 12:00:00+00:00,547.7082713535273,568.8848458785958,556.2292862062076,0.40965641724767926,0.49026127228058985,5,True,252,1000,2,2,0 days 00:00:00.232876,SOYB,0.2056722598867138,0.1999553306292177,0.1793913035469631,0.1764193924941821
42,1972-06-09 12:00:00+00:00,547.8072427604125,568.983817285481,556.3282576130928,0.40975778295162624,0.4904534688573254,5,True,252,1000,2,2,0 days 00:00:00.292921,SOYB,0.20560938685543168,0.19942553023734547,0.17944144196370435,0.1760213158052131
43,1972-06-16 12:00:00+00:00,549.2412626182904,570.417837143359,557.7622774709707,0.414380681531664,0.49328041445705606,5,True,252,1000,2,2,0 days 00:00:00.267922,SOYB,0.20669192399510275,0.20021962296986393,0.18070993797119742,0.17663324056381918
44,1972-06-23 12:00:00+00:00,551.7822377797944,572.9588123048629,560.3032526324747,0.41992712668312454,0.49835958004400055,5,True,252,1000,2,2,0 days 00:00:00.213325,SOYB,0.21087091114697143,0.20684793907248397,0.18470997757930546,0.182048887118942
45,1972-06-30 12:00:00+00:00,557.2968040405129,578.4733785655815,565.8178188931932,0.425041163294881,0.5094965849707532,5,True,252,1000,2,2,0 days 00:00:00.276928,SOYB,0.224613720534912,0.22139323600464436,0.19989520647586848,0.19714275587211874
46,1972-07-11 12:00:00+00:00,558.1428739761662,579.3194485012348,566.6638888288466,0.4265850911260272,0.5123271982755501,5,True,252,1000,2,2,0 days 00:00:00.229590,SOYB,0.23625845722687747,0.33052904869306077,0.2581485554823801,0.3813552347960139
47,1972-07-18 12:00:00+00:00,543.627886661718,564.8044611867865,552.1489015143983,0.4077798662099594,0.48296257578707175,5,True,252,1000,2,2,0 days 00:00:00.449785,SOYB,0.2048740049508234,0.23089005082219072,0.23099393007933278,0.2605812772660891
48,1972-07-25 12:00:00+00:00,537.5979116980292,558.7744862230977,546.1189265507095,0.3962496823110679,0.4719102794830424,5,True,252,1000,2,2,0 days 00:00:00.244112,SOYB,0.250366670626501,0.8440391304110263,0.2652996633244304,0.9148491704718507
49,1972-08-01 12:00:00+00:00,522.6136676138984,543.790242138967,531.1346824665787,0.37906487588154203,0.4442560872794935,5,True,252,1000,2,2,0 days 00:00:00.226126,SOYB,0.26905666534350103,0.2550527915420458,0.24358822256632084,0.23261114735403313
50,1972-08-08 12:00:00+00:00,518.2751440557535,539.451718580822,526.7961589084338,0.3723827260188667,0.4364735807057302,5,True,252,1000,2,2,0 days 00:00:00.330132,SOYB,0.2724010807078544,0.25678068741510085,0.24617115906958706,0.2348774960419501
