,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.resid,ma.L1.resid
0,1975-03-04 08:15:00+00:00,408.36005262799966,422.47776897804533,414.0407291964532,0.30740100084080196,0.28674616377927753,5,True,252,1000,1,1,0 days 00:00:00.162728,SOYB,0.5297167119862084,0.535598141064942
1,1975-03-11 08:15:00+00:00,403.0589513710958,417.1766677211415,408.73962793954934,0.3013271071650928,0.28077722100275276,5,True,252,1000,1,1,0 days 00:00:00.124833,SOYB,0.48209505485418075,0.4894028145129932
2,1975-03-18 08:15:00+00:00,398.18054260480807,412.29825895485374,403.8612191732616,0.29411799526048205,0.27539784985472315,5,True,252,1000,1,1,0 days 00:00:00.092951,SOYB,0.4788503066353364,0.4857289669865822
3,1975-03-25 08:15:00+00:00,395.3720237886114,409.48974013865706,401.0527003570649,0.28848311565572493,0.2723427528231057,5,True,252,1000,1,1,0 days 00:00:00.083348,SOYB,0.4403748268604657,0.44534701246998687
4,1975-04-02 08:15:00+00:00,358.91164442347485,373.0293607735205,364.5923209919284,0.26370075241788954,0.23565763914309387,5,True,252,1000,1,1,0 days 00:00:00.099285,SOYB,0.47942679968597673,0.4817525862845207
5,1975-04-09 08:15:00+00:00,354.2771177474963,368.39483409754195,359.9577943159498,0.2566032290998653,0.23136278084450443,5,True,252,1000,1,1,0 days 00:00:00.126608,SOYB,0.5693396336757761,0.5703835537472447
6,1975-04-16 08:15:00+00:00,352.6368998287127,366.7546161787584,358.31757639716625,0.25336471871414534,0.22986184269918356,5,True,252,1000,1,1,0 days 00:00:00.197952,SOYB,0.57184339261072,0.5729267374008385
7,1975-04-23 08:15:00+00:00,352.4377787035833,366.555495053629,358.11845527203684,0.25258801095651723,0.22968027766928942,5,True,252,1000,1,1,0 days 00:00:00.101355,SOYB,0.5678404081664937,0.5689898141382183
8,1975-04-30 08:15:00+00:00,349.7045509265069,363.82226727655257,355.3852274949604,0.24719390890007306,0.22720257218823564,5,True,252,1000,1,1,0 days 00:00:00.082157,SOYB,0.5569721854455595,0.5583051247383058
9,1975-05-07 08:15:00+00:00,348.65869790729107,362.77641425733674,354.3393744757446,0.24508065717786773,0.22626184875724104,5,True,252,1000,1,1,0 days 00:00:00.117073,SOYB,0.5380795621501562,0.539479311869234
10,1975-05-14 08:15:00+00:00,348.40911822632984,362.5268345763755,354.08979479478336,0.24470984438563265,0.22603884594904788,5,True,252,1000,1,1,0 days 00:00:00.142427,SOYB,0.5399630918461904,0.5414261277559317
