,pointForecast,positionType,product_name,strategy_name,forecastDay,forecastDiff,maDiff,percDiff,retScore,entryPrice
0,62.2065563647209,short,XRT,arma_ma,1,-0.19867812853065203,-0.19630912780762344,-0.31727584145564297,9.859306581871467,62.22999954223633
1,62.151932552501,short,XRT,arma_ma,2,-0.19867812853065203,-0.19630912780762344,-0.31727584145564297,9.859306581871467,62.22999954223633
2,62.117723012524365,short,XRT,arma_ma,3,-0.19867812853065203,-0.19630912780762344,-0.31727584145564297,9.859306581871467,62.22999954223633
3,62.070146130827666,short,XRT,arma_ma,4,-0.19867812853065203,-0.19630912780762344,-0.31727584145564297,9.859306581871467,62.22999954223633
4,62.031321413705676,short,XRT,arma_ma,5,-0.19867812853065203,-0.19630912780762344,-0.31727584145564297,9.859306581871467,62.22999954223633
0,32.87327955632941,short,XLF,arma_ma,1,-0.06160971461503095,-0.06998886108398494,-0.1921700311165851,3.6465754290027963,32.880001068115234
1,32.85963355871484,short,XLF,arma_ma,2,-0.06160971461503095,-0.06998886108398494,-0.1921700311165851,3.6465754290027963,32.880001068115234
2,32.845887135108626,short,XLF,arma_ma,3,-0.06160971461503095,-0.06998886108398494,-0.1921700311165851,3.6465754290027963,32.880001068115234
3,32.83213925486834,short,XLF,arma_ma,4,-0.06160971461503095,-0.06998886108398494,-0.1921700311165851,3.6465754290027963,32.880001068115234
4,32.8183913535002,short,XLF,arma_ma,5,-0.06160971461503095,-0.06998886108398494,-0.1921700311165851,3.6465754290027963,32.880001068115234
0,87.39428468835975,no_position,XLE,arma_ma,1,0.25695241299209215,-0.00038848876953068157,0.29996778193666107,11.145859200757469,87.2300033569336
1,87.31162344224663,no_position,XLE,arma_ma,2,0.25695241299209215,-0.00038848876953068157,0.29996778193666107,11.145859200757469,87.2300033569336
2,87.44578667501281,no_position,XLE,arma_ma,3,0.25695241299209215,-0.00038848876953068157,0.29996778193666107,11.145859200757469,87.2300033569336
3,87.49551305945056,no_position,XLE,arma_ma,4,0.25695241299209215,-0.00038848876953068157,0.29996778193666107,11.145859200757469,87.2300033569336
4,87.48695576992569,no_position,XLE,arma_ma,5,0.25695241299209215,-0.00038848876953068157,0.29996778193666107,11.145859200757469,87.2300033569336
0,68.87052841663457,no_position,XLU,arma_ma,1,-0.09734776616154761,0.003727722167965908,-0.13972695381085767,6.840960468824421,68.88999938964844
1,68.85105921834608,no_position,XLU,arma_ma,2,-0.09734776616154761,0.003727722167965908,-0.13972695381085767,6.840960468824421,68.88999938964844
2,68.83159002005968,no_position,XLU,arma_ma,3,-0.09734776616154761,0.003727722167965908,-0.13972695381085767,6.840960468824421,68.88999938964844
3,68.81212082177328,no_position,XLU,arma_ma,4,-0.09734776616154761,0.003727722167965908,-0.13972695381085767,6.840960468824421,68.88999938964844
4,68.79265162348689,no_position,XLU,arma_ma,5,-0.09734776616154761,0.003727722167965908,-0.13972695381085767,6.840960468824421,68.88999938964844
0,99.83779869052108,no_position,XLI,arma_ma,1,0.04584248836707161,-0.046816101074213634,0.04646511926360036,3.047566911460458,99.83000183105467
1,99.84730172341622,no_position,XLI,arma_ma,2,0.04584248836707161,-0.046816101074213634,0.04646511926360036,3.047566911460458,99.83000183105467
2,99.8568158736346,no_position,XLI,arma_ma,3,0.04584248836707161,-0.046816101074213634,0.04646511926360036,3.047566911460458,99.83000183105467
3,99.86633009629217,no_position,XLI,arma_ma,4,0.04584248836707161,-0.046816101074213634,0.04646511926360036,3.047566911460458,99.83000183105467
4,99.87584431942174,no_position,XLI,arma_ma,5,0.04584248836707161,-0.046816101074213634,0.04646511926360036,3.047566911460458,99.83000183105467
0,148.56503839247702,no_position,XLK,arma_ma,1,-0.3449634523310863,0.19593048095703125,-0.23153462622492074,19.615857184242316,148.64999389648438
1,148.48882807447143,no_position,XLK,arma_ma,2,-0.3449634523310863,0.19593048095703125,-0.23153462622492074,19.615857184242316,148.64999389648438
2,148.4205632892133,no_position,XLK,arma_ma,3,-0.3449634523310863,0.19593048095703125,-0.23153462622492074,19.615857184242316,148.64999389648438
3,148.3595174660444,no_position,XLK,arma_ma,4,-0.3449634523310863,0.19593048095703125,-0.23153462622492074,19.615857184242316,148.64999389648438
4,148.3050304441533,no_position,XLK,arma_ma,5,-0.3449634523310863,0.19593048095703125,-0.23153462622492074,19.615857184242316,148.64999389648438
0,134.56247417414033,no_position,XLV,arma_ma,1,-0.037670794085528314,0.022011718750007958,-0.02823262845937779,3.1187504143053277,134.57000732421875
1,134.554939763138,no_position,XLV,arma_ma,2,-0.037670794085528314,0.022011718750007958,-0.02823262845937779,3.1187504143053277,134.57000732421875
2,134.54740535213642,no_position,XLV,arma_ma,3,-0.037670794085528314,0.022011718750007958,-0.02823262845937779,3.1187504143053277,134.57000732421875
3,134.53987094113484,no_position,XLV,arma_ma,4,-0.037670794085528314,0.022011718750007958,-0.02823262845937779,3.1187504143053277,134.57000732421875
4,134.53233653013322,no_position,XLV,arma_ma,5,-0.037670794085528314,0.022011718750007958,-0.02823262845937779,3.1187504143053277,134.57000732421875
0,146.6445862890541,short,XLY,arma_ma,1,-0.637634760753258,-0.08318084716796648,-0.4380261926710596,39.66179287804943,146.89999389648438
1,146.68090121798502,short,XLY,arma_ma,2,-0.637634760753258,-0.08318084716796648,-0.4380261926710596,39.66179287804943,146.89999389648438
2,146.45482134254928,short,XLY,arma_ma,3,-0.637634760753258,-0.08318084716796648,-0.4380261926710596,39.66179287804943,146.89999389648438
3,146.46471212711364,short,XLY,arma_ma,4,-0.637634760753258,-0.08318084716796648,-0.4380261926710596,39.66179287804943,146.89999389648438
4,146.26235913573112,short,XLY,arma_ma,5,-0.637634760753258,-0.08318084716796648,-0.4380261926710596,39.66179287804943,146.89999389648438
0,75.17848084813997,no_position,XLP,arma_ma,1,-0.019958663955861766,0.024112396240226985,-0.026484426478521304,1.8263321011103257,75.18000030517578
1,75.17467020633973,no_position,XLP,arma_ma,2,-0.019958663955861766,0.024112396240226985,-0.026484426478521304,1.8263321011103257,75.18000030517578
2,75.1700303166516,no_position,XLP,arma_ma,3,-0.019958663955861766,0.024112396240226985,-0.026484426478521304,1.8263321011103257,75.18000030517578
3,75.16509029352315,no_position,XLP,arma_ma,4,-0.019958663955861766,0.024112396240226985,-0.026484426478521304,1.8263321011103257,75.18000030517578
4,75.16004164121992,no_position,XLP,arma_ma,5,-0.019958663955861766,0.024112396240226985,-0.026484426478521304,1.8263321011103257,75.18000030517578
0,80.90381950234911,short,XLB,arma_ma,1,-0.10953364598928772,-0.07821975708007756,-0.13689994133831954,7.118037455389068,80.93000030517578
1,80.88148857304147,short,XLB,arma_ma,2,-0.10953364598928772,-0.07821975708007756,-0.13689994133831954,7.118037455389068,80.93000030517578
2,80.86067243262086,short,XLB,arma_ma,3,-0.10953364598928772,-0.07821975708007756,-0.13689994133831954,7.118037455389068,80.93000030517578
3,80.84045229599606,short,XLB,arma_ma,4,-0.10953364598928772,-0.07821975708007756,-0.13689994133831954,7.118037455389068,80.93000030517578
4,80.8204666591865,short,XLB,arma_ma,5,-0.10953364598928772,-0.07821975708007756,-0.13689994133831954,7.118037455389068,80.93000030517578
0,134.38547308650573,short,XOP,arma_ma,1,-0.10107512263545004,-0.04327026367187159,-0.07599633280860905,3.255976812436491,134.4199981689453
1,134.32902487465438,short,XOP,arma_ma,2,-0.10107512263545004,-0.04327026367187159,-0.07599633280860905,3.255976812436491,134.4199981689453
2,134.2966549138,short,XOP,arma_ma,3,-0.10107512263545004,-0.04327026367187159,-0.07599633280860905,3.255976812436491,134.4199981689453
3,134.30381468552167,short,XOP,arma_ma,4,-0.10107512263545004,-0.04327026367187159,-0.07599633280860905,3.255976812436491,134.4199981689453
4,134.31892304630986,short,XOP,arma_ma,5,-0.10107512263545004,-0.04327026367187159,-0.07599633280860905,3.255976812436491,134.4199981689453
0,82.91008259710983,short,IYR,arma_ma,1,-0.4672232511338734,-0.19204681396485057,-0.5520775922215968,30.548729265545244,83.05999755859375
1,82.82927002583712,short,IYR,arma_ma,2,-0.4672232511338734,-0.19204681396485057,-0.5520775922215968,30.548729265545244,83.05999755859375
2,82.75040117393026,short,IYR,arma_ma,3,-0.4672232511338734,-0.19204681396485057,-0.5520775922215968,30.548729265545244,83.05999755859375
3,82.67158697241784,short,IYR,arma_ma,4,-0.4672232511338734,-0.19204681396485057,-0.5520775922215968,30.548729265545244,83.05999755859375
4,82.59277430745988,short,IYR,arma_ma,5,-0.4672232511338734,-0.19204681396485057,-0.5520775922215968,30.548729265545244,83.05999755859375
0,78.60445325884294,short,XTL,arma_ma,1,-0.1512187379697707,-0.17984390258789062,-0.1881298123126528,9.79326153493509,78.5999984741211
1,78.5998202596454,short,XTL,arma_ma,2,-0.1512187379697707,-0.17984390258789062,-0.1881298123126528,9.79326153493509,78.5999984741211
2,78.5315747069375,short,XTL,arma_ma,3,-0.1512187379697707,-0.17984390258789062,-0.1881298123126528,9.79326153493509,78.5999984741211
3,78.47016197822082,short,XTL,arma_ma,4,-0.1512187379697707,-0.17984390258789062,-0.1881298123126528,9.79326153493509,78.5999984741211
4,78.44877973615132,short,XTL,arma_ma,5,-0.1512187379697707,-0.17984390258789062,-0.1881298123126528,9.79326153493509,78.5999984741211
0,12.39490815450052,long,CANE,arma_ma,1,0.04542440149506888,0.04340000152587997,0.3723311656166739,3.4298420287384994,12.390000343322754
1,12.405290293791278,long,CANE,arma_ma,2,0.04542440149506888,0.04340000152587997,0.3723311656166739,3.4298420287384994,12.390000343322754
2,12.415320516754926,long,CANE,arma_ma,3,0.04542440149506888,0.04340000152587997,0.3723311656166739,3.4298420287384994,12.390000343322754
3,12.425373357631319,long,CANE,arma_ma,4,0.04542440149506888,0.04340000152587997,0.3723311656166739,3.4298420287384994,12.390000343322754
4,12.435424744817823,long,CANE,arma_ma,5,0.04542440149506888,0.04340000152587997,0.3723311656166739,3.4298420287384994,12.390000343322754
0,6.937271596427068,short,WEAT,arma_ma,1,-0.06363902478742833,-0.015399999618530558,-0.9156694465313554,3.3741279548553114,6.949999809265137
1,6.924543893440256,short,WEAT,arma_ma,2,-0.06363902478742833,-0.015399999618530558,-0.9156694465313554,3.3741279548553114,6.949999809265137
2,6.91181619045274,short,WEAT,arma_ma,3,-0.06363902478742833,-0.015399999618530558,-0.9156694465313554,3.3741279548553114,6.949999809265137
3,6.8990884874652245,short,WEAT,arma_ma,4,-0.06363902478742833,-0.015399999618530558,-0.9156694465313554,3.3741279548553114,6.949999809265137
4,6.886360784477708,short,WEAT,arma_ma,5,-0.06363902478742833,-0.015399999618530558,-0.9156694465313554,3.3741279548553114,6.949999809265137
0,25.14706712344629,short,CORN,arma_ma,1,-0.009551824358727146,-0.031599998474121094,-0.03808542419371619,0.7188799416739772,25.11000061035156
1,25.14056509213043,short,CORN,arma_ma,2,-0.009551824358727146,-0.031599998474121094,-0.03808542419371619,0.7188799416739772,25.11000061035156
2,25.12783047760227,short,CORN,arma_ma,3,-0.009551824358727146,-0.031599998474121094,-0.03808542419371619,0.7188799416739772,25.11000061035156
3,25.11420351971416,short,CORN,arma_ma,4,-0.009551824358727146,-0.031599998474121094,-0.03808542419371619,0.7188799416739772,25.11000061035156
4,25.100448785992832,short,CORN,arma_ma,5,-0.009551824358727146,-0.031599998474121094,-0.03808542419371619,0.7188799416739772,25.11000061035156
0,25.125052629189298,short,CPER,arma_ma,1,-0.06650522602820175,-0.006000022888180467,-0.27267416028074104,4.55121968325518,25.13999938964844
1,25.112147182356022,short,CPER,arma_ma,2,-0.06650522602820175,-0.006000022888180467,-0.27267416028074104,4.55121968325518,25.13999938964844
2,25.099262698528484,short,CPER,arma_ma,3,-0.06650522602820175,-0.006000022888180467,-0.27267416028074104,4.55121968325518,25.13999938964844
3,25.08637842996907,short,CPER,arma_ma,4,-0.06650522602820175,-0.006000022888180467,-0.27267416028074104,4.55121968325518,25.13999938964844
4,25.07349416362024,short,CPER,arma_ma,5,-0.06650522602820175,-0.006000022888180467,-0.27267416028074104,4.55121968325518,25.13999938964844
0,26.93180940164404,short,SOYB,arma_ma,1,-0.06618672882745358,-0.02120002746582017,-0.24441185012527708,5.818587999687562,26.979999542236328
1,26.929649985090172,short,SOYB,arma_ma,2,-0.06618672882745358,-0.02120002746582017,-0.24441185012527708,5.818587999687562,26.979999542236328
2,26.92422179489048,short,SOYB,arma_ma,3,-0.06618672882745358,-0.02120002746582017,-0.24441185012527708,5.818587999687562,26.979999542236328
3,26.919025532585945,short,SOYB,arma_ma,4,-0.06618672882745358,-0.02120002746582017,-0.24441185012527708,5.818587999687562,26.979999542236328
4,26.913812813408875,short,SOYB,arma_ma,5,-0.06618672882745358,-0.02120002746582017,-0.24441185012527708,5.818587999687562,26.979999542236328
0,105.14489833768504,short,TLT,arma_ma,1,-0.05074486722195104,-0.051223907470713925,-0.047522820567581565,4.857986489543963,105.08000183105467
1,105.1465327353517,short,TLT,arma_ma,2,-0.05074486722195104,-0.051223907470713925,-0.047522820567581565,4.857986489543963,105.08000183105467
2,105.11871399792491,short,TLT,arma_ma,3,-0.05074486722195104,-0.051223907470713925,-0.047522820567581565,4.857986489543963,105.08000183105467
3,105.07717944187694,short,TLT,arma_ma,4,-0.05074486722195104,-0.051223907470713925,-0.047522820567581565,4.857986489543963,105.08000183105467
4,105.02925696383272,short,TLT,arma_ma,5,-0.05074486722195104,-0.051223907470713925,-0.047522820567581565,4.857986489543963,105.08000183105467
