,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ma.L1.close
0,2012-12-12 14:30:00+00:00,-1249.2322402290574,-1235.1145238790118,-1243.551563660604,0.014221352078175384,0.00039892699565199767,5,True,252,2400,1,1,0 days 00:00:00.303999,CANE,0.17488206497088551,0.14955165679739363
1,2012-12-19 14:30:00+00:00,-1256.5420012503855,-1242.42428490034,-1250.861324681932,0.013972469160329685,0.0003874801765777224,5,True,252,2400,1,1,0 days 00:00:00.312000,CANE,0.16801196908626334,0.14428906076885975
2,2012-12-27 14:30:00+00:00,-1271.6969535473058,-1257.5792371972602,-1266.0162769788524,0.013470475998047975,0.0003648261096685856,5,True,252,2400,1,1,0 days 00:00:00.303284,CANE,0.20509297355460768,0.18404356009446765
3,2013-01-04 14:30:00+00:00,-1291.8009494288576,-1277.683233078812,-1286.1202728604042,0.013187194967581481,0.0003369763386738644,5,True,252,2400,1,1,0 days 00:00:00.448680,CANE,0.1716361429695302,0.15087423343591
4,2013-01-11 14:30:00+00:00,-1294.5751095904802,-1280.4573932404346,-1288.8944330220268,0.01310433951367228,0.00033307675793251294,5,True,252,2400,1,1,0 days 00:00:00.297081,CANE,0.1746673062223454,0.15452633702099638
5,2013-01-18 14:30:00+00:00,-1296.1061635642918,-1281.9884472142462,-1290.4254869958384,0.013022441879410812,0.000331131760865243,5,True,252,2400,1,1,0 days 00:00:00.248795,CANE,0.1800771649379953,0.1604396680820164
6,2013-01-28 14:30:00+00:00,-1298.4045018751535,-1284.286785525108,-1292.7238253067,0.012979392506712501,0.00032814796624167444,5,True,252,2400,1,1,0 days 00:00:00.246993,CANE,0.17198078730939625,0.15051802917580684
7,2013-02-05 14:30:00+00:00,-1302.4882796788947,-1288.3705633288491,-1296.8076031104413,0.012829226132637614,0.0003227861983658112,5,True,252,2400,1,1,0 days 00:00:00.335016,CANE,0.17247719083868612,0.15170679955672403
8,2013-02-14 14:30:00+00:00,-1305.9773150634164,-1291.8595987133708,-1300.296638494963,0.012620705956972829,0.0003183833480804819,5,True,252,2400,1,1,0 days 00:00:00.357199,CANE,0.18929284416518927,0.16914599316539283
9,2013-02-22 14:30:00+00:00,-1308.7628143863453,-1294.6450980362997,-1303.0821378178919,0.012544420344712157,0.0003148344243118626,5,True,252,2400,1,1,0 days 00:00:00.287459,CANE,0.18929053435587762,0.16956168602398358
10,2013-03-01 14:30:00+00:00,-1309.628145197963,-1295.5104288479174,-1303.9474686295096,0.012506424558723611,0.0003137873834027151,5,True,252,2400,1,1,0 days 00:00:00.300002,CANE,0.19386051450929068,0.17459353989678758
11,2013-03-08 14:30:00+00:00,-1325.3413121636017,-1311.2235958135561,-1319.6606355951483,0.01207771469121561,0.00029480255527160646,5,True,252,2400,1,1,0 days 00:00:00.268793,CANE,0.21014592158693185,0.19538508359955573
12,2013-03-18 13:30:00+00:00,-1324.1487265946757,-1310.0310102446301,-1318.4680500262223,0.012130694679867727,0.00029625374669850756,5,True,252,2400,1,1,0 days 00:00:00.274000,CANE,0.21975494623765984,0.2059147421861255
13,2013-03-26 13:30:00+00:00,-1326.327408737242,-1312.2096923871964,-1320.6467321687885,0.01203162424646334,0.0002936476868130038,5,True,252,2400,1,1,0 days 00:00:00.273997,CANE,0.2074237056635631,0.1930759226799777
14,2013-04-04 13:30:00+00:00,-1327.216252344157,-1313.0985359941114,-1321.5355757757036,0.011970955445097749,0.0002926294593896207,5,True,252,2400,1,1,0 days 00:00:00.227007,CANE,0.20208465226703018,0.18766921813596163
15,2013-04-11 13:30:00+00:00,-1328.5339131722803,-1314.4161968222347,-1322.8532366038269,0.011862294682772981,0.00029109571385854287,5,True,252,2400,1,1,0 days 00:00:00.396002,CANE,0.20191257705488502,0.18810230220362825
16,2013-04-18 13:30:00+00:00,-1329.7729190648506,-1315.655202714805,-1324.0922424963971,0.011830411791135491,0.0002897245597528317,5,True,252,2400,1,1,0 days 00:00:00.337575,CANE,0.2022546500538489,0.18837716939521312
17,2013-04-29 13:30:00+00:00,-1332.9729319837493,-1318.8552156337037,-1327.2922554152958,0.011735708085379985,0.00028680693238986276,5,True,252,2400,1,1,0 days 00:00:00.274996,CANE,0.19397259708544648,0.18040857712773573
18,2013-05-07 13:30:00+00:00,-1348.4820626422643,-1334.3643462922187,-1342.8013860738108,0.011250028695524508,0.0002690509343910785,5,True,252,2400,1,1,0 days 00:00:00.268005,CANE,0.20663038803241457,0.19655473232160556
19,2013-05-16 13:30:00+00:00,-1354.1688999503594,-1340.0511836003138,-1348.488223381906,0.011079874046247398,0.00026340497226793284,5,True,252,2400,1,1,0 days 00:00:00.328996,CANE,0.22417094458355827,0.21811705465806566
20,2013-05-28 13:30:00+00:00,-1360.8221078411439,-1346.7043914910982,-1355.1414312726904,0.01084729630446889,0.00025610031588442673,5,True,252,2400,1,1,0 days 00:00:00.274459,CANE,0.2303147045179936,0.2254840358821271
21,2013-06-05 13:30:00+00:00,-1366.1460170904343,-1352.0283007403887,-1360.4653405219808,0.010669002412379036,0.0002508859239766466,5,True,252,2400,1,1,0 days 00:00:00.319998,CANE,0.24622401745464334,0.23881058296501023
22,2013-06-14 13:30:00+00:00,-1376.785131616586,-1362.6674152665405,-1371.1044550481326,0.010332743864674589,0.00024038277321759876,5,True,252,2400,1,1,0 days 00:00:00.239030,CANE,0.25395709478184497,0.24401847919722028
23,2013-06-24 13:30:00+00:00,-1375.9204205245383,-1361.8027041744926,-1370.2397439560848,0.010375834199488154,0.0002411916239046933,5,True,252,2400,1,1,0 days 00:00:00.238010,CANE,0.24145104827904126,0.2275419935523316
24,2013-07-01 13:30:00+00:00,-1376.4483434800331,-1362.3306271299875,-1370.7676669115797,0.010350536587187386,0.00024073452785692016,5,True,252,2400,1,1,0 days 00:00:00.261004,CANE,0.25280965263089733,0.23653337041374725
25,2013-07-11 13:30:00+00:00,-1379.0128704293088,-1364.8951540792632,-1373.3321938608553,0.010261879311739126,0.0002382407019476889,5,True,252,2400,1,1,0 days 00:00:00.284999,CANE,0.25688167253045013,0.24273512513978152
26,2013-07-25 13:30:00+00:00,-1384.500583058079,-1370.3828667080334,-1378.8199064896255,0.010331051450277972,0.0002406904541693701,5,True,252,2400,1,1,0 days 00:00:00.302005,CANE,0.21577101649913552,0.21207251686640494
27,2013-08-07 13:30:00+00:00,-1500.6723859506292,-1486.5546696005836,-1494.9917093821757,0.009128116058772387,0.0001470849398685432,5,True,252,2400,1,1,0 days 00:00:00.337994,CANE,0.36882891579422356,0.38066261856803735
28,2013-08-20 13:30:00+00:00,-1510.4135059972832,-1496.2957896472376,-1504.7328294288297,0.008923150434675535,0.00014147933546797997,5,True,252,2400,1,1,0 days 00:00:00.350004,CANE,0.29666343503608444,0.3072552933892846
29,2013-08-28 13:30:00+00:00,-1517.0000586268743,-1502.8823422768287,-1511.3193820584208,0.0087790023005054,0.00013783351068253155,5,True,252,2400,1,1,0 days 00:00:00.299999,CANE,0.3256482843192383,0.33824002030200906
30,2013-09-10 13:30:00+00:00,-1527.1191378646408,-1513.0014215145952,-1521.4384612961874,0.008644980993519123,0.00013241526478985162,5,True,252,2400,1,1,0 days 00:00:00.316003,CANE,0.4800028161135971,0.4890761164851989
31,2013-09-17 13:30:00+00:00,-1529.4066805099756,-1515.28896415993,-1523.726003941522,0.008607755947377062,0.00013121283683210097,5,True,252,2400,1,1,0 days 00:00:00.308995,CANE,0.4615877158788103,0.47059923968328976
32,2013-09-24 13:30:00+00:00,-1541.8771304637926,-1527.759414113747,-1536.1964538953391,0.008482262462139692,0.00012488289916743074,5,True,252,2400,1,1,0 days 00:00:00.295102,CANE,,
33,2013-10-02 13:30:00+00:00,-1556.018695254691,-1541.9009789046454,-1550.3380186862375,0.008355144884740475,0.00011830695591758612,5,True,252,2400,1,1,0 days 00:00:01.025822,CANE,0.028544054852110843,0.011084048563854674
34,2013-10-09 13:30:00+00:00,-1552.7376170341613,-1538.6199006841157,-1547.0569404657078,0.00829129594328283,0.0001196086906826298,5,True,252,2400,1,1,0 days 00:00:00.274873,CANE,0.6277013165912544,0.634684726406085
35,2013-10-16 13:30:00+00:00,-1539.4729180536087,-1525.3552017035631,-1533.7922414851553,0.008482671164153613,0.00012610384882486087,5,True,252,2400,1,1,0 days 00:00:00.340097,CANE,0.20137706369570763,0.17393029986251887
36,2013-10-23 13:30:00+00:00,-1530.7868497149334,-1516.6691333648878,-1525.10617314648,0.008583494505908201,0.00013050219430789947,5,True,252,2400,1,1,0 days 00:00:01.081970,CANE,0.1946355680572898,0.16897477064356375
37,2013-10-30 13:30:00+00:00,-1535.8208848423606,-1521.703168492315,-1530.140208273907,0.008469922911984243,0.0001279216306796435,5,True,252,2400,1,1,0 days 00:00:00.467594,CANE,0.22075641433702833,0.18752855607776528
38,2013-11-07 14:30:00+00:00,-1542.403962783675,-1528.2862464336295,-1536.7232862152216,0.00833631540536913,0.0001247427221530456,5,True,252,2400,1,1,0 days 00:00:00.866330,CANE,0.019726654018337772,0.011278626828141696
39,2013-11-15 14:30:00+00:00,-1549.3614987289493,-1535.2437823789037,-1543.6808221604958,0.00818330489331452,0.00012134402520418577,5,True,252,2400,1,1,0 days 00:00:00.838247,CANE,0.01928972344108171,0.011065592873597985
40,2013-11-25 14:30:00+00:00,-1561.1399027948469,-1547.0221864448013,-1555.4592262263934,0.007953688500240556,0.00011568614448761273,5,True,252,2400,1,1,0 days 00:00:00.570943,CANE,1.1998671420348037,1.1979997252096382
41,2013-12-05 14:30:00+00:00,-1577.2026246866126,-1563.084908336567,-1571.5219481181591,0.00776288778123377,0.0001085407543635829,5,True,252,2400,1,1,0 days 00:00:00.495099,CANE,0.7783453916818109,0.7779141602331233
42,2013-12-24 14:30:00+00:00,-1573.6223917400303,-1559.5046753899846,-1567.9417151715768,0.007871989163944172,0.00011011107715170972,5,True,252,2400,1,1,0 days 00:00:00.473703,CANE,0.6442545705818822,0.6239581688686346
43,2014-01-02 14:30:00+00:00,-1578.4016166692932,-1564.2839003192476,-1572.7209401008397,0.007798780940864855,0.00010802479712867071,5,True,252,2400,1,1,0 days 00:00:00.390724,CANE,0.6149159560626148,0.6037512953994739
44,2014-01-10 14:30:00+00:00,-1577.2848092538452,-1563.1670929037996,-1571.6041326853917,0.0077758942389748315,0.00010850366289260106,5,True,252,2400,1,1,0 days 00:00:00.325156,CANE,0.7871352206515608,0.7839438812354517
45,2014-01-17 14:30:00+00:00,-1563.155179795605,-1549.0374634455593,-1557.4745032271514,0.008027708468932967,0.00011475771040653641,5,True,252,2400,1,1,0 days 00:00:00.506212,CANE,0.4367457158718203,0.4617302658911918
46,2014-01-28 14:30:00+00:00,-1567.0501295578547,-1552.932413207809,-1561.3694529894012,0.007930073768920496,0.00011299912774655463,5,True,252,2400,1,1,0 days 00:00:00.360000,CANE,0.4361788241433273,0.4625429204546588
47,2014-02-05 14:30:00+00:00,-1555.3672709439984,-1541.2495545939528,-1549.686594375545,0.008137172727913278,0.00011843517927149988,5,True,252,2400,1,1,0 days 00:00:00.704474,CANE,0.1543889431006035,0.1974525454890357
48,2014-02-12 14:30:00+00:00,-1532.4095552527465,-1518.2918389027009,-1526.728878684293,0.008257408796289762,0.0001296408124648858,5,True,252,2400,1,1,0 days 00:00:00.912092,CANE,0.26909901888914634,0.2927939687342059
49,2014-02-20 14:30:00+00:00,-1471.6080233842686,-1457.490307034223,-1465.927346815815,0.00889819079068503,0.00016502727277031249,5,True,252,2400,1,1,0 days 00:00:00.527375,CANE,0.2381873033019307,0.21977645580702365
50,2014-02-27 14:30:00+00:00,-1381.0081919595968,-1366.8904756095512,-1375.3275153911434,0.009997129317229013,0.00023637087758817353,5,True,252,2400,1,1,0 days 00:00:00.398740,CANE,0.20507267609439928,0.1955320043435943
51,2014-03-06 14:30:00+00:00,-1373.059178293825,-1358.9414619437794,-1367.3785017253715,0.010045421694137571,0.00024390267157936845,5,True,252,2400,1,1,0 days 00:00:00.331730,CANE,0.18708860249996467,0.22092849294837924
52,2014-03-13 13:30:00+00:00,-1367.4764270949308,-1353.3587107448852,-1361.7957505264774,0.010303571126493714,0.000249381885489348,5,True,252,2400,1,1,0 days 00:00:00.401993,CANE,0.22610035011837268,0.26446901924677363
