,0
Unnamed: 0,999.0
aic,-999.1647599166946
bic,-985.0470435666489
hqic,-993.484083348241
mae,0.025319767909067144
mse,0.0013313297883977124
forecastHorizon,5.0
diff,1.0
trainDFLength,252.0
num_models,10000.0
order_p,1.0
order_q,1.0
ar.L1.close,0.3431917309109273
ma.L1.close,0.3310189460532224
