time,open,high,low,close,"LUC1!, HKEX: Open","LUC1!, HKEX: High","LUC1!, HKEX: Low","LUC1!, HKEX: Close","COPPER1!, MCX: Open","COPPER1!, MCX: High","COPPER1!, MCX: Low","COPPER1!, MCX: Close",Commercials long,Commercials short,Commercials net,Large Speculators long,Large Speculators short,Large Speculators net,Small Speculators long,Small Speculators short,Small Speculators net,MA,Smoothing Line,Volume,Volume MA,OI,Commercials long,Commercials short,Commercials net,Large Speculators long,Large Speculators short,Large Speculators net,Small Speculators long,Small Speculators short,Small Speculators net
2013-01-20T23:00:00Z,3.684,3.7075,3.662,3.703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75176,-90923,-15747,48234,-38699,9535,19676,-13464,6212,NaN,NaN,NaN,NaN,161899,75176,-90923,-15747,48234,-38699,9535,19676,-13464,6212
2013-01-22T23:00:00Z,3.705,3.7115,3.6765,3.679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75176,-90923,-15747,48234,-38699,9535,19676,-13464,6212,NaN,NaN,NaN,NaN,161899,75176,-90923,-15747,48234,-38699,9535,19676,-13464,6212
2013-01-23T23:00:00Z,3.6725,3.6965,3.661,3.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75176,-90923,-15747,48234,-38699,9535,19676,-13464,6212,NaN,NaN,NaN,NaN,161899,75176,-90923,-15747,48234,-38699,9535,19676,-13464,6212
2013-01-24T23:00:00Z,3.6725,3.6995,3.6405,3.6595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75176,-90923,-15747,48234,-38699,9535,19676,-13464,6212,NaN,NaN,NaN,NaN,161899,75176,-90923,-15747,48234,-38699,9535,19676,-13464,6212
2013-01-27T23:00:00Z,3.656,3.677,3.6445,3.658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75176,-90923,-15747,48234,-38699,9535,19676,-13464,6212,NaN,NaN,NaN,NaN,161899,75176,-90923,-15747,48234,-38699,9535,19676,-13464,6212
2013-01-28T23:00:00Z,3.6585,3.694,3.6525,3.6885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75776,-92214,-16438,50672,-41305,9367,21045,-13974,7071,NaN,NaN,NaN,NaN,168493,75776,-92214,-16438,50672,-41305,9367,21045,-13974,7071
2013-01-29T23:00:00Z,3.69,3.756,3.6835,3.7475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75776,-92214,-16438,50672,-41305,9367,21045,-13974,7071,NaN,NaN,NaN,NaN,168493,75776,-92214,-16438,50672,-41305,9367,21045,-13974,7071
2013-01-30T23:00:00Z,3.7475,3.7725,3.717,3.736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75776,-92214,-16438,50672,-41305,9367,21045,-13974,7071,NaN,NaN,NaN,NaN,168493,75776,-92214,-16438,50672,-41305,9367,21045,-13974,7071
2013-01-31T23:00:00Z,3.7375,3.786,3.72,3.7815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75776,-92214,-16438,50672,-41305,9367,21045,-13974,7071,NaN,NaN,NaN,NaN,168493,75776,-92214,-16438,50672,-41305,9367,21045,-13974,7071
2013-02-03T23:00:00Z,3.7845,3.7925,3.762,3.766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75776,-92214,-16438,50672,-41305,9367,21045,-13974,7071,NaN,NaN,NaN,NaN,168493,75776,-92214,-16438,50672,-41305,9367,21045,-13974,7071
2013-02-04T23:00:00Z,3.768,3.782,3.757,3.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81590,-105513,-23923,61901,-45697,16204,21072,-13353,7719,NaN,NaN,NaN,NaN,183941,81590,-105513,-23923,61901,-45697,16204,21072,-13353,7719
2013-02-05T23:00:00Z,3.774,3.783,3.731,3.7515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81590,-105513,-23923,61901,-45697,16204,21072,-13353,7719,NaN,NaN,NaN,NaN,183941,81590,-105513,-23923,61901,-45697,16204,21072,-13353,7719
2013-02-06T23:00:00Z,3.75,3.7575,3.721,3.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81590,-105513,-23923,61901,-45697,16204,21072,-13353,7719,NaN,NaN,NaN,NaN,183941,81590,-105513,-23923,61901,-45697,16204,21072,-13353,7719
2013-02-07T23:00:00Z,3.7305,3.7745,3.7265,3.7575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81590,-105513,-23923,61901,-45697,16204,21072,-13353,7719,NaN,NaN,NaN,NaN,183941,81590,-105513,-23923,61901,-45697,16204,21072,-13353,7719
2013-02-10T23:00:00Z,3.7625,3.769,3.708,3.7265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81590,-105513,-23923,61901,-45697,16204,21072,-13353,7719,NaN,NaN,NaN,NaN,183941,81590,-105513,-23923,61901,-45697,16204,21072,-13353,7719
2013-02-11T23:00:00Z,3.7265,3.7485,3.7095,3.7465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74836,-96583,-21747,60104,-44242,15862,20607,-14722,5885,NaN,NaN,NaN,NaN,174441,74836,-96583,-21747,60104,-44242,15862,20607,-14722,5885
2013-02-12T23:00:00Z,3.747,3.762,3.726,3.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74836,-96583,-21747,60104,-44242,15862,20607,-14722,5885,NaN,NaN,NaN,NaN,174441,74836,-96583,-21747,60104,-44242,15862,20607,-14722,5885
2013-02-13T23:00:00Z,3.741,3.7515,3.7275,3.7445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74836,-96583,-21747,60104,-44242,15862,20607,-14722,5885,NaN,NaN,NaN,NaN,174441,74836,-96583,-21747,60104,-44242,15862,20607,-14722,5885
2013-02-14T23:00:00Z,3.742,3.753,3.719,3.7445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74836,-96583,-21747,60104,-44242,15862,20607,-14722,5885,NaN,NaN,NaN,NaN,174441,74836,-96583,-21747,60104,-44242,15862,20607,-14722,5885
