time,open,high,low,close,"SOY1!, BMFBOVESPA: Open","SOY1!, BMFBOVESPA: High","SOY1!, BMFBOVESPA: Low","SOY1!, BMFBOVESPA: Close","SOJ.ROS1!, MATBAROFEX: Open","SOJ.ROS1!, MATBAROFEX: High","SOJ.ROS1!, MATBAROFEX: Low","SOJ.ROS1!, MATBAROFEX: Close","TGSB1!*JPYUSD, TOCOM: Open","TGSB1!*JPYUSD, TOCOM: High","TGSB1!*JPYUSD, TOCOM: Low","TGSB1!*JPYUSD, TOCOM: Close",Commercials long,Commercials short,Commercials net,Large Speculators long,Large Speculators short,Large Speculators net,Small Speculators long,Small Speculators short,Small Speculators net,MA,Smoothing Line,Volume,Volume MA,OI,Commercials long,Commercials short,Commercials net,Large Speculators long,Large Speculators short,Large Speculators net,Small Speculators long,Small Speculators short,Small Speculators net
2000-12-22T01:00:00Z,518.5,521,518.5,518.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71626,-110554,-38928,31621,-8295,23326,53944,-38342,15602,NaN,NaN,NaN,NaN,NaN,71626,-110554,-38928,31621,-8295,23326,53944,-38342,15602
2000-12-26T01:00:00Z,517.5,519,510,512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69544,-104045,-34501,29003,-9581,19422,52250,-37171,15079,NaN,NaN,NaN,NaN,NaN,69544,-104045,-34501,29003,-9581,19422,52250,-37171,15079
2000-12-27T01:00:00Z,510.25,511,507.75,510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69544,-104045,-34501,29003,-9581,19422,52250,-37171,15079,NaN,NaN,NaN,NaN,NaN,69544,-104045,-34501,29003,-9581,19422,52250,-37171,15079
2000-12-28T01:00:00Z,508,508.75,507.75,508.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69544,-104045,-34501,29003,-9581,19422,52250,-37171,15079,NaN,NaN,NaN,NaN,NaN,69544,-104045,-34501,29003,-9581,19422,52250,-37171,15079
2000-12-29T01:00:00Z,507.75,509,506.25,508.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69544,-104045,-34501,29003,-9581,19422,52250,-37171,15079,NaN,NaN,NaN,NaN,NaN,69544,-104045,-34501,29003,-9581,19422,52250,-37171,15079
2001-01-02T01:00:00Z,510,510.5,509.5,509.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66282,-97191,-30909,28842,-11657,17185,48155,-34431,13724,NaN,NaN,NaN,NaN,NaN,66282,-97191,-30909,28842,-11657,17185,48155,-34431,13724
2001-01-03T01:00:00Z,504,504,503,503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66282,-97191,-30909,28842,-11657,17185,48155,-34431,13724,NaN,NaN,NaN,NaN,NaN,66282,-97191,-30909,28842,-11657,17185,48155,-34431,13724
2001-01-04T01:00:00Z,506.75,507,506,506.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66282,-97191,-30909,28842,-11657,17185,48155,-34431,13724,NaN,NaN,NaN,NaN,NaN,66282,-97191,-30909,28842,-11657,17185,48155,-34431,13724
2001-01-05T01:00:00Z,500.5,502.5,500.5,500.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66282,-97191,-30909,28842,-11657,17185,48155,-34431,13724,NaN,NaN,NaN,NaN,NaN,66282,-97191,-30909,28842,-11657,17185,48155,-34431,13724
2001-01-08T01:00:00Z,496,496,495,495.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66282,-97191,-30909,28842,-11657,17185,48155,-34431,13724,NaN,NaN,NaN,NaN,NaN,66282,-97191,-30909,28842,-11657,17185,48155,-34431,13724
2001-01-09T01:00:00Z,499,500,498,499.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65234,-92948,-27714,27030,-14569,12461,49470,-34217,15253,NaN,NaN,NaN,NaN,NaN,65234,-92948,-27714,27030,-14569,12461,49470,-34217,15253
2001-01-10T01:00:00Z,502.5,502.5,502.25,502.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65234,-92948,-27714,27030,-14569,12461,49470,-34217,15253,NaN,NaN,NaN,NaN,NaN,65234,-92948,-27714,27030,-14569,12461,49470,-34217,15253
2001-01-11T01:00:00Z,496.25,498,496,496.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65234,-92948,-27714,27030,-14569,12461,49470,-34217,15253,NaN,NaN,NaN,NaN,NaN,65234,-92948,-27714,27030,-14569,12461,49470,-34217,15253
2001-01-12T01:00:00Z,484.5,485.75,484,485.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65234,-92948,-27714,27030,-14569,12461,49470,-34217,15253,NaN,NaN,NaN,NaN,NaN,65234,-92948,-27714,27030,-14569,12461,49470,-34217,15253
2001-01-16T01:00:00Z,482,482.5,480,481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70469,-78908,-8439,21658,-25925,-4267,47465,-34759,12706,NaN,NaN,NaN,NaN,NaN,70469,-78908,-8439,21658,-25925,-4267,47465,-34759,12706
2001-01-17T01:00:00Z,476.75,477,475,477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70469,-78908,-8439,21658,-25925,-4267,47465,-34759,12706,NaN,NaN,NaN,NaN,NaN,70469,-78908,-8439,21658,-25925,-4267,47465,-34759,12706
2001-01-18T01:00:00Z,472.5,474.75,472,473.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70469,-78908,-8439,21658,-25925,-4267,47465,-34759,12706,NaN,NaN,NaN,NaN,NaN,70469,-78908,-8439,21658,-25925,-4267,47465,-34759,12706
2001-01-19T01:00:00Z,473.25,476,473,476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70469,-78908,-8439,21658,-25925,-4267,47465,-34759,12706,NaN,NaN,NaN,NaN,NaN,70469,-78908,-8439,21658,-25925,-4267,47465,-34759,12706
2001-01-22T01:00:00Z,470.25,470.75,469.25,469.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70469,-78908,-8439,21658,-25925,-4267,47465,-34759,12706,NaN,NaN,NaN,NaN,NaN,70469,-78908,-8439,21658,-25925,-4267,47465,-34759,12706
2001-01-23T01:00:00Z,476.25,477.5,476,477.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70014,-75311,-5297,21371,-32275,-10904,50427,-34226,16201,NaN,NaN,NaN,NaN,NaN,70014,-75311,-5297,21371,-32275,-10904,50427,-34226,16201
2001-01-24T01:00:00Z,467.75,468.5,467.25,468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70014,-75311,-5297,21371,-32275,-10904,50427,-34226,16201,NaN,NaN,NaN,NaN,NaN,70014,-75311,-5297,21371,-32275,-10904,50427,-34226,16201
2001-01-25T01:00:00Z,469.75,470,469,469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70014,-75311,-5297,21371,-32275,-10904,50427,-34226,16201,NaN,NaN,NaN,NaN,NaN,70014,-75311,-5297,21371,-32275,-10904,50427,-34226,16201
2001-01-26T01:00:00Z,465,467,465,467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70014,-75311,-5297,21371,-32275,-10904,50427,-34226,16201,NaN,NaN,NaN,NaN,NaN,70014,-75311,-5297,21371,-32275,-10904,50427,-34226,16201
2001-01-29T01:00:00Z,460,460,457.75,459.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70014,-75311,-5297,21371,-32275,-10904,50427,-34226,16201,NaN,NaN,NaN,NaN,NaN,70014,-75311,-5297,21371,-32275,-10904,50427,-34226,16201
2001-01-30T01:00:00Z,459.75,461.25,459.75,461.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71586,-73585,-1999,20841,-33626,-12785,50235,-35451,14784,NaN,NaN,NaN,NaN,NaN,71586,-73585,-1999,20841,-33626,-12785,50235,-35451,14784
2001-01-31T01:00:00Z,460.75,461,459.75,459.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71586,-73585,-1999,20841,-33626,-12785,50235,-35451,14784,NaN,NaN,NaN,NaN,NaN,71586,-73585,-1999,20841,-33626,-12785,50235,-35451,14784
2001-02-01T01:00:00Z,459,459.5,458.25,458.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71586,-73585,-1999,20841,-33626,-12785,50235,-35451,14784,NaN,NaN,NaN,NaN,NaN,71586,-73585,-1999,20841,-33626,-12785,50235,-35451,14784
2001-02-02T01:00:00Z,462.25,463,462.25,463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71586,-73585,-1999,20841,-33626,-12785,50235,-35451,14784,NaN,NaN,NaN,NaN,NaN,71586,-73585,-1999,20841,-33626,-12785,50235,-35451,14784
