time,open,high,low,close,"SOY1!, BMFBOVESPA: Open","SOY1!, BMFBOVESPA: High","SOY1!, BMFBOVESPA: Low","SOY1!, BMFBOVESPA: Close","SOJ.ROS1!, MATBAROFEX: Open","SOJ.ROS1!, MATBAROFEX: High","SOJ.ROS1!, MATBAROFEX: Low","SOJ.ROS1!, MATBAROFEX: Close","TGSB1!*JPYUSD, TOCOM: Open","TGSB1!*JPYUSD, TOCOM: High","TGSB1!*JPYUSD, TOCOM: Low","TGSB1!*JPYUSD, TOCOM: Close",Commercials long,Commercials short,Commercials net,Large Speculators long,Large Speculators short,Large Speculators net,Small Speculators long,Small Speculators short,Small Speculators net,MA,Smoothing Line,Volume,Volume MA,OI,Commercials long,Commercials short,Commercials net,Large Speculators long,Large Speculators short,Large Speculators net,Small Speculators long,Small Speculators short,Small Speculators net
2001-02-05T01:00:00Z,467.75,468.5,467,468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71586,-73585,-1999,20841,-33626,-12785,50235,-35451,14784,NaN,NaN,NaN,NaN,NaN,71586,-73585,-1999,20841,-33626,-12785,50235,-35451,14784
2001-02-06T01:00:00Z,462,462.25,461,461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70350,-72806,-2456,19980,-35011,-15031,51713,-34226,17487,NaN,NaN,NaN,NaN,NaN,70350,-72806,-2456,19980,-35011,-15031,51713,-34226,17487
2001-02-07T01:00:00Z,464.25,465.5,464,465.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70350,-72806,-2456,19980,-35011,-15031,51713,-34226,17487,NaN,NaN,NaN,NaN,NaN,70350,-72806,-2456,19980,-35011,-15031,51713,-34226,17487
2001-02-08T01:00:00Z,463,463.5,462.25,463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70350,-72806,-2456,19980,-35011,-15031,51713,-34226,17487,NaN,NaN,NaN,NaN,NaN,70350,-72806,-2456,19980,-35011,-15031,51713,-34226,17487
2001-02-09T01:00:00Z,453,453,452,453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70350,-72806,-2456,19980,-35011,-15031,51713,-34226,17487,NaN,NaN,NaN,NaN,NaN,70350,-72806,-2456,19980,-35011,-15031,51713,-34226,17487
2001-02-12T01:00:00Z,455,456.5,454.5,456.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70350,-72806,-2456,19980,-35011,-15031,51713,-34226,17487,NaN,NaN,NaN,NaN,NaN,70350,-72806,-2456,19980,-35011,-15031,51713,-34226,17487
2001-02-13T01:00:00Z,452.5,453.75,449.5,450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73988,-73090,898,18234,-37073,-18839,53260,-35319,17941,NaN,NaN,NaN,NaN,NaN,73988,-73090,898,18234,-37073,-18839,53260,-35319,17941
2001-02-14T01:00:00Z,449.5,451.25,449.5,451.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73988,-73090,898,18234,-37073,-18839,53260,-35319,17941,NaN,NaN,NaN,NaN,NaN,73988,-73090,898,18234,-37073,-18839,53260,-35319,17941
2001-02-15T01:00:00Z,452.25,453.5,452.25,453.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73988,-73090,898,18234,-37073,-18839,53260,-35319,17941,NaN,NaN,NaN,NaN,NaN,73988,-73090,898,18234,-37073,-18839,53260,-35319,17941
2001-02-16T01:00:00Z,451.75,453,451.5,453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73988,-73090,898,18234,-37073,-18839,53260,-35319,17941,NaN,NaN,NaN,NaN,NaN,73988,-73090,898,18234,-37073,-18839,53260,-35319,17941
2001-02-20T01:00:00Z,456,459.5,456,459.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74512,-72602,1910,15409,-37805,-22396,53179,-32693,20486,NaN,NaN,NaN,NaN,NaN,74512,-72602,1910,15409,-37805,-22396,53179,-32693,20486
2001-02-21T01:00:00Z,455,456,454.5,454.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74512,-72602,1910,15409,-37805,-22396,53179,-32693,20486,NaN,NaN,NaN,NaN,NaN,74512,-72602,1910,15409,-37805,-22396,53179,-32693,20486
2001-02-22T01:00:00Z,458.5,460,458.25,459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74512,-72602,1910,15409,-37805,-22396,53179,-32693,20486,NaN,NaN,NaN,NaN,NaN,74512,-72602,1910,15409,-37805,-22396,53179,-32693,20486
2001-02-26T01:00:00Z,447.25,447.5,446,447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74512,-72602,1910,15409,-37805,-22396,53179,-32693,20486,NaN,NaN,NaN,NaN,NaN,74512,-72602,1910,15409,-37805,-22396,53179,-32693,20486
2001-02-27T01:00:00Z,447.25,448.75,447.25,448.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69212,-66724,2488,14676,-38979,-24303,52964,-31149,21815,NaN,NaN,NaN,NaN,NaN,69212,-66724,2488,14676,-38979,-24303,52964,-31149,21815
2001-02-28T01:00:00Z,451,453.75,450.75,453.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69212,-66724,2488,14676,-38979,-24303,52964,-31149,21815,NaN,NaN,NaN,NaN,NaN,69212,-66724,2488,14676,-38979,-24303,52964,-31149,21815
2001-03-01T01:00:00Z,455.5,457,455.25,457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69212,-66724,2488,14676,-38979,-24303,52964,-31149,21815,NaN,NaN,NaN,NaN,NaN,69212,-66724,2488,14676,-38979,-24303,52964,-31149,21815
2001-03-02T01:00:00Z,460,463,459.75,463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69212,-66724,2488,14676,-38979,-24303,52964,-31149,21815,NaN,NaN,NaN,NaN,NaN,69212,-66724,2488,14676,-38979,-24303,52964,-31149,21815
2001-03-06T01:00:00Z,460.25,461,460,460.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61265,-67597,-6332,18734,-34966,-16232,51335,-28771,22564,NaN,NaN,NaN,NaN,NaN,61265,-67597,-6332,18734,-34966,-16232,51335,-28771,22564
2001-03-07T01:00:00Z,466.5,468,466.25,467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61265,-67597,-6332,18734,-34966,-16232,51335,-28771,22564,NaN,NaN,NaN,NaN,NaN,61265,-67597,-6332,18734,-34966,-16232,51335,-28771,22564
2001-03-08T01:00:00Z,463.5,465.5,463.5,463.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61265,-67597,-6332,18734,-34966,-16232,51335,-28771,22564,NaN,NaN,NaN,NaN,NaN,61265,-67597,-6332,18734,-34966,-16232,51335,-28771,22564
2001-03-09T01:00:00Z,461.25,463,461,462.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61265,-67597,-6332,18734,-34966,-16232,51335,-28771,22564,NaN,NaN,NaN,NaN,NaN,61265,-67597,-6332,18734,-34966,-16232,51335,-28771,22564
2001-03-12T01:00:00Z,462.5,463,460,460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61265,-67597,-6332,18734,-34966,-16232,51335,-28771,22564,NaN,NaN,NaN,NaN,NaN,61265,-67597,-6332,18734,-34966,-16232,51335,-28771,22564
2001-03-13T01:00:00Z,461,462.5,459,461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60049,-63314,-3265,17154,-34560,-17406,51315,-30644,20671,NaN,NaN,NaN,NaN,NaN,60049,-63314,-3265,17154,-34560,-17406,51315,-30644,20671
2001-03-14T01:00:00Z,456.5,456.75,454,454.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60049,-63314,-3265,17154,-34560,-17406,51315,-30644,20671,NaN,NaN,NaN,NaN,NaN,60049,-63314,-3265,17154,-34560,-17406,51315,-30644,20671
2001-03-15T01:00:00Z,444,445,442.5,444.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60049,-63314,-3265,17154,-34560,-17406,51315,-30644,20671,NaN,NaN,NaN,NaN,NaN,60049,-63314,-3265,17154,-34560,-17406,51315,-30644,20671
2001-03-16T01:00:00Z,445.5,447,445,447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60049,-63314,-3265,17154,-34560,-17406,51315,-30644,20671,NaN,NaN,NaN,NaN,NaN,60049,-63314,-3265,17154,-34560,-17406,51315,-30644,20671
2001-03-19T01:00:00Z,443,444.25,442.5,444.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60049,-63314,-3265,17154,-34560,-17406,51315,-30644,20671,NaN,NaN,NaN,NaN,NaN,60049,-63314,-3265,17154,-34560,-17406,51315,-30644,20671
2001-03-20T01:00:00Z,443.25,445.75,443.25,445.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59708,-56136,3572,14836,-36033,-21197,48528,-30903,17625,NaN,NaN,NaN,NaN,NaN,59708,-56136,3572,14836,-36033,-21197,48528,-30903,17625
2001-03-21T01:00:00Z,446.25,446.5,445.5,445.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59708,-56136,3572,14836,-36033,-21197,48528,-30903,17625,NaN,NaN,NaN,NaN,NaN,59708,-56136,3572,14836,-36033,-21197,48528,-30903,17625
2001-03-22T01:00:00Z,443.25,445,438.5,438.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59708,-56136,3572,14836,-36033,-21197,48528,-30903,17625,NaN,NaN,NaN,NaN,NaN,59708,-56136,3572,14836,-36033,-21197,48528,-30903,17625
2001-03-23T01:00:00Z,434.5,436.25,434.5,435.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59708,-56136,3572,14836,-36033,-21197,48528,-30903,17625,NaN,NaN,NaN,NaN,NaN,59708,-56136,3572,14836,-36033,-21197,48528,-30903,17625
2001-03-26T01:00:00Z,438,439.75,438,439.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59708,-56136,3572,14836,-36033,-21197,48528,-30903,17625,NaN,NaN,NaN,NaN,NaN,59708,-56136,3572,14836,-36033,-21197,48528,-30903,17625
2001-03-27T01:00:00Z,442,442.5,441,441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63071,-56802,6269,14906,-37064,-22158,47192,-31303,15889,NaN,NaN,NaN,NaN,NaN,63071,-56802,6269,14906,-37064,-22158,47192,-31303,15889
2001-03-28T01:00:00Z,445,445,444,444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63071,-56802,6269,14906,-37064,-22158,47192,-31303,15889,NaN,NaN,NaN,NaN,NaN,63071,-56802,6269,14906,-37064,-22158,47192,-31303,15889
2001-03-29T01:00:00Z,441.25,441.75,440.5,441.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63071,-56802,6269,14906,-37064,-22158,47192,-31303,15889,NaN,NaN,NaN,NaN,NaN,63071,-56802,6269,14906,-37064,-22158,47192,-31303,15889
2001-03-30T01:00:00Z,436.5,438.75,436,436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63071,-56802,6269,14906,-37064,-22158,47192,-31303,15889,NaN,NaN,NaN,NaN,NaN,63071,-56802,6269,14906,-37064,-22158,47192,-31303,15889
2001-04-02T00:00:00Z,432.25,433.25,431.75,431.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63071,-56802,6269,14906,-37064,-22158,47192,-31303,15889,NaN,NaN,NaN,NaN,NaN,63071,-56802,6269,14906,-37064,-22158,47192,-31303,15889
2001-04-03T00:00:00Z,431.75,432.25,429,430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72492,-56195,16297,13988,-44642,-30654,46158,-31801,14357,NaN,NaN,NaN,NaN,NaN,72492,-56195,16297,13988,-44642,-30654,46158,-31801,14357
2001-04-04T00:00:00Z,430,431,429.5,430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72492,-56195,16297,13988,-44642,-30654,46158,-31801,14357,NaN,NaN,NaN,NaN,NaN,72492,-56195,16297,13988,-44642,-30654,46158,-31801,14357
2001-04-05T00:00:00Z,437,439,437,439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72492,-56195,16297,13988,-44642,-30654,46158,-31801,14357,NaN,NaN,NaN,NaN,NaN,72492,-56195,16297,13988,-44642,-30654,46158,-31801,14357
2001-04-06T00:00:00Z,437,439,437,437.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72492,-56195,16297,13988,-44642,-30654,46158,-31801,14357,NaN,NaN,NaN,NaN,NaN,72492,-56195,16297,13988,-44642,-30654,46158,-31801,14357
2001-04-09T00:00:00Z,435.5,437.75,435.5,437.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72492,-56195,16297,13988,-44642,-30654,46158,-31801,14357,NaN,NaN,NaN,NaN,NaN,72492,-56195,16297,13988,-44642,-30654,46158,-31801,14357
2001-04-10T00:00:00Z,441,442,440.75,442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76752,-60676,16076,14250,-44947,-30697,46475,-31854,14621,NaN,NaN,NaN,NaN,NaN,76752,-60676,16076,14250,-44947,-30697,46475,-31854,14621
2001-04-11T00:00:00Z,433,434.5,433,434.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76752,-60676,16076,14250,-44947,-30697,46475,-31854,14621,NaN,NaN,NaN,NaN,NaN,76752,-60676,16076,14250,-44947,-30697,46475,-31854,14621
2001-04-12T00:00:00Z,436.75,437.25,436.75,437.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76752,-60676,16076,14250,-44947,-30697,46475,-31854,14621,NaN,NaN,NaN,NaN,NaN,76752,-60676,16076,14250,-44947,-30697,46475,-31854,14621
2001-04-16T00:00:00Z,434,435.5,434,434.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76752,-60676,16076,14250,-44947,-30697,46475,-31854,14621,NaN,NaN,NaN,NaN,NaN,76752,-60676,16076,14250,-44947,-30697,46475,-31854,14621
2001-04-17T00:00:00Z,437.5,437.75,436,436.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77197,-63252,13945,14261,-44177,-29916,46568,-30597,15971,NaN,NaN,NaN,NaN,NaN,77197,-63252,13945,14261,-44177,-29916,46568,-30597,15971
2001-04-18T00:00:00Z,434.25,434.75,432,432.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77197,-63252,13945,14261,-44177,-29916,46568,-30597,15971,NaN,NaN,NaN,NaN,NaN,77197,-63252,13945,14261,-44177,-29916,46568,-30597,15971
2001-04-19T00:00:00Z,437,437,435.5,437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77197,-63252,13945,14261,-44177,-29916,46568,-30597,15971,NaN,NaN,NaN,NaN,NaN,77197,-63252,13945,14261,-44177,-29916,46568,-30597,15971
2001-04-20T00:00:00Z,431,432,430,432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77197,-63252,13945,14261,-44177,-29916,46568,-30597,15971,NaN,NaN,NaN,NaN,NaN,77197,-63252,13945,14261,-44177,-29916,46568,-30597,15971
2001-04-23T00:00:00Z,429.75,431.25,429.5,430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77197,-63252,13945,14261,-44177,-29916,46568,-30597,15971,NaN,NaN,NaN,NaN,NaN,77197,-63252,13945,14261,-44177,-29916,46568,-30597,15971
2001-04-24T00:00:00Z,423.75,424.5,423.5,424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76798,-63158,13640,13310,-43391,-30081,47751,-31310,16441,NaN,NaN,NaN,NaN,NaN,76798,-63158,13640,13310,-43391,-30081,47751,-31310,16441
2001-04-25T00:00:00Z,426.75,427.5,425,426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76798,-63158,13640,13310,-43391,-30081,47751,-31310,16441,NaN,NaN,NaN,NaN,NaN,76798,-63158,13640,13310,-43391,-30081,47751,-31310,16441
2001-04-26T00:00:00Z,422.25,427.5,421.25,425.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76798,-63158,13640,13310,-43391,-30081,47751,-31310,16441,NaN,NaN,NaN,NaN,NaN,76798,-63158,13640,13310,-43391,-30081,47751,-31310,16441
