,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ma.L1.close
0,1983-03-29 23:00:00+00:00,-1874.3155199723565,-1860.1978036223109,-1868.634843403903,0.004369844768140039,3.338569004521532e-05,0.9984574072101955,5,True,252,8500,1,1,0 days 00:00:00.430919,crude_light,,
1,1983-04-06 23:00:00+00:00,-1881.6830572240074,-1867.5653408739618,-1876.002380655554,0.004253587331407243,3.242375013818255e-05,0.9985000949540392,5,True,252,8500,1,1,0 days 00:00:00.306042,crude_light,0.05237166098781593,
2,1983-04-13 23:00:00+00:00,-1898.4670584273263,-1884.3493420772807,-1892.7863818588728,0.0041009835680562694,3.0339684784205257e-05,0.9842996269487599,5,True,252,8500,1,1,0 days 00:00:00.323189,crude_light,0.29205073676173415,0.244166899621227
3,1983-04-20 23:00:00+00:00,-1903.4562610526941,-1889.3385447026485,-1897.7755844842407,0.0040805015590400905,2.9717461864468122e-05,0.9874328301900281,5,True,252,8500,1,1,0 days 00:00:00.314029,crude_light,0.022211547592958323,
4,1983-04-27 22:00:00+00:00,-1903.548699817536,-1889.4309834674905,-1897.8680232490826,0.004070005694806892,2.9713677298216177e-05,0.9895615403680325,5,True,252,8500,1,1,0 days 00:00:00.291881,crude_light,0.023326693931144393,
5,1983-05-04 22:00:00+00:00,-1907.2119995574644,-1893.0942832074188,-1901.531322989011,0.004014297466157401,2.930170854715001e-05,0.9795156463262987,5,True,252,8500,1,1,0 days 00:00:00.323274,crude_light,0.107332053378982,0.07870058894984376
6,1983-05-11 22:00:00+00:00,-1911.2881315656728,-1897.1704152156271,-1905.6074549972193,0.00401086325659407,2.8829358733715044e-05,0.9933600774026279,5,True,252,8500,1,1,0 days 00:00:00.299461,crude_light,0.4524566239255846,0.465378294338977
7,1983-05-18 22:00:00+00:00,-1895.1671761251491,-1881.0494597751035,-1889.4864995566957,0.004108871127692062,3.0735863423090034e-05,0.9943092651481594,5,True,252,8500,1,1,0 days 00:00:00.313521,crude_light,0.3417930700058924,0.35021266366049625
8,1983-05-25 22:00:00+00:00,-1898.1294054405766,-1884.011689090531,-1892.4487288721232,0.0040954960759259,3.037486394517208e-05,0.993135046482123,5,True,252,8500,1,1,0 days 00:00:00.268272,crude_light,0.3525053591842718,0.36107749226374836
9,1983-06-02 22:00:00+00:00,-1896.9972281261284,-1882.8795117760828,-1891.316551557675,0.004107628977178119,3.0511557120359208e-05,0.9938652367130414,5,True,252,8500,1,1,0 days 00:00:00.270144,crude_light,0.3545775101168476,0.36251779365046927
10,1983-06-09 22:00:00+00:00,-1898.5069687364162,-1884.3892523863706,-1892.8262921679627,0.004100067925471841,3.0330186364978977e-05,0.9934685559464304,5,True,252,8500,1,1,0 days 00:00:00.289002,crude_light,0.3335366645592176,0.3408740139479627
11,1983-06-16 22:00:00+00:00,-1901.8948628734165,-1887.777146523371,-1896.214186304963,0.004078461179200711,2.9892645519299287e-05,0.9772759421991166,5,True,252,8500,1,1,0 days 00:00:00.574970,crude_light,0.025290936568007554,0.011334004074462145
12,1983-06-23 22:00:00+00:00,-1893.4337958706537,-1879.3160795206081,-1887.7531193022003,0.00412912198302954,3.094586075541105e-05,0.9937877855239798,5,True,252,8500,1,1,0 days 00:00:00.242080,crude_light,0.3604173459151223,0.3693353542640872
13,1983-06-30 22:00:00+00:00,-1886.8540511107099,-1872.7363347606642,-1881.1733745422564,0.004217547221886,3.1764763485172087e-05,0.9948469077861628,5,True,252,8500,1,1,0 days 00:00:00.516000,crude_light,0.3934669398862287,0.4019046184751821
14,1983-07-10 22:00:00+00:00,-1888.3806760568773,-1874.2629597068317,-1882.6999994884238,0.004209699399837955,3.1573048081182174e-05,0.9955234135489571,5,True,252,8500,1,1,0 days 00:00:00.262040,crude_light,0.46073111589946836,0.4697984111237566
15,1983-07-17 22:00:00+00:00,-1891.6824122783532,-1877.5646959283076,-1886.0017357098998,0.004167252683163404,3.112181867420915e-05,0.9712039863957488,5,True,252,8500,1,1,0 days 00:00:00.492999,crude_light,0.024498278392353585,0.01667239168027943
16,1983-07-24 22:00:00+00:00,-1879.9712754001916,-1865.853559050146,-1874.2905988317382,0.004325592318971017,3.264446489686346e-05,0.9924576884691845,5,True,252,8500,1,1,0 days 00:00:00.436431,crude_light,0.339584328976276,0.3503509835268038
17,1983-07-31 22:00:00+00:00,-1885.1600399479926,-1871.042323597947,-1879.479363379539,0.004236548357661735,3.19480321966374e-05,0.9765840713015431,5,True,252,8500,1,1,0 days 00:00:00.530560,crude_light,0.02966440883722231,0.028344740907437847
18,1983-08-07 22:00:00+00:00,-1834.7895687850191,-1820.6718524349735,-1829.1088922165657,0.0045274118510634,3.904101662702227e-05,0.978972545624533,5,True,252,8500,1,1,0 days 00:00:00.466587,crude_light,0.09646130155670984,0.07169417430604053
19,1983-08-14 22:00:00+00:00,-1834.1162853245219,-1819.9985689744763,-1828.4356087560684,0.004545808368803723,3.915542606582625e-05,0.9797925465257409,5,True,252,8500,1,1,0 days 00:00:00.385166,crude_light,0.314293199263078,0.27073276245178785
20,1983-08-21 22:00:00+00:00,-1834.719987472024,-1820.6022711219784,-1829.0393109035706,0.004540952479067715,3.9046472046176e-05,0.9757458998468167,5,True,252,8500,1,1,0 days 00:00:00.482320,crude_light,0.092149487980022,0.06470491293347277
21,1983-08-28 22:00:00+00:00,-1834.0099902192628,-1819.8922738692172,-1828.3293136508094,0.004547829029693282,3.9166125977374234e-05,0.9773641897740114,5,True,252,8500,1,1,0 days 00:00:00.506233,crude_light,0.41859584615880824,0.34232077230150704
22,1983-09-05 22:00:00+00:00,-1826.2285800547284,-1812.1108637046827,-1820.547903486275,0.004674840371554435,4.0402182273048126e-05,0.9814724308352928,5,True,252,8500,1,1,0 days 00:00:00.236899,crude_light,0.25665867772871237,0.26912625808287916
23,1983-09-12 22:00:00+00:00,-1818.6626475432768,-1804.5449311932312,-1812.9819709748233,0.0047736078419738604,4.1635234843392824e-05,0.9848984256902409,5,True,252,8500,1,1,0 days 00:00:00.197624,crude_light,0.2809840588956926,0.29225545408590436
24,1983-09-19 22:00:00+00:00,-1820.2995726679392,-1806.1818563178936,-1814.6188960994857,0.004740329489927261,4.136065159581309e-05,0.9753695656209309,5,True,252,8500,1,1,0 days 00:00:01.008943,crude_light,0.20891872595675,0.1704894848077038
25,1983-09-26 22:00:00+00:00,-1817.6217445110583,-1803.5040281610127,-1811.9410679426048,0.004793304507252505,4.181131343433919e-05,0.9867025999055291,5,True,252,8500,1,1,0 days 00:00:00.624839,crude_light,0.302382221765824,0.3128943599646903
26,1983-10-03 22:00:00+00:00,-1832.1075883976182,-1817.9898720475726,-1826.4269118291647,0.004584604892653431,3.9470819142499985e-05,0.974370508819055,5,True,252,8500,1,1,0 days 00:00:00.546374,crude_light,0.17878333740363797,0.14608276644068785
27,1983-10-10 22:00:00+00:00,-1838.0571525682503,-1823.9394362182047,-1832.3764759997969,0.00452289747235298,3.854639986645873e-05,0.9762572351953273,5,True,252,8500,1,1,0 days 00:00:00.683456,crude_light,0.18301424493857504,0.15105267788440982
28,1983-10-17 22:00:00+00:00,-1810.5842391935512,-1796.4665228435056,-1804.9035626250977,0.0047015433666294576,4.299239574513787e-05,0.9860494008837148,5,True,252,8500,1,1,0 days 00:00:00.298137,crude_light,0.2332286847815432,0.2446936308161759
29,1983-10-24 22:00:00+00:00,-1791.5836107202176,-1777.465894370172,-1785.9029341517642,0.004839317995533021,4.63567229124256e-05,0.9818554646164628,5,True,252,8500,1,1,0 days 00:00:00.288333,crude_light,0.4091497879756118,0.3694898640452051
30,1983-10-31 23:00:00+00:00,-1789.9639251544668,-1775.8462088044212,-1784.2832485860133,0.004858993946541517,4.6650396096617496e-05,0.9785147975345632,5,True,252,8500,1,1,0 days 00:00:00.309935,crude_light,0.30841951194302863,0.2627220842779618
31,1983-11-07 23:00:00+00:00,-1787.345117102729,-1773.2274007526835,-1781.6644405342756,0.004929203738472239,4.71420664760125e-05,0.9775839745398742,5,True,252,8500,1,1,0 days 00:00:00.330047,crude_light,0.32503791258220815,0.2858808651577669
32,1983-11-14 23:00:00+00:00,-1786.2094866007164,-1772.0917702506708,-1780.528810032263,0.004957273989191293,4.736800599284866e-05,0.9787436997862985,5,True,252,8500,1,1,0 days 00:00:00.296001,crude_light,0.3263423050865974,0.29363155986532713
33,1983-11-21 23:00:00+00:00,-1792.6146150648642,-1778.4968987148186,-1786.9339384964107,0.004868801324925726,4.6179761001747525e-05,0.9774149455938642,5,True,252,8500,1,1,0 days 00:00:00.224055,crude_light,0.26457241617584376,0.23019350291466953
34,1983-11-30 23:00:00+00:00,-1789.9045718990428,-1775.7868555489972,-1784.2238953305894,0.0048918054257477825,4.666533302491555e-05,0.9814409097629798,5,True,252,8500,1,1,0 days 00:00:00.392171,crude_light,0.2813033738890647,0.24998324025182228
35,1983-12-07 23:00:00+00:00,-1789.713403328793,-1775.5956869787474,-1784.0327267603395,0.004908716900037699,4.6700251458635486e-05,0.9788028559182105,5,True,252,8500,1,1,0 days 00:00:00.242017,crude_light,0.312688443735855,0.27889923756126656
36,1983-12-14 23:00:00+00:00,-1786.440866926007,-1772.3231505759613,-1780.7601903575535,0.00494018718493464,4.732904853930639e-05,0.9800992951082564,5,True,252,8500,1,1,0 days 00:00:00.248354,crude_light,0.2341921490757072,0.2051693616815148
37,1983-12-21 23:00:00+00:00,-1790.7093410245084,-1776.5916246744628,-1785.028664456055,0.0048595489841323485,4.653241941150031e-05,0.9813906794278833,5,True,252,8500,1,1,0 days 00:00:00.302058,crude_light,0.221396077054587,0.19328873513875033
38,1983-12-29 23:00:00+00:00,-1783.0361606497422,-1768.9184442996966,-1777.3554840812888,0.0048920168041386,4.795748310683375e-05,0.9913884651217955,5,True,252,8500,1,1,0 days 00:00:00.279020,crude_light,0.26779159004693054,0.23832613643153794
39,1984-01-08 23:00:00+00:00,-1764.4041885987795,-1750.2864722487338,-1758.723512030326,0.00503846708277285,5.1638978041536013e-05,0.998277665410513,5,True,252,8500,1,1,0 days 00:00:00.362363,crude_light,0.6454286889777369,0.6563985979188734
40,1984-01-15 23:00:00+00:00,-1757.7313405292812,-1743.6136241792356,-1752.0506639608277,0.0051228380027571515,5.3022742889153285e-05,0.9971499476588371,5,True,252,8500,1,1,0 days 00:00:00.341588,crude_light,0.09771342230270658,0.08102111813241869
41,1984-01-22 23:00:00+00:00,-1753.5836194996427,-1739.4659031495971,-1747.9029429311893,0.0051913547268398075,5.3904871579573214e-05,0.9985255121112594,5,True,252,8500,1,1,0 days 00:00:00.313123,crude_light,0.8575902509927605,0.8689582012063776
42,1984-01-29 23:00:00+00:00,-1739.5519051364463,-1725.4341887864007,-1733.8712285679928,0.005272787268582873,5.6990861912001564e-05,0.9938716021164702,5,True,252,8500,1,1,0 days 00:00:00.195969,crude_light,0.5644308123784567,0.5745853183641123
43,1984-02-05 23:00:00+00:00,-1734.7333753554713,-1720.6156590054256,-1729.0526987870178,0.0053663709791119075,5.8090058552540604e-05,0.9900422215006336,5,True,252,8500,1,1,0 days 00:00:00.232697,crude_light,0.4434034249360422,0.4605931634842134
44,1984-02-12 23:00:00+00:00,-1715.8292847908106,-1701.711568440765,-1710.148608222357,0.005567347390479553,6.261662551550942e-05,0.9915939962981919,5,True,252,8500,1,1,0 days 00:00:00.317601,crude_light,1.3119932409874413,1.3327945657270797
45,1984-02-20 23:00:00+00:00,-1712.7486083396948,-1698.6308919896492,-1707.0679317712413,0.0055875373003141755,6.338572294684589e-05,0.9920000325106234,5,True,252,8500,1,1,0 days 00:00:00.285192,crude_light,0.846735251264676,0.8478872820956602
46,1984-02-27 23:00:00+00:00,-1714.0586570325963,-1699.9409406825507,-1708.3779804641429,0.0055877145389922785,6.305706654725916e-05,0.990772706407266,5,True,252,8500,1,1,0 days 00:00:00.228435,crude_light,0.6215013031008496,0.6095498231732314
47,1984-03-05 23:00:00+00:00,-1703.2518849964677,-1689.134168646422,-1697.5712084280142,0.005758658925974118,6.581908083149102e-05,0.9892232216997624,5,True,252,8500,1,1,0 days 00:00:00.212767,crude_light,0.5011986524356893,0.4858421909577743
48,1984-03-12 23:00:00+00:00,-1700.2898492105119,-1686.1721328604663,-1694.6091726420584,0.005834140746175877,6.65992013302532e-05,0.9875508296795675,5,True,252,8500,1,1,0 days 00:00:00.273700,crude_light,0.4257872913788299,0.4089342960226518
49,1984-03-19 23:00:00+00:00,-1699.5077060615085,-1685.389989711463,-1693.827029493055,0.0058430127182324005,6.680458131932218e-05,0.9889884237965598,5,True,252,8500,1,1,0 days 00:00:00.274503,crude_light,0.45342495011046147,0.43701275719263794
50,1984-03-26 23:00:00+00:00,-1695.3981721541163,-1681.2804558040707,-1689.7174955856628,0.005912119306552838,6.790315424189618e-05,0.9904371887263188,5,True,252,8500,1,1,0 days 00:00:00.218563,crude_light,0.49981575499107395,0.47694417010848833
51,1984-04-02 23:00:00+00:00,-1691.8041099938432,-1677.6863936437976,-1686.1234334253897,0.005987708792676393,6.887816090788477e-05,0.9898931364692655,5,True,252,8500,1,1,0 days 00:00:00.190281,crude_light,0.49155935908031007,0.47304706667261864
52,1984-04-09 23:00:00+00:00,-1684.8146218487282,-1670.6969054986826,-1679.1339452802747,0.0061372161532391705,7.081533519227688e-05,0.990552073167172,5,True,252,8500,1,1,0 days 00:00:00.277003,crude_light,0.48627170811387305,0.46362174903476017
53,1984-04-16 23:00:00+00:00,-1665.8848019815641,-1651.7670856315185,-1660.2041254131107,0.006347747165963211,7.634109614236746e-05,0.9954352193562614,5,True,252,8500,1,1,0 days 00:00:00.221248,crude_light,0.5957014206015359,0.5768435140692286
54,1984-04-24 23:00:00+00:00,-1662.1364107328009,-1648.0186943827553,-1656.4557341643474,0.006426693626420213,7.748486863963046e-05,0.9950409853856305,5,True,252,8500,1,1,0 days 00:00:00.301033,crude_light,0.5316275786193728,0.5128673834454912
55,1984-05-01 22:00:00+00:00,-1660.992389444883,-1646.8746730948374,-1655.3117128764295,0.006445943351673591,7.783757722515237e-05,0.9954574103259763,5,True,252,8500,1,1,0 days 00:00:00.217843,crude_light,0.5528146039974575,0.5352889194666693
56,1984-05-08 22:00:00+00:00,-1655.9455890818954,-1641.8278727318498,-1650.264912513442,0.0065689605012085655,7.941304404652858e-05,0.997692171832909,5,True,252,8500,1,1,0 days 00:00:00.236290,crude_light,0.7363592489426153,0.7216310073533282
57,1984-05-15 22:00:00+00:00,-1645.9991888771601,-1631.8814725271145,-1640.3185123087067,0.006637361043630888,8.257830613180794e-05,0.9936545117241902,5,True,252,8500,1,1,0 days 00:00:00.243072,crude_light,0.045945455738632214,0.03090634705981133
58,1984-05-22 22:00:00+00:00,-1643.1482697694464,-1629.0305534194008,-1637.467593200993,0.006670633636520737,8.351110003558231e-05,0.9922003123948269,5,True,252,8500,1,1,0 days 00:00:00.320522,crude_light,0.046089036827643634,0.030491800707744036
