,asofdate,pointForecast,close,forecastday
0,1969-12-15 01:00:00+00:00,244.50443177748585,246.875,1
1,1969-12-16 01:00:00+00:00,244.5023287532975,247.125,2
2,1969-12-17 01:00:00+00:00,244.50327047301766,247.625,3
3,1969-12-18 01:00:00+00:00,244.5028487759752,252.625,4
4,1969-12-19 01:00:00+00:00,244.50303760935955,253.125,5
5,1969-12-22 01:00:00+00:00,246.88514856398388,250.875,1
6,1969-12-23 01:00:00+00:00,246.88212919612735,251.0,2
7,1969-12-24 01:00:00+00:00,246.8825346454667,252.25,3
8,1969-12-29 01:00:00+00:00,246.88248020024454,253.0,4
9,1969-12-30 01:00:00+00:00,246.88248751134248,251.75,5
10,1970-01-05 01:00:00+00:00,250.80420601785477,251.25,1
11,1970-01-06 01:00:00+00:00,250.80951856990706,252.0,2
12,1970-01-07 01:00:00+00:00,250.81451692486178,253.25,3
13,1970-01-08 01:00:00+00:00,250.81921965937158,253.75,4
14,1970-01-09 01:00:00+00:00,250.82364425241593,253.375,5
15,1970-01-12 01:00:00+00:00,251.26827150440724,254.5,1
16,1970-01-13 01:00:00+00:00,251.27170842165157,254.125,2
17,1970-01-14 01:00:00+00:00,251.26842508613498,254.375,3
18,1970-01-15 01:00:00+00:00,251.27156170098664,254.75,4
19,1970-01-16 01:00:00+00:00,251.26856524866116,255.375,5
20,1970-01-19 01:00:00+00:00,254.58947698093766,256.0,1
21,1970-01-20 01:00:00+00:00,254.50280098875362,253.25,2
22,1970-01-21 01:00:00+00:00,254.54295302452041,254.75,3
23,1970-01-22 01:00:00+00:00,254.52435039274616,255.0,4
24,1970-01-23 01:00:00+00:00,254.53296854786103,254.75,5
25,1970-01-26 01:00:00+00:00,256.0355047614167,253.125,1
26,1970-01-27 01:00:00+00:00,256.0552491890493,253.75,2
27,1970-01-28 01:00:00+00:00,256.03996969114587,253.625,3
28,1970-01-29 01:00:00+00:00,256.05179375865725,253.125,4
29,1970-01-30 01:00:00+00:00,256.0426435727815,254.125,5
30,1970-02-02 01:00:00+00:00,253.21407850537074,255.25,1
31,1970-02-03 01:00:00+00:00,253.17767726890682,254.75,2
32,1970-02-04 01:00:00+00:00,253.1641170511061,255.125,3
33,1970-02-05 01:00:00+00:00,253.1590652751662,255.25,4
34,1970-02-06 01:00:00+00:00,253.15718322362952,255.375,5
35,1970-02-09 01:00:00+00:00,255.23809616516496,254.875,1
36,1970-02-10 01:00:00+00:00,255.26974792826107,254.0,2
37,1970-02-11 01:00:00+00:00,255.2813957333813,254.5,3
38,1970-02-12 01:00:00+00:00,255.2856818798184,254.5,4
39,1970-02-13 01:00:00+00:00,255.28725906013045,254.0,5
40,1970-02-16 01:00:00+00:00,254.93275329882576,258.875,1
41,1970-02-17 01:00:00+00:00,254.9198600218049,259.25,2
42,1970-02-18 01:00:00+00:00,254.9158190615831,261.625,3
43,1970-02-19 01:00:00+00:00,254.91455253082697,260.875,4
44,1970-02-20 01:00:00+00:00,254.9141555678445,261.5,5
45,1970-02-24 01:00:00+00:00,258.70203248163796,262.875,1
46,1970-02-25 01:00:00+00:00,258.84900199471656,262.75,2
47,1970-02-26 01:00:00+00:00,258.90176540124185,261.5,3
48,1970-02-27 01:00:00+00:00,258.9207032637308,261.0,4
49,1970-03-02 01:00:00+00:00,258.9274998452887,261.625,5
50,1970-03-03 01:00:00+00:00,262.90901161248644,262.375,1
51,1970-03-04 01:00:00+00:00,262.9464960823646,259.5,2
52,1970-03-05 01:00:00+00:00,262.95454043015843,260.5,3
53,1970-03-06 01:00:00+00:00,262.95626666855594,260.125,4
