,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ar.L2.close,ma.L1.close
0,1970-01-05 01:00:00+00:00,-1582.4954845912066,-1564.8483391536495,-1575.3946388806396,0.006728986990103618,0.00010542623674067981,0.9551888310596834,5,True,252,13000,2,1,0 days 00:00:00.278753,corn,0.32313932588903305,0.07453101553144792,0.3226453174880291
1,1970-01-12 01:00:00+00:00,-1581.9818551042476,-1564.3347096666905,-1574.8810093936806,0.00675247831348351,0.0001056431889202247,0.955466463483332,5,True,252,13000,2,1,0 days 00:00:00.259005,corn,0.33088053034146636,0.07521601250611364,0.3305452814528053
2,1970-01-19 01:00:00+00:00,-1581.3473184019408,-1563.7001729643837,-1574.2464726913738,0.0067835147592824295,0.00010591018779329814,0.9559346994505352,5,True,252,13000,2,1,0 days 00:00:00.209643,corn,0.33962783578355676,0.07594134778308573,0.33938984813034684
3,1970-01-26 01:00:00+00:00,-1580.328202880874,-1562.6810574433168,-1573.227357170307,0.006802491487147108,0.00010633993607903774,0.9546431642731041,5,True,252,13000,2,1,0 days 00:00:00.311098,corn,0.33459601502632647,0.07649648117084391,0.33428635156119035
4,1970-02-02 01:00:00+00:00,-1579.7007434048846,-1562.0535979673275,-1572.5998976943176,0.006842818242442922,0.00010660752073172333,0.9536888020779767,5,True,252,13000,2,1,0 days 00:00:00.300278,corn,0.32032762047492447,0.07470611293031135,0.3200944193525478
5,1970-02-09 01:00:00+00:00,-1579.3864034129392,-1561.739257975382,-1572.2855577023722,0.0068573340156731,0.00010673228604887815,0.9520885765175672,5,True,252,13000,2,1,0 days 00:00:00.298240,corn,0.3213427635091554,0.07544227527922338,0.32132116195507693
6,1970-02-16 01:00:00+00:00,-1578.7965961668424,-1561.1494507292853,-1571.6957504562754,0.006878110295141983,0.00010699567522319572,0.9534947066705227,5,True,252,13000,2,1,0 days 00:00:00.250894,corn,0.31919319863968565,0.07417686175634457,0.3192025073989112
7,1970-02-24 01:00:00+00:00,-1578.83223099712,-1561.1850855595628,-1571.731385286553,0.006877673044210899,0.00010697152441141069,0.9552497301168644,5,True,252,13000,2,1,0 days 00:00:00.349286,corn,0.3229638187703399,0.07355107782386539,0.3229263491554026
8,1970-03-03 01:00:00+00:00,-1577.3886122217314,-1559.7414667841742,-1570.2877665111644,0.006891014266968824,0.00010759370069991569,0.9559689326024812,5,True,252,13000,2,1,0 days 00:00:00.230685,corn,0.31383341383864816,0.07269632104620465,0.31347941308018
9,1970-03-10 01:00:00+00:00,-1577.000642595458,-1559.3534971579008,-1569.899796884891,0.006886508321892888,0.00010774973186538024,0.9559342160767644,5,True,252,13000,2,1,0 days 00:00:00.281717,corn,0.3281689031762321,0.07345205022615997,0.32815985524164965
10,1970-03-17 01:00:00+00:00,-1573.2289207922681,-1555.581775354711,-1566.1280750817011,0.006977548481707988,0.00010937785745368646,0.9565206846337377,5,True,252,13000,2,1,0 days 00:00:00.240324,corn,0.32847496646869695,0.07380794511334528,0.3284657645877914
11,1970-03-24 01:00:00+00:00,-1571.9992838980552,-1554.352138460498,-1564.8984381874882,0.007043736534483524,0.00010990992123120504,0.9571955599513434,5,True,252,13000,2,1,0 days 00:00:00.229052,corn,0.3215929085403696,0.07159075203576919,0.32182492031165116
12,1970-04-01 01:00:00+00:00,-1570.9754474006022,-1553.328301963045,-1563.8746016900352,0.0070868729334322466,0.00011036133227155113,0.9569183096167058,5,True,252,13000,2,1,0 days 00:00:00.252048,corn,0.31768097323734523,0.07111599884431305,0.3178391606286282
13,1970-04-08 01:00:00+00:00,-1571.2077997592182,-1553.560654321661,-1564.1069540486512,0.007064678382187665,0.00011025489325712837,0.9558210601488671,5,True,252,13000,2,1,0 days 00:00:00.212164,corn,0.3195680308933948,0.07145527328946817,0.3199398401691566
14,1970-04-15 01:00:00+00:00,-1569.8695831086147,-1552.2224376710576,-1562.7687373980477,0.007083707757402075,0.00011084065430584329,0.9545602038572581,5,True,252,13000,2,1,0 days 00:00:00.345047,corn,0.31052877639633075,0.07110046944073688,0.31080735808578885
15,1970-04-22 01:00:00+00:00,-1567.6759153418257,-1550.0287699042685,-1560.5750696312587,0.007123282615532268,0.00011183061440136813,0.9557544191401816,5,True,252,13000,2,1,0 days 00:00:00.269997,corn,0.2990470484289026,0.07012615130671765,0.29886056591220717
16,1970-04-29 00:00:00+00:00,-1562.8762516808242,-1545.229106243267,-1555.7754059702572,0.0072097996118649504,0.0001139624046988765,0.9583342865157595,5,True,252,13000,2,1,0 days 00:00:00.207003,corn,0.30687378358497475,0.06865658257575825,0.3070989600599666
17,1970-05-06 00:00:00+00:00,-1558.374131237039,-1540.7269857994818,-1551.273285526472,0.007351750198594647,0.00011601817961160449,0.9612554409149912,5,True,252,13000,2,1,0 days 00:00:00.307650,corn,0.3224533199500841,0.06923807601568394,0.3226015953525154
18,1970-05-13 00:00:00+00:00,-1557.1804366427605,-1539.5332912052033,-1550.0795909321935,0.007403532344794196,0.00011657351856576677,0.9623189132892821,5,True,252,13000,2,1,0 days 00:00:00.226000,corn,0.3363520813824152,0.07007065425831621,0.33641549141899774
19,1970-05-20 00:00:00+00:00,-1556.2181745226235,-1538.5710290850664,-1549.1173288120565,0.00745590620743874,0.0001170218512779689,0.9628341863849141,5,True,252,13000,2,1,0 days 00:00:00.351002,corn,0.3405031074394452,0.07021577240841674,0.340629603022727
20,1970-05-27 00:00:00+00:00,-1555.055917204394,-1537.408771766837,-1547.955071493827,0.007498377673793257,0.00011755526773788637,0.9608344453632873,5,True,252,13000,2,1,0 days 00:00:00.277143,corn,0.3303105998941014,0.0697661080193575,0.33053477453585983
21,1970-06-04 00:00:00+00:00,-1553.0479983009218,-1535.4008528633647,-1545.9471525903548,0.007579477740776165,0.00011849723122101568,0.9608863816036036,5,True,252,13000,2,1,0 days 00:00:00.235369,corn,0.3325208169271159,0.06983011069212773,0.3329224490682135
22,1970-06-11 00:00:00+00:00,-1540.0276951419373,-1522.3805497043802,-1532.9268494313703,0.0077954684596176355,0.0001247828458818524,0.9668432485220138,5,True,252,13000,2,1,0 days 00:00:00.278016,corn,0.36200497714162716,0.06863262528831973,0.3627114915864313
23,1970-06-18 00:00:00+00:00,-1534.7294568713482,-1517.0823114337911,-1527.6286111607812,0.007921402381252825,0.00012743862694294784,0.9700496005365941,5,True,252,13000,2,1,0 days 00:00:00.261999,corn,0.4551939080658361,0.07256211630883176,0.4564902549740055
24,1970-06-25 00:00:00+00:00,-1528.961809326987,-1511.3146638894298,-1521.86096361642,0.008024044899287359,0.00013039035115080557,0.9682126195921466,5,True,252,13000,2,1,0 days 00:00:00.215185,corn,0.4924121622905074,0.08039253214584259,0.49417417641265887
25,1970-07-02 00:00:00+00:00,-1526.8625889387363,-1509.2154435011792,-1519.7617432281693,0.00807287803371963,0.00013151254581172212,0.9670956045897439,5,True,252,13000,2,1,0 days 00:00:00.211008,corn,0.5007057753031935,0.08111612784466074,0.5035881348632143
26,1970-07-10 00:00:00+00:00,-1521.484625026008,-1503.8374795884508,-1514.383779315441,0.00824836769961914,0.00013433676534337498,0.9678398930706505,5,True,252,13000,2,1,0 days 00:00:00.267261,corn,0.7226362805447437,0.06541942024118684,0.7360528570785303
27,1970-07-17 00:00:00+00:00,-1516.1492224672293,-1498.5020770296721,-1509.0483767566623,0.008313011518283637,0.00013720080205936066,0.9690848563666566,5,True,252,13000,2,1,0 days 00:00:00.288260,corn,0.5471554684789832,0.07116620725170918,0.5526709250234124
28,1970-07-24 00:00:00+00:00,-1512.3694323387754,-1494.7222869012182,-1505.2685866282084,0.008416033566515272,0.00013931554325291652,0.9701101062213424,5,True,252,13000,2,1,0 days 00:00:00.265304,corn,0.44359519560116345,0.06636440695844625,0.4475829151888674
29,1970-07-31 00:00:00+00:00,-1509.8426611253021,-1492.195515687745,-1502.7418154147351,0.008520878641133458,0.0001406523458588479,0.961909915545323,5,True,252,13000,2,1,0 days 00:00:00.354646,corn,0.1661387185616456,0.0657352340438974,0.15912756032769654
30,1970-08-07 00:00:00+00:00,-1503.3363626677392,-1485.689217230182,-1496.2355169571722,0.008658641384790628,0.0001445575538906557,0.9637593975050951,5,True,252,13000,2,1,0 days 00:00:00.304686,corn,0.12576470106586174,0.06630190121282993,0.11450069823432703
31,1970-08-14 00:00:00+00:00,-1513.4684781264696,-1495.8213326889124,-1506.3676324159026,0.008349468113610665,0.00013915165874685381,0.9679630497344215,5,True,252,13000,2,1,0 days 00:00:00.321791,corn,0.17378467538982062,0.07715821495473721,0.16068382300979875
32,1970-08-21 00:00:00+00:00,-1562.3859045191875,-1544.7387590816304,-1555.2850588086205,0.007922027138657499,0.00011422552406651672,0.9788399165224301,5,True,252,13000,2,1,0 days 00:00:00.265527,corn,0.19649234508996333,0.07260376120067491,0.18680137405412955
33,1970-08-28 00:00:00+00:00,-1566.8389586585422,-1549.191813220985,-1559.7381129479752,0.007858804390076133,0.00011222368717496076,0.9839202359445576,5,True,252,13000,2,1,0 days 00:00:00.259096,corn,0.24058601670761534,0.07269502942185492,0.23346783785361122
34,1970-09-04 00:00:00+00:00,-1568.145188660561,-1550.4980432230038,-1561.044342949994,0.007872745746199287,0.00011163138678594728,0.9921071798687375,5,True,252,13000,2,1,0 days 00:00:00.355138,corn,0.26615573148123417,0.06950839215070041,0.2604669293337925
35,1970-09-14 00:00:00+00:00,-1576.163105394874,-1558.515959957317,-1569.062259684307,0.007764797015158035,0.00010817703463346894,0.9899571136453715,5,True,252,13000,2,1,0 days 00:00:00.283281,corn,0.10690159985186139,0.06472778078354989,0.08844812762761452
36,1970-09-21 00:00:00+00:00,-1593.5410907983005,-1575.8939453607434,-1586.4402450877335,0.007603562947335562,0.00010094848430774256,0.9898912269660458,5,True,252,13000,2,1,0 days 00:00:00.279236,corn,0.10134530626249927,0.06695758660070017,0.07865132418945794
37,1970-09-28 00:00:00+00:00,-1602.0761073806739,-1584.4289619431167,-1594.9752616701069,0.00749854606411422,9.756281845147413e-05,0.9896954905067855,5,True,252,13000,2,1,0 days 00:00:00.325908,corn,0.09960497415375634,0.06569512468122521,0.07729555952090299
38,1970-10-05 00:00:00+00:00,-1607.267292480084,-1589.620147042527,-1600.166446769517,0.007381150468581771,9.557597539882091e-05,0.989064861937198,5,True,252,13000,2,1,0 days 00:00:00.341057,corn,0.10203661514547196,0.06586293965459968,0.08071815549252659
39,1970-10-12 00:00:00+00:00,-1607.2569023071978,-1589.6097568696407,-1600.1560565966308,0.007394675412396517,9.56064215326867e-05,0.9885015054904666,5,True,252,13000,2,1,0 days 00:00:00.270941,corn,0.11102398942195617,0.06712783966034189,0.0918092506132492
40,1970-10-19 00:00:00+00:00,-1615.2637954420675,-1597.6166500045103,-1608.1629497315005,0.007295398442056948,9.263078859462497e-05,0.9835720317846613,5,True,252,13000,2,1,0 days 00:00:00.296514,corn,0.10370408095029714,0.0678095618689292,0.08213174858391181
41,1970-10-26 01:00:00+00:00,-1620.2100038935337,-1602.5628584559765,-1613.1091581829667,0.0072952048169278964,9.080229213878433e-05,0.9852827725904717,5,True,252,13000,2,1,0 days 00:00:00.301280,corn,0.11177658892353591,0.06744218679111579,0.09238780330001911
42,1970-11-02 01:00:00+00:00,-1625.558819082843,-1607.9116736452859,-1618.457973372276,0.0071546493928747535,8.888886073542973e-05,0.9935859640091474,5,True,252,13000,2,1,0 days 00:00:00.265214,corn,0.2076431105358129,0.06340614412079484,0.19967813391918965
43,1970-11-10 01:00:00+00:00,-1633.3431514097092,-1615.696005972152,-1626.2423056991422,0.007029870047544421,8.616489696094153e-05,0.9817151081339177,5,True,252,13000,2,1,0 days 00:00:00.312327,corn,0.11880578064588862,0.06834153170562171,0.10141383836930762
44,1970-11-17 01:00:00+00:00,-1635.8494880289545,-1618.2023425913974,-1628.7486423183875,0.007016161272132415,8.531152324302539e-05,0.9805986769627715,5,True,252,13000,2,1,0 days 00:00:00.309395,corn,0.10690541328493228,0.06746068922359402,0.0869642439328418
45,1970-11-24 01:00:00+00:00,-1635.5162416696849,-1617.8690962321277,-1628.4153959591179,0.0070374730610572285,8.544635398649987e-05,0.9799122996359498,5,True,252,13000,2,1,0 days 00:00:00.389626,corn,0.09937584581990486,0.06735706455886348,0.07716235743936205
46,1970-12-02 01:00:00+00:00,-1638.6846550706396,-1621.0375096330824,-1631.5838093600726,0.006958760247101321,8.4407246690468e-05,0.9831429196595538,5,True,252,13000,2,1,0 days 00:00:00.416425,corn,0.09846551912800562,0.0669783467850424,0.07575999546695207
47,1970-12-09 01:00:00+00:00,-1623.2603891788908,-1605.6132437413337,-1616.1595434683238,0.0070844685555411825,8.96974074911458e-05,0.9911621416678035,5,True,252,13000,2,1,0 days 00:00:00.293793,corn,0.39298588676430773,0.06681777778567317,0.3894392956685524
48,1970-12-16 01:00:00+00:00,-1623.8913999695383,-1606.2442545319811,-1616.7905542589713,0.007059296342218523,8.947120480138796e-05,0.9909536064299025,5,True,252,13000,2,1,0 days 00:00:00.325559,corn,0.3716691869010321,0.06697554924458883,0.36743161489138065
49,1970-12-23 01:00:00+00:00,-1628.4335426788934,-1610.7863972413363,-1621.3326969683264,0.006992780999801152,8.788144719000496e-05,0.9874590945760997,5,True,252,13000,2,1,0 days 00:00:00.238008,corn,0.5674155162551044,0.08999661563376628,0.5638234833334097
50,1970-12-31 01:00:00+00:00,-1631.0031244493284,-1613.3559790117713,-1623.9022787387614,0.006944364785858617,8.698332976648977e-05,0.987004139545717,5,True,252,13000,2,1,0 days 00:00:00.247299,corn,0.5571707967785925,0.08982421751391399,0.5535698722905419
