,asofdate,pointForecast,close,forecastday,product_name
0,2008-10-01 22:00:00+00:00,117.74486534468022,117.0,1,nonfat_dry_milk
1,2008-10-02 22:00:00+00:00,117.74623155084956,117.0,2,nonfat_dry_milk
2,2008-10-05 22:00:00+00:00,117.74622422710621,114.25,3,nonfat_dry_milk
3,2008-10-06 22:00:00+00:00,117.74622426636594,112.0,4,nonfat_dry_milk
4,2008-10-07 22:00:00+00:00,117.7462242661555,112.0,5,nonfat_dry_milk
5,2008-10-08 22:00:00+00:00,111.7359487551526,112.0,1,nonfat_dry_milk
6,2008-10-09 22:00:00+00:00,111.73599647825169,112.0,2,nonfat_dry_milk
7,2008-10-12 22:00:00+00:00,111.73599646961631,112.0,3,nonfat_dry_milk
8,2008-10-13 22:00:00+00:00,111.73599646961786,112.0,4,nonfat_dry_milk
9,2008-10-14 22:00:00+00:00,111.73599646961786,112.0,5,nonfat_dry_milk
10,2008-10-15 22:00:00+00:00,111.74523104005729,110.0,1,nonfat_dry_milk
11,2008-10-16 22:00:00+00:00,111.74482875647136,110.0,2,nonfat_dry_milk
12,2008-10-19 22:00:00+00:00,111.74482812053638,110.0,3,nonfat_dry_milk
13,2008-10-20 22:00:00+00:00,111.74482811953109,110.0,4,nonfat_dry_milk
14,2008-10-21 22:00:00+00:00,111.7448281195295,110.0,5,nonfat_dry_milk
15,2008-10-22 22:00:00+00:00,109.73921524162414,110.0,1,nonfat_dry_milk
16,2008-10-23 22:00:00+00:00,109.73934661495177,110.0,2,nonfat_dry_milk
17,2008-10-26 22:00:00+00:00,109.73934654869234,110.0,3,nonfat_dry_milk
18,2008-10-27 22:00:00+00:00,109.73934654872576,99.775,4,nonfat_dry_milk
19,2008-10-28 22:00:00+00:00,109.73934654872573,99.775,5,nonfat_dry_milk
20,2008-10-29 22:00:00+00:00,99.48893965038945,99.775,1,nonfat_dry_milk
21,2008-10-30 22:00:00+00:00,99.49224118332354,97.5,2,nonfat_dry_milk
22,2008-11-02 23:00:00+00:00,99.4922030243103,97.5,3,nonfat_dry_milk
23,2008-11-03 23:00:00+00:00,99.49220346534366,96.0,4,nonfat_dry_milk
24,2008-11-04 23:00:00+00:00,99.49220346024629,95.0,5,nonfat_dry_milk
25,2008-11-05 23:00:00+00:00,94.71681729124784,94.0,1,nonfat_dry_milk
26,2008-11-06 23:00:00+00:00,94.70967850180438,93.0,2,nonfat_dry_milk
27,2008-11-09 23:00:00+00:00,94.70975037611467,91.5,3,nonfat_dry_milk
28,2008-11-10 23:00:00+00:00,94.709749652447,91.5,4,nonfat_dry_milk
29,2008-11-11 23:00:00+00:00,94.70974965973325,91.5,5,nonfat_dry_milk
30,2008-11-12 23:00:00+00:00,91.22054209696877,91.0,1,nonfat_dry_milk
31,2008-11-13 23:00:00+00:00,91.22197402098936,90.0,2,nonfat_dry_milk
32,2008-11-16 23:00:00+00:00,91.22196667267161,90.0,3,nonfat_dry_milk
33,2008-11-17 23:00:00+00:00,91.22196671038127,89.0,4,nonfat_dry_milk
34,2008-11-18 23:00:00+00:00,91.22196671018774,89.0,5,nonfat_dry_milk
35,2008-11-19 23:00:00+00:00,88.71779792709998,89.0,1,nonfat_dry_milk
36,2008-11-20 23:00:00+00:00,88.7198191668454,89.0,2,nonfat_dry_milk
37,2008-11-23 23:00:00+00:00,88.71980466693785,88.5,3,nonfat_dry_milk
38,2008-11-24 23:00:00+00:00,88.71980477095566,88.5,4,nonfat_dry_milk
