,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ma.L1.close,ma.L2.close
0,1970-01-05 01:00:00+00:00,-1583.5144948358961,-1565.867349398339,-1576.4136491253291,0.006770501620378883,0.00010499287063824573,0.9512624226664569,5,True,252,13000,1,2,0 days 00:00:00.427185,corn,0.2510519819637321,0.24303719481238759,0.07753534414131663
1,1970-01-12 01:00:00+00:00,-1582.9106791511617,-1565.2635337136046,-1575.8098334405947,0.00679551438226443,0.00010524731669045124,0.9518860846322302,5,True,252,13000,1,2,0 days 00:00:00.520826,corn,0.2586115748790185,0.25090367229037513,0.0774420796422117
2,1970-01-19 01:00:00+00:00,-1582.184824446575,-1564.537679009018,-1575.083978736008,0.0068285041019026955,0.0001055524553740587,0.9527058426257623,5,True,252,13000,1,2,0 days 00:00:00.650410,corn,0.26779246898069575,0.26032356601643236,0.07758902439812053
3,1970-01-26 01:00:00+00:00,-1581.1976127543517,-1563.5504673167945,-1574.0967670437847,0.00684785326308708,0.00010596748535136111,0.9512995705648968,5,True,252,13000,1,2,0 days 00:00:00.333521,corn,0.2654993635904578,0.25792401404532983,0.07789995367229574
4,1970-02-02 01:00:00+00:00,-1580.6733795227483,-1563.0262340851912,-1573.5725338121813,0.006885996207641521,0.00010619061551528896,0.9499592543527098,5,True,252,13000,1,2,0 days 00:00:00.305777,corn,0.25738351345064875,0.24957575583950317,0.07668970169001738
5,1970-02-09 01:00:00+00:00,-1580.3198003824123,-1562.6726549448551,-1573.2189546718453,0.006901241688571521,0.00010633027710569239,0.9485025189464795,5,True,252,13000,1,2,0 days 00:00:00.253905,corn,0.25839993860710647,0.25060657890566573,0.07707229278446016
6,1970-02-16 01:00:00+00:00,-1579.7669560586628,-1562.1198106211057,-1572.6661103480958,0.0069198377008666745,0.00010658119700242674,0.9498010733651668,5,True,252,13000,1,2,0 days 00:00:00.388964,corn,0.2567306400708095,0.248916418718587,0.07626434294625474
7,1970-02-24 01:00:00+00:00,-1579.7762071034917,-1562.1290616659346,-1572.6753613929247,0.006920882103219033,0.00010656508226436145,0.9516202244758709,5,True,252,13000,1,2,0 days 00:00:00.329299,corn,0.2598842455166064,0.25209652623535506,0.07591746272054108
8,1970-03-03 01:00:00+00:00,-1578.479568135705,-1560.8324226981479,-1571.378722425138,0.006936099305667045,0.00010712546624683324,0.9518086742657096,5,True,252,13000,1,2,0 days 00:00:00.351018,corn,0.24945391806746126,0.24142776106096256,0.07618044623152095
9,1970-03-10 01:00:00+00:00,-1577.9346195755484,-1560.2874741379912,-1570.8337738649814,0.006933585127460098,0.0001073433933555129,0.9523292615384353,5,True,252,13000,1,2,0 days 00:00:00.256677,corn,0.2609705269707426,0.25337335528589877,0.07573885021743366
10,1970-03-17 01:00:00+00:00,-1574.171636837369,-1556.524491399812,-1567.070791126802,0.007023709068580982,0.00010896286734358802,0.9528915531672005,5,True,252,13000,1,2,0 days 00:00:00.469065,corn,0.26080069046666615,0.25311687860569904,0.07581935848834839
11,1970-03-24 01:00:00+00:00,-1572.9824100544515,-1555.3352646168944,-1565.8815643438845,0.00708717292675892,0.00010947392682034198,0.9533985240735373,5,True,252,13000,1,2,0 days 00:00:00.278603,corn,0.25648180685146804,0.24876386514850135,0.0742938267228272
12,1970-04-01 01:00:00+00:00,-1572.0193130331154,-1554.3721675955583,-1564.9184673225484,0.007130545843053189,0.00010989783767437119,0.9528994521299314,5,True,252,13000,1,2,0 days 00:00:00.310236,corn,0.25112667180371084,0.24312136329216616,0.0739619404990918
13,1970-04-08 01:00:00+00:00,-1572.2166511449846,-1554.5695057074274,-1565.1158054344176,0.007109147907004414,0.00010980639885681036,0.9519329751803111,5,True,252,13000,1,2,0 days 00:00:00.331146,corn,0.2533255072387475,0.24548153259245553,0.07392807642425178
14,1970-04-15 01:00:00+00:00,-1571.004696994556,-1553.357551556999,-1563.903851283989,0.007127354491397017,0.00011033297539104587,0.9501880708033892,5,True,252,13000,1,2,0 days 00:00:00.237306,corn,0.2435100054172637,0.23532142016056143,0.07392390794899201
15,1970-04-22 01:00:00+00:00,-1569.017516641004,-1551.370371203447,-1561.916670930437,0.007170161727963243,0.0001112373552130979,0.9506841609294044,5,True,252,13000,1,2,0 days 00:00:00.422036,corn,0.23140036103071077,0.22275613698966526,0.07453520502237856
16,1970-04-29 00:00:00+00:00,-1564.1281480888865,-1546.4810026513294,-1557.0273023783195,0.007248354994004211,0.00011338736317423566,0.9534986390872084,5,True,252,13000,1,2,0 days 00:00:00.283971,corn,0.2361024185656213,0.22763762069711982,0.07287409212472838
17,1970-05-06 00:00:00+00:00,-1559.538746252646,-1541.8916008150889,-1552.437900542079,0.007388048137282296,0.00011547298514088686,0.9567382940929281,5,True,252,13000,1,2,0 days 00:00:00.282919,corn,0.24112219533448903,0.23300217451028074,0.07390360880785285
18,1970-05-13 00:00:00+00:00,-1558.1841508810626,-1540.5370054435054,-1551.0833051704956,0.007436534434652722,0.00011610329328262306,0.9584371853544706,5,True,252,13000,1,2,0 days 00:00:00.314780,corn,0.2548901253766919,0.24702653979049355,0.07370746189473504
19,1970-05-20 00:00:00+00:00,-1557.2209561242366,-1539.5738106866795,-1550.1201104136696,0.007487966578458372,0.00011655048430267121,0.9589558659413979,5,True,252,13000,1,2,0 days 00:00:00.286049,corn,0.2543094080023011,0.24650954170878273,0.07396907023120713
20,1970-05-27 00:00:00+00:00,-1556.123181664209,-1538.4760362266518,-1549.022335953642,0.0075285030244106686,0.0001170487855904179,0.9566947287634804,5,True,252,13000,1,2,0 days 00:00:00.332140,corn,0.24688175197112364,0.23870931712715948,0.07350334764497422
21,1970-06-04 00:00:00+00:00,-1554.1392735056106,-1536.4921280680535,-1547.0384277950436,0.0076095377741182526,0.00011797594992674572,0.9566593453134944,5,True,252,13000,1,2,0 days 00:00:00.316169,corn,0.2453429109713101,0.23718291024936652,0.07367249890936937
22,1970-06-11 00:00:00+00:00,-1540.7902004071893,-1523.1430549696322,-1533.6893546966223,0.007816760795401001,0.00012439841376074974,0.9638645890902917,5,True,252,13000,1,2,0 days 00:00:00.287012,corn,0.27908999894589676,0.27198251439258475,0.072803709637557
23,1970-06-18 00:00:00+00:00,-1535.051890939858,-1517.4047455023008,-1527.951045229291,0.007934202789262086,0.000127272749430602,0.9687869581302133,5,True,252,13000,1,2,0 days 00:00:00.325279,corn,0.36980422984251593,0.3645119772278511,0.07232829540020551
24,1970-06-25 00:00:00+00:00,-1529.1475008242837,-1511.5003553867266,-1522.0466551137167,0.00803617335412916,0.00013029292506401698,0.9674891828817331,5,True,252,13000,1,2,0 days 00:00:00.334987,corn,0.4080256509400528,0.40329153845839644,0.07721370002015347
