,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close
0,2012-06-01 13:30:00+00:00,-651.8345409470847,-641.2462536845504,-647.5740335207446,0.04340721535433129,0.004303064772050298,5,True,252,1500,1,0,0 days 00:00:00.147913,civ,0.06178004682582477
1,2012-06-08 13:30:00+00:00,-650.4992715010188,-639.9109842384845,-646.2387640746787,0.04358378566714368,0.004325762914132054,5,True,252,1500,1,0,0 days 00:00:00.112999,civ,0.06183472658413941
2,2012-06-15 13:30:00+00:00,-649.1211265482569,-638.5328392857226,-644.8606191219168,0.043910008318015586,0.004349457876229637,5,True,252,1500,1,0,0 days 00:00:00.101000,civ,0.06283687260147841
3,2012-06-22 13:30:00+00:00,-645.2442018194421,-634.6559145569078,-640.9836943931019,0.044178251624184324,0.004417887915757705,5,True,252,1500,1,0,0 days 00:00:00.135997,civ,0.062276414404976436
4,2012-06-29 13:30:00+00:00,-657.0935809833442,-646.5052937208098,-652.833073557004,0.04206628501490806,0.004217271460812756,5,True,252,1500,1,0,0 days 00:00:00.121003,civ,0.06773309448720043
5,2012-07-09 13:30:00+00:00,-645.2589675930568,-634.6706803305225,-640.9984601667167,0.043621862199254804,0.004416919010014586,5,True,252,1500,1,0,0 days 00:00:00.115004,civ,0.06237595856986854
6,2012-07-16 13:30:00+00:00,-646.7093532361217,-636.1210659735874,-642.4488458097816,0.043426249693867366,0.0043920916142849015,5,True,252,1500,1,0,0 days 00:00:00.159999,civ,0.06256941907207957
7,2012-07-23 13:30:00+00:00,-647.4509056333792,-636.8626183708449,-643.190398207039,0.04318452800362246,0.004378644443077641,5,True,252,1500,1,0,0 days 00:00:00.088000,civ,0.06222953125207206
8,2012-07-30 13:30:00+00:00,-647.8322214901913,-637.243934227657,-643.5717140638511,0.04311897535335193,0.004372077655692068,5,True,252,1500,1,0,0 days 00:00:00.097000,civ,0.06227269237398013
9,2012-08-06 13:30:00+00:00,-649.4404167212566,-638.8521294587223,-645.1799092949165,0.04271662682971863,0.00434444067044553,5,True,252,1500,1,0,0 days 00:00:00.106007,civ,0.06235833251051762
