asofdate,time,pointForecast,close,forecastday,product_name,MA_50,MA_diff_50
2005-04-04 21:46:00+00:00,2005-04-04 21:46:00+00:00,15.001974455333055,14.88,5,vix,13.0448,0.0132000000000012
2005-04-11 21:46:00+00:00,2005-04-11 21:46:00+00:00,14.865993843801467,13.61,5,vix,13.0654,0.0012000000000025
2005-04-18 21:46:00+00:00,2005-04-18 21:46:00+00:00,13.59291057008283,15.01,5,vix,13.3296,0.0706000000000024
2005-04-25 21:46:00+00:00,2005-04-25 21:46:00+00:00,14.996420961724306,14.76,5,vix,13.6526,0.0678
2005-05-02 21:46:00+00:00,2005-05-02 21:46:00+00:00,14.751263158610229,14.84,5,vix,13.9756,0.0557999999999996
2005-05-09 21:46:00+00:00,2005-05-09 21:46:00+00:00,14.82975524792619,14.42,5,vix,14.1674,0.0476000000000027
2005-05-16 21:46:00+00:00,2005-05-16 21:46:00+00:00,14.403242678465595,14.97,5,vix,14.4544,0.0553999999999987
2005-05-23 21:46:00+00:00,2005-05-23 21:46:00+00:00,14.954698220170693,13.48,5,vix,14.5778,0.0155999999999991
2005-05-31 21:46:00+00:00,2005-05-31 21:46:00+00:00,13.462509782757111,13.01,5,vix,14.4914,-0.0248000000000008
2005-06-07 21:46:00+00:00,2005-06-07 21:46:00+00:00,12.994448677871343,12.25,5,vix,14.2778,-0.0554000000000005
2005-06-14 21:46:00+00:00,2005-06-14 21:46:00+00:00,12.236447317430972,13.95,5,vix,14.078,-0.018600000000001
2005-06-21 21:46:00+00:00,2005-06-21 21:46:00+00:00,13.938745844384757,13.88,5,vix,14.068,0.0053999999999998
2005-06-28 21:46:00+00:00,2005-06-28 21:46:00+00:00,13.87285991844558,14.05,5,vix,13.968,-0.0191999999999996
2005-07-06 21:46:00+00:00,2005-07-06 21:46:00+00:00,14.044872435116329,14.06,5,vix,13.8844,-0.0139999999999975
2005-07-13 21:46:00+00:00,2005-07-13 21:46:00+00:00,14.05300984702058,13.01,5,vix,13.71,-0.0365999999999999
2005-07-20 21:46:00+00:00,2005-07-20 21:46:00+00:00,12.990928188140805,12.45,5,vix,13.5598,-0.0394000000000005
2005-07-27 21:46:00+00:00,2005-07-27 21:46:00+00:00,12.43066283546653,12.12,5,vix,13.2622,-0.0570000000000003
2005-08-03 21:46:00+00:00,2005-08-03 21:46:00+00:00,12.104143383202176,12.7,5,vix,13.123,-0.0155999999999991
2005-08-10 21:46:00+00:00,2005-08-10 21:46:00+00:00,12.683470389182643,11.98,5,vix,13.0424,-0.0205999999999981
2005-08-17 21:46:00+00:00,2005-08-17 21:46:00+00:00,11.960357546947987,14.38,5,vix,13.0988,0.0426000000000001
2005-08-24 21:46:00+00:00,2005-08-24 21:46:00+00:00,14.367523431219398,14.28,5,vix,13.2492,0.0066000000000006
2005-08-31 21:46:00+00:00,2005-08-31 21:46:00+00:00,14.272114345817602,14.18,5,vix,13.2822,0.0059999999999984
2005-09-08 21:46:00+00:00,2005-09-08 21:46:00+00:00,14.17498698708691,13.71,5,vix,13.2748,-0.0068000000000001
2005-09-15 21:46:00+00:00,2005-09-15 21:46:00+00:00,13.70773582970192,13.51,5,vix,13.243200000000002,-0.0109999999999992
2005-09-22 21:46:00+00:00,2005-09-22 21:46:00+00:00,13.50249307882174,13.95,5,vix,13.288,0.0188000000000023
2005-09-29 21:46:00+00:00,2005-09-29 21:46:00+00:00,13.944703464527194,12.94,5,vix,13.3588,0.0097999999999984
2005-10-06 21:46:00+00:00,2005-10-06 21:46:00+00:00,12.937445983488953,14.05,5,vix,13.489,0.0385999999999988
2005-10-13 21:46:00+00:00,2005-10-13 21:46:00+00:00,14.04736733171673,14.77,5,vix,13.7252,0.0413999999999976
2005-10-20 21:46:00+00:00,2005-10-20 21:46:00+00:00,14.765453535035585,15.11,5,vix,13.963,0.0625999999999997
2005-10-27 21:46:00+00:00,2005-10-27 21:46:00+00:00,15.107913163113077,14.51,5,vix,14.116599999999998,0.0025999999999992
2005-11-03 22:46:00+00:00,2005-11-03 22:46:00+00:00,14.505817070628046,13.21,5,vix,14.0742,-0.021399999999998
2005-11-10 22:46:00+00:00,2005-11-10 22:46:00+00:00,13.20763351085609,11.89,5,vix,13.920800000000002,-0.0457999999999962
