asofdate,time,pointForecast,close,forecastday,product_name,MA_50,MA_diff_50
2008-05-19 13:30:00+00:00,2008-05-19 13:30:00+00:00,37.60217286416138,38.51,5,ovx,39.8554,0.0132000000000047
2008-05-27 13:30:00+00:00,2008-05-27 13:30:00+00:00,38.57781984593184,40.74,5,ovx,39.6772,-0.0076000000000036
2008-06-03 13:30:00+00:00,2008-06-03 13:30:00+00:00,40.81218018923566,41.75,5,ovx,39.463,0.0238000000000013
2008-06-10 13:30:00+00:00,2008-06-10 13:30:00+00:00,41.82094331818749,48.13,5,ovx,40.0832,0.1761999999999943
2008-06-17 13:30:00+00:00,2008-06-17 13:30:00+00:00,48.24658235624312,48.51,5,ovx,40.9734,0.1274000000000015
2008-06-24 13:30:00+00:00,2008-06-24 13:30:00+00:00,48.62352374406764,44.49,5,ovx,41.5022,0.0958000000000041
2008-07-01 13:30:00+00:00,2008-07-01 13:30:00+00:00,44.571915883126245,46.45,5,ovx,42.0286,0.2025999999999967
2008-07-09 13:30:00+00:00,2008-07-09 13:30:00+00:00,46.5459628144005,47.01,5,ovx,42.81360000000001,0.1498000000000061
2008-07-16 13:30:00+00:00,2008-07-16 13:30:00+00:00,47.11163861504208,52.02,5,ovx,43.7958,0.237400000000008
2008-07-23 13:30:00+00:00,2008-07-23 13:30:00+00:00,52.15114514676135,51.54,5,ovx,45.2176,0.2798000000000087
2008-07-30 13:30:00+00:00,2008-07-30 13:30:00+00:00,51.669576054466646,47.17,5,ovx,46.2978,0.1731999999999942
2008-08-13 13:30:00+00:00,2008-08-13 13:30:00+00:00,47.25193219634257,46.86,5,ovx,47.007200000000005,0.1223999999999989
2008-08-20 13:30:00+00:00,2008-08-20 13:30:00+00:00,46.94775663145161,44.03,5,ovx,47.4352,0.0456000000000003
2008-08-27 13:30:00+00:00,2008-08-27 13:30:00+00:00,44.09558034171827,48.21,5,ovx,47.4462,0.0015999999999962
2008-09-04 13:30:00+00:00,2008-09-04 13:30:00+00:00,48.2760376076449,44.79,5,ovx,47.229400000000005,-0.07439999999999
2008-09-11 13:30:00+00:00,2008-09-11 13:30:00+00:00,44.86868421871373,46.98,5,ovx,47.2158,0.0498000000000047
2008-09-18 13:30:00+00:00,2008-09-18 13:30:00+00:00,47.060416050768254,54.57,5,ovx,47.7364,0.1624000000000052
2008-09-25 13:30:00+00:00,2008-09-25 13:30:00+00:00,54.696798382654336,52.39,5,ovx,48.51839999999999,0.1075999999999908
2008-10-02 13:30:00+00:00,2008-10-02 13:30:00+00:00,52.5131736399159,57.85,5,ovx,49.47,0.1165999999999982
2008-10-09 13:30:00+00:00,2008-10-09 13:30:00+00:00,58.01454612244255,61.58,5,ovx,50.4336,0.2008000000000009
2008-10-16 13:30:00+00:00,2008-10-16 13:30:00+00:00,61.7524419073558,75.09,5,ovx,52.6896,0.5583999999999989
2008-10-23 13:30:00+00:00,2008-10-23 13:30:00+00:00,75.36008981418513,81.88,5,ovx,55.605,0.7003999999999948
2008-10-30 13:30:00+00:00,2008-10-30 13:30:00+00:00,82.19050971560898,80.35,5,ovx,59.4,0.726399999999991
2008-11-06 14:30:00+00:00,2008-11-06 14:30:00+00:00,80.65114990467055,90.25,5,ovx,63.2658,0.8408000000000015
2008-11-13 14:30:00+00:00,2008-11-13 14:30:00+00:00,90.5545465192211,82.27,5,ovx,66.99719999999999,0.7495999999999867
