Date,rescaled_pnl
2019-05-15 00:00:00-04:00,
2019-05-16 00:00:00-04:00,
2019-05-17 00:00:00-04:00,
2019-05-20 00:00:00-04:00,
2019-05-21 00:00:00-04:00,
2019-05-22 00:00:00-04:00,
2019-05-23 00:00:00-04:00,
2019-05-24 00:00:00-04:00,
2019-05-28 00:00:00-04:00,
2019-05-29 00:00:00-04:00,
2019-05-30 00:00:00-04:00,
2019-05-31 00:00:00-04:00,
2019-06-03 00:00:00-04:00,
2019-06-04 00:00:00-04:00,
2019-06-05 00:00:00-04:00,
2019-06-06 00:00:00-04:00,
2019-06-07 00:00:00-04:00,
2019-06-10 00:00:00-04:00,
2019-06-11 00:00:00-04:00,
2019-06-12 00:00:00-04:00,
2019-06-13 00:00:00-04:00,
2019-06-14 00:00:00-04:00,
2019-06-17 00:00:00-04:00,
2019-06-18 00:00:00-04:00,
2019-06-19 00:00:00-04:00,
2019-06-20 00:00:00-04:00,
2019-06-21 00:00:00-04:00,
2019-06-24 00:00:00-04:00,
2019-06-25 00:00:00-04:00,
2019-06-26 00:00:00-04:00,0.98856353
2019-06-27 00:00:00-04:00,0.988497384
2019-06-28 00:00:00-04:00,0.986728852
2019-07-01 00:00:00-04:00,0.985955879
2019-07-02 00:00:00-04:00,0.985752367
2019-07-03 00:00:00-04:00,0.985985155
2019-07-05 00:00:00-04:00,0.996220259
2019-07-08 00:00:00-04:00,0.991932093
2019-07-09 00:00:00-04:00,0.988771161
2019-07-10 00:00:00-04:00,0.98808067
2019-07-11 00:00:00-04:00,0.98958173
2019-07-12 00:00:00-04:00,0.989673374
2019-07-15 00:00:00-04:00,0.99214452
2019-07-16 00:00:00-04:00,0.992142587
2019-07-17 00:00:00-04:00,0.989876959
2019-07-18 00:00:00-04:00,0.987208709
2019-07-19 00:00:00-04:00,0.99047682
2019-07-22 00:00:00-04:00,0.988621349
2019-07-23 00:00:00-04:00,0.98762352
2019-07-24 00:00:00-04:00,0.989800444
2019-07-25 00:00:00-04:00,0.985055685
2019-07-26 00:00:00-04:00,0.98308141
2019-07-29 00:00:00-04:00,0.992180585
2019-07-30 00:00:00-04:00,0.992937659
2019-07-31 00:00:00-04:00,0.988322158
2019-08-01 00:00:00-04:00,0.97365178
2019-08-02 00:00:00-04:00,0.98518477
2019-08-05 00:00:00-04:00,0.990697171
2019-08-06 00:00:00-04:00,0.99447158
2019-08-07 00:00:00-04:00,0.998394344
2019-08-08 00:00:00-04:00,1
2019-08-09 00:00:00-04:00,1
2019-08-12 00:00:00-04:00,0.999835448
2019-08-13 00:00:00-04:00,0.995819868
2019-08-14 00:00:00-04:00,1
2019-08-15 00:00:00-04:00,0.990929845
2019-08-16 00:00:00-04:00,1
2019-08-19 00:00:00-04:00,0.993008232
2019-08-20 00:00:00-04:00,0.987141446
2019-08-21 00:00:00-04:00,0.989433493
2019-08-22 00:00:00-04:00,0.986976116
2019-08-23 00:00:00-04:00,0.987466284
2019-08-26 00:00:00-04:00,1
2019-08-27 00:00:00-04:00,0.997845542
2019-08-28 00:00:00-04:00,1
2019-08-29 00:00:00-04:00,0.990832634
2019-08-30 00:00:00-04:00,0.996146928
2019-09-03 00:00:00-04:00,0.996154411
2019-09-04 00:00:00-04:00,0.999624916
2019-09-05 00:00:00-04:00,1
2019-09-06 00:00:00-04:00,0.999548741
2019-09-09 00:00:00-04:00,1
2019-09-10 00:00:00-04:00,1
2019-09-11 00:00:00-04:00,1
2019-09-12 00:00:00-04:00,1
2019-09-13 00:00:00-04:00,1
2019-09-16 00:00:00-04:00,0.998049593
2019-09-17 00:00:00-04:00,0.995467792
2019-09-18 00:00:00-04:00,0.994758918
2019-09-19 00:00:00-04:00,0.993129092
2019-09-20 00:00:00-04:00,0.991236133
2019-09-23 00:00:00-04:00,0.991486008
2019-09-24 00:00:00-04:00,0.991136225
2019-09-25 00:00:00-04:00,0.998546286
2019-09-26 00:00:00-04:00,0.996412056
2019-09-27 00:00:00-04:00,1
2019-09-30 00:00:00-04:00,0.999680614
2019-10-01 00:00:00-04:00,1
2019-10-02 00:00:00-04:00,1
2019-10-03 00:00:00-04:00,1
2019-10-04 00:00:00-04:00,1
2019-10-07 00:00:00-04:00,0.9926038
2019-10-08 00:00:00-04:00,0.995994296
2019-10-09 00:00:00-04:00,1
2019-10-10 00:00:00-04:00,0.993198612
2019-10-11 00:00:00-04:00,0.987241181
2019-10-14 00:00:00-04:00,0.998094137
2019-10-15 00:00:00-04:00,0.996226765
2019-10-16 00:00:00-04:00,1
2019-10-17 00:00:00-04:00,0.999336356
2019-10-18 00:00:00-04:00,1
2019-10-21 00:00:00-04:00,0.998130423
2019-10-22 00:00:00-04:00,1
2019-10-23 00:00:00-04:00,0.999905163
2019-10-24 00:00:00-04:00,1
2019-10-25 00:00:00-04:00,1
2019-10-28 00:00:00-04:00,1
2019-10-29 00:00:00-04:00,1
