Date,asofdate,pointForecast,Close,forecastday,product_name,MA_50,MA_diff_50
2019-05-08 00:00:00-04:00,2019-05-09 00:00:00-04:00,14.664829531279356,14.670000076293944,1,SOYB,15.811999893188476,-0.033800010681153125
2019-05-09 00:00:00-04:00,2019-05-10 00:00:00-04:00,14.652156240355197,14.460000038146973,2,SOYB,15.773799877166748,-0.038200016021727734
2019-05-10 00:00:00-04:00,2019-05-13 00:00:00-04:00,14.659121603436056,14.420000076293944,3,SOYB,15.736999874114991,-0.03680000305175746
2019-05-13 00:00:00-04:00,2019-05-14 00:00:00-04:00,14.655292217589377,14.350000381469728,4,SOYB,15.698999881744385,-0.03799999237060625
2019-05-14 00:00:00-04:00,2019-05-15 00:00:00-04:00,14.657397170968945,14.789999961853027,5,SOYB,15.666999893188477,-0.03199998855590813
2019-05-15 00:00:00-04:00,2019-05-16 00:00:00-04:00,14.843341866654702,14.84000015258789,1,SOYB,15.637199897766113,-0.02979999542236378
2019-05-16 00:00:00-04:00,2019-05-17 00:00:00-04:00,14.815663189036801,14.899999618530272,2,SOYB,15.612599906921387,-0.02459999084472564
2019-05-17 00:00:00-04:00,2019-05-20 00:00:00-04:00,14.835608903314917,14.56999969482422,3,SOYB,15.581399917602539,-0.031199989318848154
2019-05-20 00:00:00-04:00,2019-05-21 00:00:00-04:00,14.821229244377529,14.770000457763672,4,SOYB,15.556599922180176,-0.024799995422362997
2019-05-21 00:00:00-04:00,2019-05-22 00:00:00-04:00,14.83159276292414,14.609999656677246,5,SOYB,15.529999923706054,-0.02659999847412209
2019-05-22 00:00:00-04:00,2019-05-23 00:00:00-04:00,14.702637594300928,14.75,1,SOYB,15.50459991455078,-0.025400009155273295
2019-05-23 00:00:00-04:00,2019-05-24 00:00:00-04:00,14.758668531049118,14.630000114440918,2,SOYB,15.475399913787841,-0.029200000762939382
2019-05-24 00:00:00-04:00,2019-05-28 00:00:00-04:00,14.721814154895707,14.739999771118164,3,SOYB,15.44819990158081,-0.02720001220703061
2019-05-28 00:00:00-04:00,2019-05-29 00:00:00-04:00,14.746028974736127,15.1899995803833,4,SOYB,15.428999900817871,-0.019200000762939595
2019-05-29 00:00:00-04:00,2019-05-30 00:00:00-04:00,14.730107554763364,15.390000343322754,5,SOYB,15.414999904632568,-0.013999996185303232
2019-05-30 00:00:00-04:00,2019-05-31 00:00:00-04:00,15.609233986680021,15.630000114440918,1,SOYB,15.404199905395508,-0.010799999237059765
2019-05-31 00:00:00-04:00,2019-06-03 00:00:00-04:00,15.627576566588475,15.470000267028809,2,SOYB,15.391399898529052,-0.012800006866456215
2019-06-03 00:00:00-04:00,2019-06-04 00:00:00-04:00,15.609796787148637,15.479999542236328,3,SOYB,15.376799907684326,-0.014599990844725852
2019-06-04 00:00:00-04:00,2019-06-05 00:00:00-04:00,15.627030422548582,15.510000228881836,4,SOYB,15.365999927520752,-0.010799980163573863
2019-06-05 00:00:00-04:00,2019-06-06 00:00:00-04:00,15.610325580369658,15.359999656677246,5,SOYB,15.350199928283692,-0.015799999237060547
2019-06-06 00:00:00-04:00,2019-06-07 00:00:00-04:00,15.310435363951827,15.31999969482422,1,SOYB,15.335599937438964,-0.014599990844727628
2019-06-07 00:00:00-04:00,2019-06-10 00:00:00-04:00,15.30859621468971,15.119999885559082,2,SOYB,15.320399932861328,-0.01520000457763615
2019-06-10 00:00:00-04:00,2019-06-11 00:00:00-04:00,15.3086471006008,15.25,3,SOYB,15.308799934387206,-0.01159999847412152
2019-06-11 00:00:00-04:00,2019-06-12 00:00:00-04:00,15.308645692595794,15.170000076293944,4,SOYB,15.297199935913087,-0.011599998474119744
2019-06-12 00:00:00-04:00,2019-06-13 00:00:00-04:00,15.308645731555004,15.489999771118164,5,SOYB,15.287999935150147,-0.009200000762939808
2019-06-13 00:00:00-04:00,2019-06-14 00:00:00-04:00,15.613126941391162,15.630000114440918,1,SOYB,15.279599952697755,-0.008399982452392152
2019-06-14 00:00:00-04:00,2019-06-17 00:00:00-04:00,15.622125624932062,15.699999809265137,2,SOYB,15.272599964141845,-0.006999988555909553
2019-06-17 00:00:00-04:00,2019-06-18 00:00:00-04:00,15.62187597040967,15.90999984741211,3,SOYB,15.267799968719482,-0.004799995422363423
2019-06-18 00:00:00-04:00,2019-06-19 00:00:00-04:00,15.621882894693805,15.899999618530272,4,SOYB,15.264799976348877,-0.002999992370604332
2019-06-19 00:00:00-04:00,2019-06-20 00:00:00-04:00,15.621882702644035,15.739999771118164,5,SOYB,15.25859998703003,-0.006199989318847798
2019-06-20 00:00:00-04:00,2019-06-21 00:00:00-04:00,15.940049100955875,15.960000038146973,1,SOYB,15.25659999847412,-0.0019999885559087716
2019-06-21 00:00:00-04:00,2019-06-24 00:00:00-04:00,15.96728516444942,15.729999542236328,2,SOYB,15.249599990844727,-0.007000007629393679
2019-06-24 00:00:00-04:00,2019-06-25 00:00:00-04:00,15.950378381167127,15.859999656677246,3,SOYB,15.247799987792968,-0.0018000030517590915
2019-06-25 00:00:00-04:00,2019-06-26 00:00:00-04:00,15.96086775816809,15.75,4,SOYB,15.243999996185302,-0.0037999916076660867
2019-06-26 00:00:00-04:00,2019-06-27 00:00:00-04:00,15.954357774920307,15.600000381469728,5,SOYB,15.235599994659424,-0.008400001525878054
2019-06-27 00:00:00-04:00,2019-06-28 00:00:00-04:00,15.541739198796638,15.529999732971191,1,SOYB,15.229199981689453,-0.006400012969971058
2019-06-28 00:00:00-04:00,2019-07-01 00:00:00-04:00,15.514277298264133,15.729999542236328,2,SOYB,15.229399967193604,0.00019998550415145644
2019-07-01 00:00:00-04:00,2019-07-02 00:00:00-04:00,15.537015631038367,15.479999542236328,3,SOYB,15.224599952697753,-0.0048000144958511015
2019-07-02 00:00:00-04:00,2019-07-03 00:00:00-04:00,15.518183159446387,15.359999656677246,4,SOYB,15.21839994430542,-0.0062000083923337
2019-07-03 00:00:00-04:00,2019-07-05 00:00:00-04:00,15.533777108072181,15.489999771118164,5,SOYB,15.219399948120117,0.0010000038146973367
2019-07-05 00:00:00-04:00,2019-07-08 00:00:00-04:00,15.288599191920042,15.270000457763672,1,SOYB,15.217799949645997,-0.0015999984741199569
2019-07-08 00:00:00-04:00,2019-07-09 00:00:00-04:00,15.256387658038074,15.350000381469728,2,SOYB,15.217199954986572,-0.0005999946594243966
2019-07-09 00:00:00-04:00,2019-07-10 00:00:00-04:00,15.272627921901421,15.489999771118164,3,SOYB,15.220599956512451,0.0034000015258790484
2019-07-10 00:00:00-04:00,2019-07-11 00:00:00-04:00,15.26443353903883,15.609999656677246,4,SOYB,15.22839994430542,0.007799987792967755
2019-07-11 00:00:00-04:00,2019-07-12 00:00:00-04:00,15.268566556044322,15.710000038146973,5,SOYB,15.240599937438965,0.012199993133545917
2019-07-12 00:00:00-04:00,2019-07-15 00:00:00-04:00,15.894437458688317,15.899999618530272,1,SOYB,15.258199920654297,0.01759998321533196
2019-07-15 00:00:00-04:00,2019-07-16 00:00:00-04:00,15.898654302091582,15.699999809265137,2,SOYB,15.273999919891358,0.015799999237060547
2019-07-16 00:00:00-04:00,2019-07-17 00:00:00-04:00,15.899975627975891,15.449999809265137,3,SOYB,15.284999923706055,0.011000003814697124
2019-07-17 00:00:00-04:00,2019-07-18 00:00:00-04:00,15.900389609028712,15.380000114440918,4,SOYB,15.297399921417236,0.012399997711181499
2019-07-18 00:00:00-04:00,2019-07-19 00:00:00-04:00,15.90051930745656,15.390000343322754,5,SOYB,15.309999923706055,0.012600002288818857
2019-07-19 00:00:00-04:00,2019-07-22 00:00:00-04:00,15.699253015805706,15.699999809265137,1,SOYB,15.330599918365479,0.02059999465942397
2019-07-22 00:00:00-04:00,2019-07-23 00:00:00-04:00,15.699253697877811,15.449999809265137,2,SOYB,15.350399913787841,0.019799995422362215
2019-07-23 00:00:00-04:00,2019-07-24 00:00:00-04:00,15.69925369787707,15.460000038146973,3,SOYB,15.371199913024903,0.02079999923706133
2019-07-24 00:00:00-04:00,2019-07-25 00:00:00-04:00,15.69925369787707,15.550000190734863,4,SOYB,15.395199909210206,0.02399999618530302
2019-07-25 00:00:00-04:00,2019-07-26 00:00:00-04:00,15.69925369787707,15.390000343322754,5,SOYB,15.4071999168396,0.01200000762939446
2019-07-26 00:00:00-04:00,2019-07-29 00:00:00-04:00,15.389577265634866,15.390000343322754,1,SOYB,15.418199920654297,0.011000003814697124
2019-07-29 00:00:00-04:00,2019-07-30 00:00:00-04:00,15.389137531947046,15.520000457763672,2,SOYB,15.430599937438965,0.0124000167846674
2019-07-30 00:00:00-04:00,2019-07-31 00:00:00-04:00,15.388755732998748,15.350000381469728,3,SOYB,15.446199951171875,0.015600013732910867
2019-07-31 00:00:00-04:00,2019-08-01 00:00:00-04:00,15.38842423474539,15.15999984741211,4,SOYB,15.453999938964843,0.007799987792967755
2019-08-01 00:00:00-04:00,2019-08-02 00:00:00-04:00,15.388136409365163,14.920000076293944,5,SOYB,15.460199947357177,0.0062000083923337
2019-08-02 00:00:00-04:00,2019-08-05 00:00:00-04:00,14.992135790755842,14.979999542236328,1,SOYB,15.464799938201905,0.0045999908447278415
2019-08-05 00:00:00-04:00,2019-08-06 00:00:00-04:00,14.990172639189682,14.920000076293944,2,SOYB,15.470599937438966,0.00579999923706076
2019-08-06 00:00:00-04:00,2019-08-07 00:00:00-04:00,14.988431076942431,14.920000076293944,3,SOYB,15.47419994354248,0.0036000061035146302
2019-08-07 00:00:00-04:00,2019-08-08 00:00:00-04:00,14.986886070750732,14.920000076293944,4,SOYB,15.468799953460694,-0.0053999900817860436
2019-08-08 00:00:00-04:00,2019-08-09 00:00:00-04:00,14.985515419975764,15.220000267028809,5,SOYB,15.465399951934815,-0.0034000015258790484
2019-08-09 00:00:00-04:00,2019-08-12 00:00:00-04:00,15.330256803939326,15.34000015258789,1,SOYB,15.459599952697754,-0.00579999923706076
2019-08-12 00:00:00-04:00,2019-08-13 00:00:00-04:00,15.333460576579803,15.09000015258789,2,SOYB,15.451999950408936,-0.007600002288818075
2019-08-13 00:00:00-04:00,2019-08-14 00:00:00-04:00,15.334049245784966,15.3100004196167,3,SOYB,15.448599967956543,-0.0033999824523931466
2019-08-14 00:00:00-04:00,2019-08-15 00:00:00-04:00,15.334157398419528,15.100000381469728,4,SOYB,15.4403999710083,-0.008199996948242472
2019-08-15 00:00:00-04:00,2019-08-16 00:00:00-04:00,15.334177268280758,15.0,5,SOYB,15.433199977874756,-0.007199993133545135
2019-08-16 00:00:00-04:00,2019-08-19 00:00:00-04:00,15.141777455748858,15.149999618530272,1,SOYB,15.429799976348876,-0.0034000015258790484
2019-08-19 00:00:00-04:00,2019-08-20 00:00:00-04:00,15.145845086117694,14.920000076293944,2,SOYB,15.425799980163575,-0.0039999961853016686
2019-08-20 00:00:00-04:00,2019-08-21 00:00:00-04:00,15.146125343461742,14.989999771118164,3,SOYB,15.420599975585937,-0.00520000457763814
2019-08-21 00:00:00-04:00,2019-08-22 00:00:00-04:00,15.146144650447452,15.039999961853027,4,SOYB,15.41799997329712,-0.0026000022888172936
2019-08-22 00:00:00-04:00,2019-08-23 00:00:00-04:00,15.146145980497396,14.949999809265137,5,SOYB,15.407199974060058,-0.010799999237061542
2019-08-23 00:00:00-04:00,2019-08-26 00:00:00-04:00,14.775352880518193,14.770000457763672,1,SOYB,15.389999980926513,-0.017199993133544922
2019-08-26 00:00:00-04:00,2019-08-27 00:00:00-04:00,14.766635686931675,14.920000076293944,2,SOYB,15.37439998626709,-0.015599994659423189
2019-08-27 00:00:00-04:00,2019-08-28 00:00:00-04:00,14.765023416615552,14.8100004196167,3,SOYB,15.352399997711181,-0.021999988555908345
2019-08-28 00:00:00-04:00,2019-08-29 00:00:00-04:00,14.764725137535113,14.920000076293944,4,SOYB,15.332800006866455,-0.019599990844726634
2019-08-29 00:00:00-04:00,2019-08-30 00:00:00-04:00,14.764669951317183,14.960000038146973,5,SOYB,15.317200012207032,-0.015599994659423189
2019-08-30 00:00:00-04:00,2019-09-03 00:00:00-04:00,14.956048039119954,14.960000038146973,1,SOYB,15.297200012207032,-0.019999999999999574
2019-09-03 00:00:00-04:00,2019-09-04 00:00:00-04:00,14.95705432994843,14.970000267028809,2,SOYB,15.282000026702882,-0.015199985504150249
2019-09-04 00:00:00-04:00,2019-09-05 00:00:00-04:00,14.957273269675413,15.050000190734863,3,SOYB,15.265800037384032,-0.01619998931884936
2019-09-05 00:00:00-04:00,2019-09-06 00:00:00-04:00,14.957320903089641,14.84000015258789,4,SOYB,15.247600040435792,-0.018199996948240482
2019-09-06 00:00:00-04:00,2019-09-09 00:00:00-04:00,14.957331266336013,14.779999732971191,5,SOYB,15.231200027465821,-0.016400012969970845
2019-09-09 00:00:00-04:00,2019-09-10 00:00:00-04:00,14.82408798959085,14.829999923706056,1,SOYB,15.217200031280518,-0.013999996185303232
2019-09-10 00:00:00-04:00,2019-09-11 00:00:00-04:00,14.826454522640185,15.050000190734863,2,SOYB,15.203600044250487,-0.013599987030030292
2019-09-11 00:00:00-04:00,2019-09-12 00:00:00-04:00,14.82662952162883,14.9399995803833,3,SOYB,15.192800045013428,-0.010799999237059765
2019-09-12 00:00:00-04:00,2019-09-13 00:00:00-04:00,14.826642461323564,15.40999984741211,4,SOYB,15.193800048828125,0.0010000038146973367
2019-09-13 00:00:00-04:00,2019-09-16 00:00:00-04:00,14.826643418098906,15.4399995803833,5,SOYB,15.192800045013428,-0.0010000038146973367
2019-09-16 00:00:00-04:00,2019-09-17 00:00:00-04:00,15.467248057778656,15.470000267028809,1,SOYB,15.196800041198731,0.003999996185303445
2019-09-17 00:00:00-04:00,2019-09-18 00:00:00-04:00,15.46978388672772,15.380000114440918,2,SOYB,15.197400035858154,0.0005999946594226202
2019-09-18 00:00:00-04:00,2019-09-19 00:00:00-04:00,15.46928500750704,15.300000190734863,3,SOYB,15.193600044250488,-0.0037999916076660867
2019-09-19 00:00:00-04:00,2019-09-20 00:00:00-04:00,15.46938314538314,15.359999656677246,4,SOYB,15.188600044250489,-0.004999999999999005
2019-09-20 00:00:00-04:00,2019-09-23 00:00:00-04:00,15.469363839724346,15.18000030517578,5,SOYB,15.178000049591065,-0.010599994659424183
2019-09-23 00:00:00-04:00,2019-09-24 00:00:00-04:00,15.266047878424358,15.279999732971191,1,SOYB,15.165600051879883,-0.012399997711181499
