,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,acf_0,acf_1,acf_2,acf_3,acf_4,pacf_0,pacf_1,pacf_2,pacf_3,pacf_4
0,2014-04-29 00:00:00-04:00,-1259.6633511860146,-1238.486776660946,-1251.1423363333342,0.013898450515471077,0.0003766619680616735,5,True,252,2167,2,0,0 days 00:00:00.256411,THD,1.0,0.004764680927600741,-0.028888706113802412,-0.09128746205038205,0.043449557771676015,1.0,0.004783663720140988,-0.02914336610172864,-0.09218494355631712,0.04437803377253676
1,2014-05-06 00:00:00-04:00,-1262.20623105704,-1241.0296565319713,-1253.6852162043597,0.01380927537164779,0.0003728374783742647,5,True,252,2167,2,0,0 days 00:00:00.587908,THD,1.0,0.007630223692660989,-0.031218807881457113,-0.08730326948148652,0.04100123428236859,1.0,0.007660622990241294,-0.03152909377853484,-0.08795750795753014,0.042189690125440195
2,2014-05-13 00:00:00-04:00,-1259.8375790734494,-1238.6610045483808,-1251.3165642207691,0.013825816607932915,0.00037640080239777305,5,True,252,2167,2,0,0 days 00:00:00.517728,THD,1.0,0.009281355831976148,-0.027695905188993876,-0.08456020245965874,0.03613592274408374,1.0,0.009318333345250937,-0.02800673562912007,-0.08512474948799298,0.03767420777875653
3,2014-05-20 00:00:00-04:00,-1257.847857242456,-1236.6712827173874,-1249.3268423897757,0.013905802494478287,0.0003793849088485054,5,True,252,2167,2,0,0 days 00:00:00.257662,THD,1.0,0.008016390696486728,-0.022173014093164675,-0.0814863755232448,0.027547535015199257,1.0,0.008048328508026519,-0.022416625847887957,-0.08215040665686703,0.028905211174808584
4,2014-05-28 00:00:00-04:00,-1258.3277777477056,-1237.151203222637,-1249.8067628950253,0.01384969803300286,0.0003786641622045073,5,True,252,2167,2,0,0 days 00:00:00.355171,THD,1.0,-0.0004299967437003546,-0.02293224546940251,-0.0795348584322607,0.01644972847851614,1.0,-0.00043170987813740617,-0.02311589411476484,-0.08055635891369826,0.016072500523751834
5,2014-06-04 00:00:00-04:00,-1261.0160868735934,-1239.8395123485247,-1252.495072020913,0.013719393401935117,0.00037465672047618084,5,True,252,2167,2,0,0 days 00:00:00.317769,THD,1.0,0.00110965590741927,-0.03097887048775277,-0.08810731417595784,0.009226434530867534,1.0,0.0011140768472894674,-0.031227981378023354,-0.08918526525820016,0.00843199703745964
6,2014-06-11 00:00:00-04:00,-1279.2028808379891,-1258.0263063129205,-1270.6818659853088,0.013121318701537814,0.0003491142798822151,5,True,252,2167,2,0,0 days 00:00:00.533520,THD,1.0,-0.017633198767875544,0.006701196068741267,-0.07308095993230454,-0.010272086481674372,1.0,-0.01770345055579536,0.006443412919680825,-0.07375474673359272,-0.013120028057054164
7,2014-06-18 00:00:00-04:00,-1284.4670589714146,-1263.290484446346,-1275.9460441187343,0.012885694025662118,0.00034197228159029585,5,True,252,2167,2,0,0 days 00:00:00.477059,THD,1.0,-0.026356468458229143,-0.0045442681865114805,-0.03956302913248399,-0.0035713986294673124,1.0,-0.02646147430866033,-0.005284532234913264,-0.04033074468104321,-0.005812655578213687
8,2014-06-25 00:00:00-04:00,-1308.7312362787281,-1287.5546617536595,-1300.2102214260478,0.012428323909519439,0.0003100255093808791,5,True,252,2167,2,0,0 days 00:00:00.431064,THD,1.0,-0.011175616345093883,-0.0348133126032043,-0.02281449122348163,0.033118003535698985,1.0,-0.011220140713002615,-0.035222144832325164,-0.02392485474071691,0.031912160045874896
9,2014-07-02 00:00:00-04:00,-1319.7504648818394,-1298.5738903567708,-1311.2294500291591,0.012077323473327095,0.0002971145575915804,5,True,252,2167,2,0,0 days 00:00:00.446755,THD,1.0,-0.01670557263407831,-0.02221819030371459,-0.025630275406152182,0.02658797640648864,1.0,-0.01677212870034953,-0.022683621127474008,-0.026724939829275606,0.025628328911389404
